time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-01T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-13T06:00:02.9260000Z,2021-01-31T23:59:32.6300000Z,40.0,1000.0,34.244,68.387,3741563.387,903402
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-01T00:01:34.4430000Z,2021-02-28T23:59:54.8590000Z,68.122,497.0,64.36,310.978,2710669.863,1971222
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:06.2460000Z,2021-03-31T23:59:44.7750000Z,311.607,444.0,28.0,33.056,11335198.876,1879355
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:05.6460000Z,2021-04-30T23:59:51.3240000Z,33.14,92.999,31.389,76.303,22614734.171,2870348
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:03.9970000Z,2021-05-31T23:59:38.5320000Z,76.395,78.798,21.632,37.626,7592532.701,1320955
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:27.6760000Z,2021-06-30T23:59:03.8540000Z,37.387,39.76,15.1,19.332,3523292.492,377012
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:47.7790000Z,2021-07-31T23:59:59.3850000Z,19.332,21.5,11.637,17.588,11387335.898,831348
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:01.4030000Z,2021-08-31T23:58:30.2880000Z,17.59,28.0,16.9,22.41,8401629.691,939018
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:07.7110000Z,2021-09-30T23:59:06.9820000Z,22.44,27.44,13.5,15.15,6674611.217,720171
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:01:03.1500000Z,2021-10-31T23:59:49.9140000Z,15.14,90.86,14.86,37.22,63596312.779,10594371
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:02.8310000Z,2021-11-30T23:59:54.1860000Z,37.24,48.95,29.41,31.78,12703599.34,3478490
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:05.2760000Z,2021-12-02T16:09:37.3630000Z,31.79,34.89,30.58,31.62,611122.62,126799
