time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-29T11:00:00.0000000Z,2021-03-29T11:15:00.0000000Z,2021-03-29T11:00:00.0000000Z,2021-03-29T11:14:59.9940000Z,1.289,1.85,1.289,1.435,12871761.348,49696
2021-03-29T11:15:00.0000000Z,2021-03-29T11:30:00.0000000Z,2021-03-29T11:15:00.1330000Z,2021-03-29T11:29:59.6120000Z,1.44,1.477,1.4,1.428,2214554.529,10283
2021-03-29T11:30:00.0000000Z,2021-03-29T11:45:00.0000000Z,2021-03-29T11:30:00.1160000Z,2021-03-29T11:44:57.5470000Z,1.428,1.432,1.382,1.391,1164721.046,6166
2021-03-29T11:45:00.0000000Z,2021-03-29T12:00:00.0000000Z,2021-03-29T11:45:01.0190000Z,2021-03-29T11:59:59.8760000Z,1.39,1.395,1.335,1.369,1447939.182,6256
2021-03-29T12:00:00.0000000Z,2021-03-29T12:15:00.0000000Z,2021-03-29T12:00:03.0700000Z,2021-03-29T12:14:59.9680000Z,1.369,1.447,1.36,1.432,1183899.643,4145
2021-03-29T12:15:00.0000000Z,2021-03-29T12:30:00.0000000Z,2021-03-29T12:15:00.8930000Z,2021-03-29T12:29:59.8040000Z,1.43,1.44,1.386,1.403,602901.617,3326
2021-03-29T12:30:00.0000000Z,2021-03-29T12:45:00.0000000Z,2021-03-29T12:30:02.2240000Z,2021-03-29T12:44:59.8390000Z,1.403,1.504,1.402,1.497,926831.949,4028
2021-03-29T12:45:00.0000000Z,2021-03-29T13:00:00.0000000Z,2021-03-29T12:45:00.2410000Z,2021-03-29T12:59:57.5330000Z,1.497,1.53,1.456,1.466,1429027.039,6782
2021-03-29T13:00:00.0000000Z,2021-03-29T13:15:00.0000000Z,2021-03-29T13:00:02.2400000Z,2021-03-29T13:14:59.8560000Z,1.47,1.52,1.465,1.494,647814.873,3186
2021-03-29T13:15:00.0000000Z,2021-03-29T13:30:00.0000000Z,2021-03-29T13:15:00.8500000Z,2021-03-29T13:29:59.6370000Z,1.495,1.5,1.439,1.462,649585.504,3561
2021-03-29T13:30:00.0000000Z,2021-03-29T13:45:00.0000000Z,2021-03-29T13:30:04.6550000Z,2021-03-29T13:44:58.2980000Z,1.462,1.47,1.416,1.437,496243.598,2901
2021-03-29T13:45:00.0000000Z,2021-03-29T14:00:00.0000000Z,2021-03-29T13:45:02.4370000Z,2021-03-29T13:59:59.5550000Z,1.435,1.457,1.42,1.433,244544.336,1665
2021-03-29T14:00:00.0000000Z,2021-03-29T14:15:00.0000000Z,2021-03-29T14:00:00.2410000Z,2021-03-29T14:14:59.9380000Z,1.431,1.463,1.431,1.455,268787.963,1757
2021-03-29T14:15:00.0000000Z,2021-03-29T14:30:00.0000000Z,2021-03-29T14:15:01.1210000Z,2021-03-29T14:29:59.3540000Z,1.453,1.46,1.396,1.411,521432.464,3046
2021-03-29T14:30:00.0000000Z,2021-03-29T14:45:00.0000000Z,2021-03-29T14:30:10.8980000Z,2021-03-29T14:44:59.7440000Z,1.412,1.449,1.409,1.414,234004.315,2040
2021-03-29T14:45:00.0000000Z,2021-03-29T15:00:00.0000000Z,2021-03-29T14:45:00.1310000Z,2021-03-29T14:59:57.1580000Z,1.414,1.414,1.372,1.396,509663.533,3127
