time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-13T08:00:00.0000000Z,2021-03-13T08:15:00.0000000Z,2021-03-13T08:00:01.6460000Z,2021-03-13T08:14:55.0890000Z,0.95,1.09,0.8491,0.8588,535206.76,1732
2021-03-13T08:15:00.0000000Z,2021-03-13T08:30:00.0000000Z,2021-03-13T08:15:02.4880000Z,2021-03-13T08:29:51.4170000Z,0.852,0.8684,0.83,0.8605,195172.6,661
2021-03-13T08:30:00.0000000Z,2021-03-13T08:45:00.0000000Z,2021-03-13T08:30:05.2530000Z,2021-03-13T08:44:54.4600000Z,0.8583,0.8605,0.84,0.8442,205192.47,475
2021-03-13T08:45:00.0000000Z,2021-03-13T09:00:00.0000000Z,2021-03-13T08:45:03.6040000Z,2021-03-13T08:59:38.1270000Z,0.8442,0.8509,0.8134,0.8408,174487.96,609
2021-03-13T09:00:00.0000000Z,2021-03-13T09:15:00.0000000Z,2021-03-13T09:00:01.0850000Z,2021-03-13T09:14:40.2820000Z,0.845,0.859,0.825,0.8376,171351.45,359
2021-03-13T09:15:00.0000000Z,2021-03-13T09:30:00.0000000Z,2021-03-13T09:15:00.5190000Z,2021-03-13T09:29:58.5450000Z,0.8403,0.8403,0.8033,0.8033,260342.19,472
2021-03-13T09:30:00.0000000Z,2021-03-13T09:45:00.0000000Z,2021-03-13T09:30:04.3240000Z,2021-03-13T09:44:56.1240000Z,0.8064,0.844,0.8064,0.835,254386.95,474
2021-03-13T09:45:00.0000000Z,2021-03-13T10:00:00.0000000Z,2021-03-13T09:45:08.7390000Z,2021-03-13T09:59:52.4230000Z,0.835,0.8535,0.832,0.8363,156804.26,403
2021-03-13T10:00:00.0000000Z,2021-03-13T10:15:00.0000000Z,2021-03-13T10:00:00.3420000Z,2021-03-13T10:14:59.3860000Z,0.8363,0.8365,0.8085,0.8108,236524.48,446
2021-03-13T10:15:00.0000000Z,2021-03-13T10:30:00.0000000Z,2021-03-13T10:15:00.7800000Z,2021-03-13T10:29:55.6510000Z,0.8105,0.8106,0.755,0.7625,914018.16,1477
2021-03-13T10:30:00.0000000Z,2021-03-13T10:45:00.0000000Z,2021-03-13T10:30:01.5950000Z,2021-03-13T10:44:56.3350000Z,0.7616,0.7849,0.6759,0.7249,1104839.56,1684
2021-03-13T10:45:00.0000000Z,2021-03-13T11:00:00.0000000Z,2021-03-13T10:45:04.7480000Z,2021-03-13T10:59:55.9710000Z,0.7253,0.7834,0.7253,0.7689,696678.29,916
2021-03-13T11:00:00.0000000Z,2021-03-13T11:15:00.0000000Z,2021-03-13T11:00:01.7600000Z,2021-03-13T11:14:59.3540000Z,0.7701,0.7914,0.7441,0.7567,293390.34,783
2021-03-13T11:15:00.0000000Z,2021-03-13T11:30:00.0000000Z,2021-03-13T11:15:00.8610000Z,2021-03-13T11:29:57.4680000Z,0.7567,0.7678,0.7175,0.7204,517676.75,880
2021-03-13T11:30:00.0000000Z,2021-03-13T11:45:00.0000000Z,2021-03-13T11:30:03.8880000Z,2021-03-13T11:44:58.9580000Z,0.7194,0.7493,0.691,0.7024,758771.55,1265
2021-03-13T11:45:00.0000000Z,2021-03-13T12:00:00.0000000Z,2021-03-13T11:45:00.2040000Z,2021-03-13T11:59:58.7590000Z,0.7003,0.7045,0.6565,0.6841,835237.98,1760
2021-03-13T12:00:00.0000000Z,2021-03-13T12:15:00.0000000Z,2021-03-13T12:00:12.6740000Z,2021-03-13T12:14:56.0080000Z,0.68,0.7312,0.6589,0.7273,1025683.13,1481
2021-03-13T12:15:00.0000000Z,2021-03-13T12:30:00.0000000Z,2021-03-13T12:15:02.5900000Z,2021-03-13T12:29:49.4880000Z,0.7298,0.7959,0.7165,0.7456,841492.44,1810
2021-03-13T12:30:00.0000000Z,2021-03-13T12:45:00.0000000Z,2021-03-13T12:30:02.7490000Z,2021-03-13T12:44:58.4150000Z,0.7457,0.78,0.7391,0.7793,511890.43,1044
2021-03-13T12:45:00.0000000Z,2021-03-13T13:00:00.0000000Z,2021-03-13T12:45:00.9030000Z,2021-03-13T12:59:57.4620000Z,0.7793,0.8,0.7631,0.7851,699622.07,1456
2021-03-13T13:00:00.0000000Z,2021-03-13T13:15:00.0000000Z,2021-03-13T13:00:01.8420000Z,2021-03-13T13:14:59.3120000Z,0.7861,0.7862,0.7493,0.7534,366371.67,838
2021-03-13T13:15:00.0000000Z,2021-03-13T13:30:00.0000000Z,2021-03-13T13:15:06.0210000Z,2021-03-13T13:29:53.2160000Z,0.7535,0.7689,0.7363,0.7685,265182.29,731
2021-03-13T13:30:00.0000000Z,2021-03-13T13:45:00.0000000Z,2021-03-13T13:30:23.2630000Z,2021-03-13T13:44:51.0060000Z,0.768,0.7689,0.7446,0.7488,216838.07,628
2021-03-13T13:45:00.0000000Z,2021-03-13T14:00:00.0000000Z,2021-03-13T13:45:08.6340000Z,2021-03-13T13:59:53.6220000Z,0.7485,0.76,0.7315,0.751,471972.72,786
2021-03-13T14:00:00.0000000Z,2021-03-13T14:15:00.0000000Z,2021-03-13T14:00:01.2710000Z,2021-03-13T14:14:54.0510000Z,0.7511,0.7532,0.723,0.7323,254791.72,705
2021-03-13T14:15:00.0000000Z,2021-03-13T14:30:00.0000000Z,2021-03-13T14:15:03.2660000Z,2021-03-13T14:29:56.9590000Z,0.7325,0.7353,0.713,0.7353,384425.49,717
2021-03-13T14:30:00.0000000Z,2021-03-13T14:45:00.0000000Z,2021-03-13T14:30:00.5630000Z,2021-03-13T14:44:52.0420000Z,0.7356,0.7356,0.7081,0.7104,182755.72,572
2021-03-13T14:45:00.0000000Z,2021-03-13T15:00:00.0000000Z,2021-03-13T14:45:06.1120000Z,2021-03-13T14:59:54.9630000Z,0.7105,0.7232,0.7067,0.7126,238528.62,467
2021-03-13T15:00:00.0000000Z,2021-03-13T15:15:00.0000000Z,2021-03-13T15:00:00.2570000Z,2021-03-13T15:14:45.7220000Z,0.7126,0.85,0.7126,0.7475,607244.33,1461
2021-03-13T15:15:00.0000000Z,2021-03-13T15:30:00.0000000Z,2021-03-13T15:15:02.0980000Z,2021-03-13T15:29:56.4340000Z,0.746,0.746,0.7252,0.7393,272163.9,593
2021-03-13T15:30:00.0000000Z,2021-03-13T15:45:00.0000000Z,2021-03-13T15:30:05.8100000Z,2021-03-13T15:44:33.3790000Z,0.7383,0.7383,0.7175,0.7216,301884.93,540
2021-03-13T15:45:00.0000000Z,2021-03-13T16:00:00.0000000Z,2021-03-13T15:45:01.1630000Z,2021-03-13T15:59:57.3800000Z,0.723,0.7437,0.7225,0.74,303620.34,524
2021-03-13T16:00:00.0000000Z,2021-03-13T16:15:00.0000000Z,2021-03-13T16:00:03.5680000Z,2021-03-13T16:14:59.9750000Z,0.74,0.7844,0.7389,0.7666,449280.11,1143
2021-03-13T16:15:00.0000000Z,2021-03-13T16:30:00.0000000Z,2021-03-13T16:15:01.8670000Z,2021-03-13T16:29:58.8830000Z,0.765,0.7694,0.7521,0.764,475266.74,775
2021-03-13T16:30:00.0000000Z,2021-03-13T16:45:00.0000000Z,2021-03-13T16:30:03.7640000Z,2021-03-13T16:44:39.1730000Z,0.7641,0.7722,0.7538,0.7577,239746.64,570
2021-03-13T16:45:00.0000000Z,2021-03-13T17:00:00.0000000Z,2021-03-13T16:45:01.5620000Z,2021-03-13T16:59:52.9490000Z,0.76,0.7733,0.7579,0.7658,260700.55,596
2021-03-13T17:00:00.0000000Z,2021-03-13T17:15:00.0000000Z,2021-03-13T17:00:17.3060000Z,2021-03-13T17:14:59.0480000Z,0.7657,0.7661,0.7377,0.7491,192237.92,613
2021-03-13T17:15:00.0000000Z,2021-03-13T17:30:00.0000000Z,2021-03-13T17:15:00.7040000Z,2021-03-13T17:29:31.4190000Z,0.747,0.7586,0.7339,0.7398,230037.01,556
2021-03-13T17:30:00.0000000Z,2021-03-13T17:45:00.0000000Z,2021-03-13T17:30:00.1780000Z,2021-03-13T17:44:53.9100000Z,0.7391,0.7426,0.7303,0.7375,285021.54,478
2021-03-13T17:45:00.0000000Z,2021-03-13T18:00:00.0000000Z,2021-03-13T17:45:27.9270000Z,2021-03-13T17:59:59.8550000Z,0.7376,0.7385,0.7202,0.7326,338316.99,514
2021-03-13T18:00:00.0000000Z,2021-03-13T18:15:00.0000000Z,2021-03-13T18:00:10.3720000Z,2021-03-13T18:14:57.8060000Z,0.7309,0.7465,0.7231,0.7398,179707.38,467
2021-03-13T18:15:00.0000000Z,2021-03-13T18:30:00.0000000Z,2021-03-13T18:15:00.4190000Z,2021-03-13T18:29:51.3330000Z,0.7386,0.7452,0.7272,0.7272,68906.76,423
2021-03-13T18:30:00.0000000Z,2021-03-13T18:45:00.0000000Z,2021-03-13T18:30:06.1320000Z,2021-03-13T18:44:50.0330000Z,0.7294,0.7296,0.7034,0.7133,277396.25,803
2021-03-13T18:45:00.0000000Z,2021-03-13T19:00:00.0000000Z,2021-03-13T18:45:00.0840000Z,2021-03-13T18:59:58.3590000Z,0.7132,0.7162,0.6705,0.7132,753558.17,1348
2021-03-13T19:00:00.0000000Z,2021-03-13T19:15:00.0000000Z,2021-03-13T19:00:14.5520000Z,2021-03-13T19:14:53.9300000Z,0.7132,0.7223,0.685,0.704,260723.36,866
2021-03-13T19:15:00.0000000Z,2021-03-13T19:30:00.0000000Z,2021-03-13T19:15:02.5960000Z,2021-03-13T19:29:59.0920000Z,0.705,0.7088,0.678,0.6812,200436.51,655
2021-03-13T19:30:00.0000000Z,2021-03-13T19:45:00.0000000Z,2021-03-13T19:30:02.9560000Z,2021-03-13T19:44:59.0330000Z,0.6812,0.7022,0.6462,0.6618,557299.87,1496
2021-03-13T19:45:00.0000000Z,2021-03-13T20:00:00.0000000Z,2021-03-13T19:45:01.8650000Z,2021-03-13T19:59:59.2960000Z,0.6618,0.6797,0.59,0.6152,1235988.22,2553
2021-03-13T20:00:00.0000000Z,2021-03-13T20:15:00.0000000Z,2021-03-13T20:00:01.3740000Z,2021-03-13T20:14:59.1240000Z,0.6133,0.682,0.6068,0.6399,1508037.03,3329
2021-03-13T20:15:00.0000000Z,2021-03-13T20:30:00.0000000Z,2021-03-13T20:15:03.2440000Z,2021-03-13T20:29:59.0990000Z,0.6399,0.6949,0.6226,0.6785,840273.77,1832
2021-03-13T20:30:00.0000000Z,2021-03-13T20:45:00.0000000Z,2021-03-13T20:30:02.1200000Z,2021-03-13T20:44:56.8440000Z,0.678,0.6947,0.6582,0.6776,557676.15,1688
2021-03-13T20:45:00.0000000Z,2021-03-13T21:00:00.0000000Z,2021-03-13T20:45:02.2420000Z,2021-03-13T20:59:59.3510000Z,0.6776,0.712,0.668,0.7,690649.5,1688
2021-03-13T21:00:00.0000000Z,2021-03-13T21:15:00.0000000Z,2021-03-13T21:00:02.2110000Z,2021-03-13T21:14:59.3220000Z,0.6982,0.7119,0.6795,0.6899,383759.56,1380
2021-03-13T21:15:00.0000000Z,2021-03-13T21:30:00.0000000Z,2021-03-13T21:15:00.6200000Z,2021-03-13T21:29:59.2550000Z,0.6914,0.6919,0.6615,0.6686,325355.35,893
2021-03-13T21:30:00.0000000Z,2021-03-13T21:45:00.0000000Z,2021-03-13T21:30:12.8630000Z,2021-03-13T21:44:42.2700000Z,0.6656,0.6884,0.662,0.6825,414988.74,633
2021-03-13T21:45:00.0000000Z,2021-03-13T22:00:00.0000000Z,2021-03-13T21:45:01.0980000Z,2021-03-13T21:59:55.2760000Z,0.6829,0.695,0.6708,0.6708,210572.96,554
2021-03-13T22:00:00.0000000Z,2021-03-13T22:15:00.0000000Z,2021-03-13T22:00:02.8570000Z,2021-03-13T22:14:55.0560000Z,0.6708,0.6825,0.6613,0.6643,299772.81,564
2021-03-13T22:15:00.0000000Z,2021-03-13T22:30:00.0000000Z,2021-03-13T22:15:07.1720000Z,2021-03-13T22:29:58.1630000Z,0.6626,0.6626,0.6333,0.6407,486852.95,1008
2021-03-13T22:30:00.0000000Z,2021-03-13T22:45:00.0000000Z,2021-03-13T22:30:00.6900000Z,2021-03-13T22:44:58.8190000Z,0.6413,0.643,0.6072,0.62,536074.04,1020
2021-03-13T22:45:00.0000000Z,2021-03-13T23:00:00.0000000Z,2021-03-13T22:45:00.9820000Z,2021-03-13T22:59:58.2250000Z,0.62,0.6439,0.6185,0.6283,658240.09,1107
2021-03-13T23:00:00.0000000Z,2021-03-13T23:15:00.0000000Z,2021-03-13T23:00:00.2200000Z,2021-03-13T23:14:51.6130000Z,0.6283,0.6455,0.626,0.6315,480052.37,903
2021-03-13T23:15:00.0000000Z,2021-03-13T23:30:00.0000000Z,2021-03-13T23:15:03.0240000Z,2021-03-13T23:29:25.5100000Z,0.6327,0.6331,0.6152,0.6208,292802.4,630
2021-03-13T23:30:00.0000000Z,2021-03-13T23:45:00.0000000Z,2021-03-13T23:30:07.1240000Z,2021-03-13T23:44:57.2540000Z,0.6219,0.6315,0.6021,0.6082,256163.35,864
2021-03-13T23:45:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T23:45:01.0870000Z,2021-03-13T23:59:59.2600000Z,0.6082,0.6187,0.5784,0.6023,766042.42,1523
