time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-04T08:00:00.0000000Z,2021-11-04T08:15:00.0000000Z,2021-11-04T08:02:11.6370000Z,2021-11-04T08:14:59.9530000Z,7.49947,8.34951,5.50017,6.24982,2888779.0,52000
2021-11-04T08:15:00.0000000Z,2021-11-04T08:30:00.0000000Z,2021-11-04T08:15:00.0050000Z,2021-11-04T08:29:59.9340000Z,6.24981,6.49999,4.45,4.45,2991947.0,39671
2021-11-04T08:30:00.0000000Z,2021-11-04T08:45:00.0000000Z,2021-11-04T08:30:00.0550000Z,2021-11-04T08:44:59.9810000Z,4.48446,4.57712,3.31001,3.57262,3705093.0,34571
2021-11-04T08:45:00.0000000Z,2021-11-04T09:00:00.0000000Z,2021-11-04T08:45:00.1040000Z,2021-11-04T08:59:59.8010000Z,3.57243,3.75321,3.13478,3.47337,2264145.0,25606
2021-11-04T09:00:00.0000000Z,2021-11-04T09:15:00.0000000Z,2021-11-04T09:00:00.0460000Z,2021-11-04T09:14:59.6400000Z,3.46646,3.46646,2.90509,3.13488,2452309.0,20659
2021-11-04T09:15:00.0000000Z,2021-11-04T09:30:00.0000000Z,2021-11-04T09:15:00.0110000Z,2021-11-04T09:29:59.8800000Z,3.13013,3.17087,2.8,2.87414,1492306.0,13159
2021-11-04T09:30:00.0000000Z,2021-11-04T09:45:00.0000000Z,2021-11-04T09:30:00.0690000Z,2021-11-04T09:44:59.9630000Z,2.8717,3.26271,2.86484,3.24042,1345697.0,16023
2021-11-04T09:45:00.0000000Z,2021-11-04T10:00:00.0000000Z,2021-11-04T09:45:00.0680000Z,2021-11-04T09:59:59.9980000Z,3.24046,3.26263,2.96452,3.12752,1200509.0,13522
2021-11-04T10:00:00.0000000Z,2021-11-04T10:15:00.0000000Z,2021-11-04T10:00:00.0840000Z,2021-11-04T10:14:59.7000000Z,3.12755,3.3,3.0658,3.20764,1195403.0,12535
2021-11-04T10:15:00.0000000Z,2021-11-04T10:30:00.0000000Z,2021-11-04T10:15:00.1210000Z,2021-11-04T10:29:59.9860000Z,3.20152,3.22,3.065,3.1,779681.0,9817
2021-11-04T10:30:00.0000000Z,2021-11-04T10:45:00.0000000Z,2021-11-04T10:30:00.3610000Z,2021-11-04T10:44:58.7260000Z,3.10003,3.15,2.96321,3.10999,729877.0,8844
2021-11-04T10:45:00.0000000Z,2021-11-04T11:00:00.0000000Z,2021-11-04T10:45:00.4490000Z,2021-11-04T10:59:59.6580000Z,3.10999,3.11351,2.8588,2.86461,1039583.0,9272
2021-11-04T11:00:00.0000000Z,2021-11-04T11:15:00.0000000Z,2021-11-04T11:00:00.0970000Z,2021-11-04T11:14:59.8470000Z,2.87181,3.1,2.85308,3.07356,1066960.0,10632
