time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-10T11:00:00.0000000Z,2021-03-31T23:58:33.9570000Z,7.25,34.66,7.25,17.022,10777718.797,1036945
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:54.6640000Z,2021-04-30T23:59:22.8710000Z,17.018,20.483,8.5,15.551,6150877.969,579028
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:01.1450000Z,2021-05-31T23:58:28.0590000Z,15.551,19.8,4.004,8.431,6935624.527,365842
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:32.2270000Z,2021-06-30T23:56:19.8200000Z,8.378,8.75,3.455,4.563,2701816.038,112626
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:45.7350000Z,2021-07-31T23:59:59.1350000Z,4.562,11.75,4.104,10.326,14559384.05,462855
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:04.8170000Z,2021-08-31T23:59:11.9580000Z,10.346,13.64,8.8,11.19,11941014.805,734106
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:28.0030000Z,2021-09-30T23:58:49.8390000Z,11.18,12.2,6.03,6.64,7408187.215,372925
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:51.6380000Z,2021-10-31T23:58:47.3890000Z,6.64,10.86,6.55,9.2,7465111.83,329734
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:01.6200000Z,2021-11-30T23:59:47.1370000Z,9.22,14.43,7.33,9.79,7824665.037,494617
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:34.9570000Z,2021-12-02T16:09:22.4410000Z,9.79,11.03,9.23,9.4,271844.48,16404
