time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-02T09:00:00.0000000Z,2021-04-02T09:15:00.0000000Z,2021-04-02T09:00:01.5320000Z,2021-04-02T09:14:59.8860000Z,8.402,11.337,6.601,8.912,3305925.039,66311
2021-04-02T09:15:00.0000000Z,2021-04-02T09:30:00.0000000Z,2021-04-02T09:15:00.2200000Z,2021-04-02T09:29:59.9040000Z,8.9,10.4,8.716,9.967,1427281.425,29434
2021-04-02T09:30:00.0000000Z,2021-04-02T09:45:00.0000000Z,2021-04-02T09:30:00.2500000Z,2021-04-02T09:44:59.9450000Z,9.973,10.45,9.526,9.92,938693.909,23159
2021-04-02T09:45:00.0000000Z,2021-04-02T10:00:00.0000000Z,2021-04-02T09:45:00.1450000Z,2021-04-02T09:59:59.9040000Z,9.919,9.996,8.916,9.391,621438.727,19026
2021-04-02T10:00:00.0000000Z,2021-04-02T10:15:00.0000000Z,2021-04-02T10:00:00.5310000Z,2021-04-02T10:14:59.1930000Z,9.378,9.9,9.163,9.322,436100.986,12614
2021-04-02T10:15:00.0000000Z,2021-04-02T10:30:00.0000000Z,2021-04-02T10:15:00.5700000Z,2021-04-02T10:29:59.8280000Z,9.33,9.4,8.6,8.725,394312.9,11182
2021-04-02T10:30:00.0000000Z,2021-04-02T10:45:00.0000000Z,2021-04-02T10:30:00.0920000Z,2021-04-02T10:44:59.9540000Z,8.736,8.762,8.116,8.5,484013.397,12965
2021-04-02T10:45:00.0000000Z,2021-04-02T11:00:00.0000000Z,2021-04-02T10:45:00.2020000Z,2021-04-02T10:59:59.6180000Z,8.5,8.919,8.25,8.604,410169.74,12348
2021-04-02T11:00:00.0000000Z,2021-04-02T11:15:00.0000000Z,2021-04-02T11:00:00.0270000Z,2021-04-02T11:14:19.3300000Z,8.625,9.3,8.494,8.646,508284.649,13943
2021-04-02T11:15:00.0000000Z,2021-04-02T11:30:00.0000000Z,2021-04-02T11:15:52.5090000Z,2021-04-02T11:29:59.9470000Z,8.606,8.863,8.42,8.511,179963.646,5779
2021-04-02T11:30:00.0000000Z,2021-04-02T11:45:00.0000000Z,2021-04-02T11:30:00.3190000Z,2021-04-02T11:44:58.9680000Z,8.519,8.65,8.266,8.285,178719.216,6134
2021-04-02T11:45:00.0000000Z,2021-04-02T12:00:00.0000000Z,2021-04-02T11:45:00.0830000Z,2021-04-02T11:59:59.7900000Z,8.285,8.67,8.268,8.488,210164.285,5864
2021-04-02T12:00:00.0000000Z,2021-04-02T12:15:00.0000000Z,2021-04-02T12:00:00.0210000Z,2021-04-02T12:14:59.4530000Z,8.488,8.55,8.2,8.22,141861.762,4057
2021-04-02T12:15:00.0000000Z,2021-04-02T12:30:00.0000000Z,2021-04-02T12:15:00.1930000Z,2021-04-02T12:29:59.5870000Z,8.22,8.22,7.84,7.942,255759.481,7498
2021-04-02T12:30:00.0000000Z,2021-04-02T12:45:00.0000000Z,2021-04-02T12:30:01.8170000Z,2021-04-02T12:44:59.8850000Z,7.922,8.135,7.824,8.032,150922.723,4476
