time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-30T12:00:00.0000000Z,2021-09-30T12:15:00.0000000Z,2021-09-30T12:07:25.2130000Z,2021-09-30T12:14:59.9510000Z,6.71,6.79,6.45,6.45,457066.0,7344
2021-09-30T12:15:00.0000000Z,2021-09-30T12:30:00.0000000Z,2021-09-30T12:15:00.7190000Z,2021-09-30T12:29:59.2840000Z,6.458,6.645,6.412,6.462,479716.6,7861
2021-09-30T12:30:00.0000000Z,2021-09-30T12:45:00.0000000Z,2021-09-30T12:30:00.2100000Z,2021-09-30T12:44:59.3720000Z,6.462,6.55,6.413,6.452,277068.8,4712
2021-09-30T12:45:00.0000000Z,2021-09-30T13:00:00.0000000Z,2021-09-30T12:45:00.6740000Z,2021-09-30T12:59:58.9220000Z,6.452,6.53,6.321,6.381,267914.5,3972
2021-09-30T13:00:00.0000000Z,2021-09-30T13:15:00.0000000Z,2021-09-30T13:00:03.8390000Z,2021-09-30T13:14:58.7930000Z,6.381,6.415,6.26,6.333,185415.8,3483
2021-09-30T13:15:00.0000000Z,2021-09-30T13:30:00.0000000Z,2021-09-30T13:15:00.1240000Z,2021-09-30T13:29:59.9030000Z,6.335,6.394,6.313,6.35,112112.4,2009
2021-09-30T13:30:00.0000000Z,2021-09-30T13:45:00.0000000Z,2021-09-30T13:30:01.0820000Z,2021-09-30T13:44:57.6480000Z,6.348,6.349,6.198,6.215,151363.4,2103
2021-09-30T13:45:00.0000000Z,2021-09-30T14:00:00.0000000Z,2021-09-30T13:45:05.4190000Z,2021-09-30T13:59:59.9430000Z,6.214,6.232,6.088,6.108,194924.0,2632
2021-09-30T14:00:00.0000000Z,2021-09-30T14:15:00.0000000Z,2021-09-30T14:00:00.0100000Z,2021-09-30T14:14:58.9970000Z,6.114,6.168,5.978,6.087,210320.5,3121
2021-09-30T14:15:00.0000000Z,2021-09-30T14:30:00.0000000Z,2021-09-30T14:15:00.2410000Z,2021-09-30T14:29:59.4740000Z,6.09,6.195,6.033,6.148,101570.5,1801
2021-09-30T14:30:00.0000000Z,2021-09-30T14:45:00.0000000Z,2021-09-30T14:30:00.6040000Z,2021-09-30T14:44:56.5780000Z,6.149,6.152,6.003,6.066,107526.9,1605
2021-09-30T14:45:00.0000000Z,2021-09-30T15:00:00.0000000Z,2021-09-30T14:45:01.1480000Z,2021-09-30T14:59:54.3070000Z,6.06,6.189,6.057,6.104,99332.8,1772
2021-09-30T15:00:00.0000000Z,2021-09-30T15:15:00.0000000Z,2021-09-30T15:00:00.2660000Z,2021-09-30T15:14:59.4530000Z,6.1,6.302,6.1,6.191,168719.7,2683
2021-09-30T15:15:00.0000000Z,2021-09-30T15:30:00.0000000Z,2021-09-30T15:15:01.2990000Z,2021-09-30T15:29:57.6800000Z,6.188,6.29,6.175,6.254,76118.9,1432
2021-09-30T15:30:00.0000000Z,2021-09-30T15:45:00.0000000Z,2021-09-30T15:30:00.6940000Z,2021-09-30T15:44:50.0780000Z,6.253,6.254,6.101,6.118,84666.6,1401
2021-09-30T15:45:00.0000000Z,2021-09-30T16:00:00.0000000Z,2021-09-30T15:45:03.5310000Z,2021-09-30T15:59:59.8890000Z,6.118,6.171,6.069,6.17,40233.0,949
2021-09-30T16:00:00.0000000Z,2021-09-30T16:15:00.0000000Z,2021-09-30T16:00:00.5140000Z,2021-09-30T16:14:57.5550000Z,6.171,6.172,6.038,6.065,35558.1,766
2021-09-30T16:15:00.0000000Z,2021-09-30T16:30:00.0000000Z,2021-09-30T16:15:04.1380000Z,2021-09-30T16:29:52.2620000Z,6.065,6.093,6.02,6.032,41784.7,641
2021-09-30T16:30:00.0000000Z,2021-09-30T16:45:00.0000000Z,2021-09-30T16:30:00.8580000Z,2021-09-30T16:44:59.8030000Z,6.033,6.044,5.977,6.005,53987.7,1057
2021-09-30T16:45:00.0000000Z,2021-09-30T17:00:00.0000000Z,2021-09-30T16:45:01.3030000Z,2021-09-30T16:59:59.9700000Z,6.011,6.06,5.992,6.021,29132.9,770
2021-09-30T17:00:00.0000000Z,2021-09-30T17:15:00.0000000Z,2021-09-30T17:00:01.0880000Z,2021-09-30T17:14:55.5240000Z,6.031,6.09,5.999,6.05,43480.8,1101
2021-09-30T17:15:00.0000000Z,2021-09-30T17:30:00.0000000Z,2021-09-30T17:15:04.5020000Z,2021-09-30T17:29:56.8120000Z,6.05,6.078,6.013,6.015,20339.8,513
2021-09-30T17:30:00.0000000Z,2021-09-30T17:45:00.0000000Z,2021-09-30T17:30:01.3720000Z,2021-09-30T17:44:55.5610000Z,6.015,6.054,5.995,6.009,29592.7,684
2021-09-30T17:45:00.0000000Z,2021-09-30T18:00:00.0000000Z,2021-09-30T17:45:00.5040000Z,2021-09-30T17:59:55.3040000Z,6.009,6.048,5.983,6.011,27036.8,695
2021-09-30T18:00:00.0000000Z,2021-09-30T18:15:00.0000000Z,2021-09-30T18:00:08.4310000Z,2021-09-30T18:14:46.7960000Z,6.007,6.06,5.99,6.024,23996.2,563
2021-09-30T18:15:00.0000000Z,2021-09-30T18:30:00.0000000Z,2021-09-30T18:15:00.8630000Z,2021-09-30T18:29:50.3170000Z,6.024,6.036,5.991,6.01,16453.3,400
2021-09-30T18:30:00.0000000Z,2021-09-30T18:45:00.0000000Z,2021-09-30T18:30:06.0290000Z,2021-09-30T18:44:57.9020000Z,6.01,6.169,6.003,6.157,39056.8,728
2021-09-30T18:45:00.0000000Z,2021-09-30T19:00:00.0000000Z,2021-09-30T18:45:00.8550000Z,2021-09-30T18:59:56.6510000Z,6.152,6.172,6.085,6.145,31607.9,742
2021-09-30T19:00:00.0000000Z,2021-09-30T19:15:00.0000000Z,2021-09-30T19:00:04.8450000Z,2021-09-30T19:14:48.8530000Z,6.145,6.193,6.091,6.171,28739.2,648
2021-09-30T19:15:00.0000000Z,2021-09-30T19:30:00.0000000Z,2021-09-30T19:15:08.0580000Z,2021-09-30T19:29:48.8130000Z,6.156,6.162,6.095,6.11,16198.4,461
2021-09-30T19:30:00.0000000Z,2021-09-30T19:45:00.0000000Z,2021-09-30T19:30:16.0140000Z,2021-09-30T19:44:47.6960000Z,6.11,6.172,6.05,6.056,27955.2,487
2021-09-30T19:45:00.0000000Z,2021-09-30T20:00:00.0000000Z,2021-09-30T19:45:03.6700000Z,2021-09-30T19:59:42.8560000Z,6.05,6.091,5.996,6.008,35453.0,605
2021-09-30T20:00:00.0000000Z,2021-09-30T20:15:00.0000000Z,2021-09-30T20:00:08.7230000Z,2021-09-30T20:14:55.9120000Z,6.005,6.098,6.005,6.057,14175.2,367
2021-09-30T20:15:00.0000000Z,2021-09-30T20:30:00.0000000Z,2021-09-30T20:15:04.6170000Z,2021-09-30T20:29:56.8840000Z,6.058,6.117,6.058,6.103,14824.1,349
2021-09-30T20:30:00.0000000Z,2021-09-30T20:45:00.0000000Z,2021-09-30T20:30:03.8900000Z,2021-09-30T20:44:44.5720000Z,6.108,6.11,5.987,5.994,42653.1,447
2021-09-30T20:45:00.0000000Z,2021-09-30T21:00:00.0000000Z,2021-09-30T20:45:02.2560000Z,2021-09-30T20:59:59.6320000Z,5.994,6.06,5.992,6.01,18540.0,368
