time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-01T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-29T02:00:00.0000000Z,2021-01-31T23:58:01.1690000Z,4.446,6.38,3.86,3.957,1408393.252,32778
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-01T00:00:10.6990000Z,2021-02-28T23:59:54.7740000Z,3.957,8.3,3.645,5.187,10228164.109,325701
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:14.0320000Z,2021-03-31T23:59:24.5350000Z,5.19,9.5,5.136,8.938,14943445.23,591095
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:03.1490000Z,2021-04-30T23:59:56.2720000Z,8.96,17.219,8.136,12.153,14633928.098,794750
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:37.3840000Z,2021-05-31T23:58:55.5290000Z,12.149,25.3,5.03,7.571,22655230.3,1328448
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:25.4020000Z,2021-06-30T23:59:06.3300000Z,7.571,10.912,4.259,5.307,11518528.167,404293
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:00.0480000Z,2021-07-31T23:59:58.1730000Z,5.306,6.0,4.0,5.512,9318606.165,282574
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:13.1930000Z,2021-08-31T23:57:01.8660000Z,5.512,9.1,5.033,7.437,16791668.228,561214
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:25.7800000Z,2021-09-30T23:58:41.0870000Z,7.426,9.424,5.0,5.344,13303241.523,456883
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:08.2420000Z,2021-10-31T23:58:41.3660000Z,5.346,12.296,5.258,8.49,22525892.424,758986
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:27.4950000Z,2021-11-30T23:59:41.9590000Z,8.48,9.872,6.666,7.684,9227290.3,307483
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:20.7910000Z,2021-12-02T16:08:25.8710000Z,7.693,7.955,7.5,7.709,267908.4,9398
