time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-30T13:00:00.0000000Z,2021-07-30T13:15:00.0000000Z,2021-07-30T13:04:22.1130000Z,2021-07-30T13:14:59.9790000Z,26.62,27.0,23.9,24.76,102022.01,8500
2021-07-30T13:15:00.0000000Z,2021-07-30T13:30:00.0000000Z,2021-07-30T13:15:00.2390000Z,2021-07-30T13:29:59.5680000Z,24.7,24.93,22.3,22.63,101796.06,6874
2021-07-30T13:30:00.0000000Z,2021-07-30T13:45:00.0000000Z,2021-07-30T13:30:00.1990000Z,2021-07-30T13:44:59.1160000Z,22.66,23.84,22.39,23.75,88891.29,6176
2021-07-30T13:45:00.0000000Z,2021-07-30T14:00:00.0000000Z,2021-07-30T13:45:00.3160000Z,2021-07-30T13:59:59.8190000Z,23.74,24.6,23.44,23.71,74557.17,6205
2021-07-30T14:00:00.0000000Z,2021-07-30T14:15:00.0000000Z,2021-07-30T14:00:00.3270000Z,2021-07-30T14:14:59.0730000Z,23.71,24.24,23.37,24.14,47630.77,4251
2021-07-30T14:15:00.0000000Z,2021-07-30T14:30:00.0000000Z,2021-07-30T14:15:00.1260000Z,2021-07-30T14:29:59.3330000Z,24.13,24.8,23.85,24.22,64123.4,4277
2021-07-30T14:30:00.0000000Z,2021-07-30T14:45:00.0000000Z,2021-07-30T14:30:02.1600000Z,2021-07-30T14:44:59.2740000Z,24.22,24.24,23.67,24.01,32704.35,3032
2021-07-30T14:45:00.0000000Z,2021-07-30T15:00:00.0000000Z,2021-07-30T14:45:01.5450000Z,2021-07-30T14:59:58.8380000Z,24.02,24.5,23.93,24.28,23973.25,2760
2021-07-30T15:00:00.0000000Z,2021-07-30T15:15:00.0000000Z,2021-07-30T15:00:01.0400000Z,2021-07-30T15:14:59.1280000Z,24.28,24.39,23.7,23.89,25162.47,2793
2021-07-30T15:15:00.0000000Z,2021-07-30T15:30:00.0000000Z,2021-07-30T15:15:00.2880000Z,2021-07-30T15:29:58.5660000Z,23.89,23.92,23.37,23.46,16655.45,2078
2021-07-30T15:30:00.0000000Z,2021-07-30T15:45:00.0000000Z,2021-07-30T15:30:00.9850000Z,2021-07-30T15:44:58.9170000Z,23.46,23.49,22.8,22.89,29946.35,2599
2021-07-30T15:45:00.0000000Z,2021-07-30T16:00:00.0000000Z,2021-07-30T15:45:00.0420000Z,2021-07-30T15:59:58.6340000Z,22.9,23.22,22.81,22.85,21444.19,2018
2021-07-30T16:00:00.0000000Z,2021-07-30T16:15:00.0000000Z,2021-07-30T16:00:02.0010000Z,2021-07-30T16:14:59.5790000Z,22.89,22.96,22.24,22.44,34503.28,2510
2021-07-30T16:15:00.0000000Z,2021-07-30T16:30:00.0000000Z,2021-07-30T16:15:00.1770000Z,2021-07-30T16:29:59.9940000Z,22.47,22.81,22.23,22.66,24018.13,1934
2021-07-30T16:30:00.0000000Z,2021-07-30T16:45:00.0000000Z,2021-07-30T16:30:00.2980000Z,2021-07-30T16:44:56.5030000Z,22.65,23.5,22.53,23.29,27759.43,2472
2021-07-30T16:45:00.0000000Z,2021-07-30T17:00:00.0000000Z,2021-07-30T16:45:00.3860000Z,2021-07-30T16:59:52.6420000Z,23.28,23.48,22.82,23.16,19821.73,1683
2021-07-30T17:00:00.0000000Z,2021-07-30T17:15:00.0000000Z,2021-07-30T17:00:02.3750000Z,2021-07-30T17:14:59.9030000Z,23.16,23.16,22.89,23.07,14185.17,1131
2021-07-30T17:15:00.0000000Z,2021-07-30T17:30:00.0000000Z,2021-07-30T17:15:00.1410000Z,2021-07-30T17:29:58.4360000Z,23.07,23.1,22.5,22.59,15080.24,995
2021-07-30T17:30:00.0000000Z,2021-07-30T17:45:00.0000000Z,2021-07-30T17:30:00.1830000Z,2021-07-30T17:44:54.3220000Z,22.56,22.6,22.21,22.59,10089.74,704
2021-07-30T17:45:00.0000000Z,2021-07-30T18:00:00.0000000Z,2021-07-30T17:45:02.4920000Z,2021-07-30T17:59:58.5100000Z,22.57,22.83,22.5,22.73,17201.73,825
2021-07-30T18:00:00.0000000Z,2021-07-30T18:15:00.0000000Z,2021-07-30T18:00:05.3340000Z,2021-07-30T18:14:57.1400000Z,22.75,22.95,22.5,22.56,18780.4,826
2021-07-30T18:15:00.0000000Z,2021-07-30T18:30:00.0000000Z,2021-07-30T18:15:03.6190000Z,2021-07-30T18:29:56.0320000Z,22.58,22.72,22.35,22.46,19143.39,760
2021-07-30T18:30:00.0000000Z,2021-07-30T18:45:00.0000000Z,2021-07-30T18:30:02.8710000Z,2021-07-30T18:44:57.1470000Z,22.49,22.79,22.45,22.56,8393.12,570
2021-07-30T18:45:00.0000000Z,2021-07-30T19:00:00.0000000Z,2021-07-30T18:45:07.6640000Z,2021-07-30T18:59:41.2070000Z,22.59,22.65,22.52,22.53,4785.3,252
2021-07-30T19:00:00.0000000Z,2021-07-30T19:15:00.0000000Z,2021-07-30T19:00:10.7520000Z,2021-07-30T19:14:55.1270000Z,22.53,22.59,22.3,22.37,7719.48,501
2021-07-30T19:15:00.0000000Z,2021-07-30T19:30:00.0000000Z,2021-07-30T19:15:08.2330000Z,2021-07-30T19:29:54.8610000Z,22.38,22.76,22.36,22.71,7245.33,465
2021-07-30T19:30:00.0000000Z,2021-07-30T19:45:00.0000000Z,2021-07-30T19:30:05.1270000Z,2021-07-30T19:44:59.8610000Z,22.71,23.27,22.57,23.27,17867.14,1094
2021-07-30T19:45:00.0000000Z,2021-07-30T20:00:00.0000000Z,2021-07-30T19:45:00.1190000Z,2021-07-30T19:59:58.4940000Z,23.26,23.32,22.85,23.09,13646.32,1017
2021-07-30T20:00:00.0000000Z,2021-07-30T20:15:00.0000000Z,2021-07-30T20:00:00.8310000Z,2021-07-30T20:14:59.4570000Z,23.09,23.6,23.09,23.42,13162.76,1102
2021-07-30T20:15:00.0000000Z,2021-07-30T20:30:00.0000000Z,2021-07-30T20:15:00.0340000Z,2021-07-30T20:29:58.8410000Z,23.42,24.27,23.36,24.2,20548.93,1676
2021-07-30T20:30:00.0000000Z,2021-07-30T20:45:00.0000000Z,2021-07-30T20:30:00.9020000Z,2021-07-30T20:44:58.2210000Z,24.2,24.26,23.39,23.55,23410.6,1721
2021-07-30T20:45:00.0000000Z,2021-07-30T21:00:00.0000000Z,2021-07-30T20:45:02.3510000Z,2021-07-30T20:59:58.0970000Z,23.56,23.57,23.07,23.35,16278.99,1162
2021-07-30T21:00:00.0000000Z,2021-07-30T21:15:00.0000000Z,2021-07-30T21:00:00.2220000Z,2021-07-30T21:14:59.6550000Z,23.37,23.9,23.12,23.66,13724.06,1262
2021-07-30T21:15:00.0000000Z,2021-07-30T21:30:00.0000000Z,2021-07-30T21:15:01.2030000Z,2021-07-30T21:29:59.4110000Z,23.7,23.81,23.53,23.79,7128.86,565
2021-07-30T21:30:00.0000000Z,2021-07-30T21:45:00.0000000Z,2021-07-30T21:30:01.7560000Z,2021-07-30T21:44:50.1590000Z,23.82,24.04,23.7,23.81,6600.64,738
2021-07-30T21:45:00.0000000Z,2021-07-30T22:00:00.0000000Z,2021-07-30T21:45:00.2670000Z,2021-07-30T21:59:54.6230000Z,23.82,23.84,23.45,23.52,6420.52,501
2021-07-30T22:00:00.0000000Z,2021-07-30T22:15:00.0000000Z,2021-07-30T22:00:00.5050000Z,2021-07-30T22:14:54.3280000Z,23.52,23.76,23.45,23.48,4569.36,402
2021-07-30T22:15:00.0000000Z,2021-07-30T22:30:00.0000000Z,2021-07-30T22:15:02.1340000Z,2021-07-30T22:29:49.1410000Z,23.51,23.59,23.09,23.38,10781.74,656
2021-07-30T22:30:00.0000000Z,2021-07-30T22:45:00.0000000Z,2021-07-30T22:30:00.5100000Z,2021-07-30T22:44:58.7680000Z,23.38,23.57,23.33,23.35,6348.71,335
2021-07-30T22:45:00.0000000Z,2021-07-30T23:00:00.0000000Z,2021-07-30T22:45:01.6220000Z,2021-07-30T22:59:56.6320000Z,23.35,23.43,22.8,22.8,6319.23,485
2021-07-30T23:00:00.0000000Z,2021-07-30T23:15:00.0000000Z,2021-07-30T23:00:00.3830000Z,2021-07-30T23:14:51.6810000Z,22.83,23.21,22.76,23.0,9964.58,651
2021-07-30T23:15:00.0000000Z,2021-07-30T23:30:00.0000000Z,2021-07-30T23:15:00.1730000Z,2021-07-30T23:29:53.3250000Z,23.01,23.18,22.74,23.04,8382.05,536
2021-07-30T23:30:00.0000000Z,2021-07-30T23:45:00.0000000Z,2021-07-30T23:30:09.6010000Z,2021-07-30T23:44:55.4500000Z,23.04,24.0,22.97,23.99,13683.53,1193
2021-07-30T23:45:00.0000000Z,2021-07-31T00:00:00.0000000Z,2021-07-30T23:45:00.2880000Z,2021-07-30T23:59:58.7430000Z,23.96,24.12,23.35,23.91,14002.95,1374
2021-07-31T00:00:00.0000000Z,2021-07-31T00:15:00.0000000Z,2021-07-31T00:00:01.8530000Z,2021-07-31T00:14:59.9950000Z,23.91,25.2,23.43,24.58,58727.05,3965
2021-07-31T00:15:00.0000000Z,2021-07-31T00:30:00.0000000Z,2021-07-31T00:15:00.0310000Z,2021-07-31T00:29:58.8070000Z,24.59,24.75,23.81,24.12,29089.49,1661
2021-07-31T00:30:00.0000000Z,2021-07-31T00:45:00.0000000Z,2021-07-31T00:30:00.1900000Z,2021-07-31T00:44:59.0390000Z,24.11,24.17,23.21,23.56,21033.67,1377
2021-07-31T00:45:00.0000000Z,2021-07-31T01:00:00.0000000Z,2021-07-31T00:45:02.1390000Z,2021-07-31T00:59:51.9370000Z,23.57,23.7,22.84,23.13,20085.81,1031
2021-07-31T01:00:00.0000000Z,2021-07-31T01:15:00.0000000Z,2021-07-31T01:00:01.2330000Z,2021-07-31T01:14:58.8460000Z,23.14,24.28,23.0,23.99,29762.96,2252
2021-07-31T01:15:00.0000000Z,2021-07-31T01:30:00.0000000Z,2021-07-31T01:15:00.3010000Z,2021-07-31T01:29:59.8360000Z,24.03,24.89,23.79,24.8,32260.3,1961
