time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-23T12:00:03.4750000Z,2021-02-28T23:59:39.9810000Z,1.5,2.0671,0.372,1.5918,3983006.19,43099
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:07.9370000Z,2021-03-31T23:59:01.3120000Z,1.5938,2.4,1.311,1.7202,30995274.44,299107
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:15.3080000Z,2021-04-30T23:57:46.5340000Z,1.7228,2.1904,1.1389,1.5579,38510717.99,323308
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:00.5780000Z,2021-05-31T23:58:53.5700000Z,1.5605,1.7322,0.5002,0.795,56426025.38,292882
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:40.7440000Z,2021-06-30T23:59:57.8500000Z,0.7914,0.9698,0.4292,0.591,53236204.14,235081
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:17.2220000Z,2021-07-31T23:59:59.2080000Z,0.5921,0.799,0.4744,0.626,58802184.01,245322
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:12.9780000Z,2021-08-31T23:59:40.5500000Z,0.6266,1.0928,0.6187,0.8573,115312787.13,460630
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:22.5140000Z,2021-09-30T23:59:57.6680000Z,0.8559,1.0764,0.6193,0.6464,99643778.59,361571
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:13.2230000Z,2021-10-31T23:59:59.3850000Z,0.6456,1.25,0.6441,1.0451,184067982.13,1238639
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:00.0660000Z,2021-11-30T23:59:59.3330000Z,1.0451,1.3381,0.843,0.9234,198165327.15,2826848
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:00.2200000Z,2021-12-02T16:09:46.6650000Z,0.9235,0.9635,0.88,0.8996,9543456.0,81913
