time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-10T10:00:00.0000000Z,2021-06-10T10:15:00.0000000Z,2021-06-10T10:06:35.4260000Z,2021-06-10T10:14:56.9990000Z,12.22,13.98,12.01710001,12.89,59606.20680432,2062
2021-06-10T10:15:00.0000000Z,2021-06-10T10:30:00.0000000Z,2021-06-10T10:15:00.7520000Z,2021-06-10T10:29:59.5010000Z,12.89,13.37999999,11.66430647,12.30017562,35682.22386976,1350
2021-06-10T10:30:00.0000000Z,2021-06-10T10:45:00.0000000Z,2021-06-10T10:30:01.7070000Z,2021-06-10T10:44:58.5720000Z,12.30017562,14.09999999,11.88,12.65006883,43041.27543224,1533
2021-06-10T10:45:00.0000000Z,2021-06-10T11:00:00.0000000Z,2021-06-10T10:45:00.8150000Z,2021-06-10T10:59:57.4360000Z,12.7,12.99,12.06,12.27,14405.74967906,831
2021-06-10T11:00:00.0000000Z,2021-06-10T11:15:00.0000000Z,2021-06-10T11:00:02.3880000Z,2021-06-10T11:14:48.9360000Z,12.25,12.6,12.1,12.27,9590.89,628
2021-06-10T11:15:00.0000000Z,2021-06-10T11:30:00.0000000Z,2021-06-10T11:15:04.6980000Z,2021-06-10T11:29:59.1820000Z,12.2,12.28,11.41,11.94,17477.17417757,726
2021-06-10T11:30:00.0000000Z,2021-06-10T11:45:00.0000000Z,2021-06-10T11:30:00.6620000Z,2021-06-10T11:44:49.3920000Z,11.74,11.88,10.75,10.97,15739.1,655
2021-06-10T11:45:00.0000000Z,2021-06-10T12:00:00.0000000Z,2021-06-10T11:45:04.8370000Z,2021-06-10T11:59:58.8660000Z,10.95,11.78,10.87,11.12,12173.35,708
2021-06-10T12:00:00.0000000Z,2021-06-10T12:15:00.0000000Z,2021-06-10T12:00:05.5010000Z,2021-06-10T12:14:56.1180000Z,11.16,11.61,11.03,11.31,15917.84,481
2021-06-10T12:15:00.0000000Z,2021-06-10T12:30:00.0000000Z,2021-06-10T12:15:04.0000000Z,2021-06-10T12:29:50.1140000Z,11.33,11.47,10.72,10.82,8617.0,412
2021-06-10T12:30:00.0000000Z,2021-06-10T12:45:00.0000000Z,2021-06-10T12:30:07.3490000Z,2021-06-10T12:44:42.4490000Z,10.83,11.15,10.81,11.04,6364.28,266
2021-06-10T12:45:00.0000000Z,2021-06-10T13:00:00.0000000Z,2021-06-10T12:45:19.6020000Z,2021-06-10T12:59:56.1960000Z,11.04,11.05,10.79,10.79,12617.66,143
2021-06-10T13:00:00.0000000Z,2021-06-10T13:15:00.0000000Z,2021-06-10T13:00:02.2990000Z,2021-06-10T13:14:57.6060000Z,10.79,11.1,10.26,10.9,17067.32,503
2021-06-10T13:15:00.0000000Z,2021-06-10T13:30:00.0000000Z,2021-06-10T13:15:23.1270000Z,2021-06-10T13:29:57.3970000Z,10.87,10.87,10.4,10.67,3873.51,208
2021-06-10T13:30:00.0000000Z,2021-06-10T13:45:00.0000000Z,2021-06-10T13:30:00.1970000Z,2021-06-10T13:44:18.0140000Z,10.71,10.82,10.35,10.61,2742.74,179
2021-06-10T13:45:00.0000000Z,2021-06-10T14:00:00.0000000Z,2021-06-10T13:45:03.7870000Z,2021-06-10T13:59:55.7930000Z,10.61,11.79,10.61,11.15,8733.34,352
2021-06-10T14:00:00.0000000Z,2021-06-10T14:15:00.0000000Z,2021-06-10T14:00:00.0620000Z,2021-06-10T14:14:51.4790000Z,11.2,11.79,10.67,11.02,21490.55,1229
2021-06-10T14:15:00.0000000Z,2021-06-10T14:30:00.0000000Z,2021-06-10T14:15:01.2150000Z,2021-06-10T14:29:59.2500000Z,11.05,11.75,10.89,11.65,10626.53,528
2021-06-10T14:30:00.0000000Z,2021-06-10T14:45:00.0000000Z,2021-06-10T14:30:00.1120000Z,2021-06-10T14:44:57.5740000Z,11.62,12.49,11.12,11.14,53571.13,2350
2021-06-10T14:45:00.0000000Z,2021-06-10T15:00:00.0000000Z,2021-06-10T14:45:01.8240000Z,2021-06-10T14:59:37.1380000Z,11.23,11.5,10.98,11.22,16472.61,864
2021-06-10T15:00:00.0000000Z,2021-06-10T15:15:00.0000000Z,2021-06-10T15:00:01.4750000Z,2021-06-10T15:14:54.0670000Z,11.22,11.3,10.94,11.09,9490.47,447
2021-06-10T15:15:00.0000000Z,2021-06-10T15:30:00.0000000Z,2021-06-10T15:15:06.8060000Z,2021-06-10T15:29:59.2750000Z,11.05,11.45,10.76,11.37,9899.76,452
2021-06-10T15:30:00.0000000Z,2021-06-10T15:45:00.0000000Z,2021-06-10T15:30:00.6040000Z,2021-06-10T15:44:57.7240000Z,11.36,12.0,11.28,11.49,14279.3,950
2021-06-10T15:45:00.0000000Z,2021-06-10T16:00:00.0000000Z,2021-06-10T15:45:07.0430000Z,2021-06-10T15:59:55.4470000Z,11.48,12.0,11.32,11.47,9517.95,529
2021-06-10T16:00:00.0000000Z,2021-06-10T16:15:00.0000000Z,2021-06-10T16:00:01.6910000Z,2021-06-10T16:14:55.6230000Z,11.4,12.2,11.37,11.73,24039.65,1086
2021-06-10T16:15:00.0000000Z,2021-06-10T16:30:00.0000000Z,2021-06-10T16:15:02.4970000Z,2021-06-10T16:29:59.8230000Z,11.65,12.0,11.12,11.24,18069.31,926
2021-06-10T16:30:00.0000000Z,2021-06-10T16:45:00.0000000Z,2021-06-10T16:30:00.6290000Z,2021-06-10T16:44:59.1360000Z,11.24,11.4,11.05,11.24,5408.52,434
2021-06-10T16:45:00.0000000Z,2021-06-10T17:00:00.0000000Z,2021-06-10T16:45:21.9080000Z,2021-06-10T16:59:55.3170000Z,11.25,11.25,10.8,10.87,8910.94,345
2021-06-10T17:00:00.0000000Z,2021-06-10T17:15:00.0000000Z,2021-06-10T17:00:02.7070000Z,2021-06-10T17:14:58.5810000Z,10.94,11.2,10.55,10.55,11715.84,435
2021-06-10T17:15:00.0000000Z,2021-06-10T17:30:00.0000000Z,2021-06-10T17:15:00.5510000Z,2021-06-10T17:29:51.3720000Z,10.54,10.79,10.4,10.4,6126.85,255
2021-06-10T17:30:00.0000000Z,2021-06-10T17:45:00.0000000Z,2021-06-10T17:30:01.2540000Z,2021-06-10T17:44:55.3930000Z,10.41,10.43,10.0,10.43,13168.7,492
2021-06-10T17:45:00.0000000Z,2021-06-10T18:00:00.0000000Z,2021-06-10T17:45:01.6400000Z,2021-06-10T17:59:56.6210000Z,10.42,10.7,10.0,10.17,9210.93,354
2021-06-10T18:00:00.0000000Z,2021-06-10T18:15:00.0000000Z,2021-06-10T18:00:02.5460000Z,2021-06-10T18:14:52.7150000Z,10.15,10.61,10.06,10.57,4750.12,255
