time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-09T08:00:00.0000000Z,2021-09-09T08:15:00.0000000Z,2021-09-09T08:12:40.9940000Z,2021-09-09T08:14:59.5120000Z,0.65198,0.67072,0.65147,0.67053,472941.9,965
2021-09-09T08:15:00.0000000Z,2021-09-09T08:30:00.0000000Z,2021-09-09T08:15:01.5940000Z,2021-09-09T08:29:59.1640000Z,0.66915,0.675,0.61499,0.63333,2020816.9,3472
2021-09-09T08:30:00.0000000Z,2021-09-09T08:45:00.0000000Z,2021-09-09T08:30:00.0620000Z,2021-09-09T08:44:59.0980000Z,0.6317,0.63304,0.60103,0.61036,1202728.1,1976
2021-09-09T08:45:00.0000000Z,2021-09-09T09:00:00.0000000Z,2021-09-09T08:45:00.2680000Z,2021-09-09T08:59:58.1340000Z,0.6111,0.63,0.60243,0.62044,826190.0,1551
2021-09-09T09:00:00.0000000Z,2021-09-09T09:15:00.0000000Z,2021-09-09T09:00:00.5250000Z,2021-09-09T09:14:59.9430000Z,0.6204,0.64,0.60402,0.60715,1020558.3,1898
2021-09-09T09:15:00.0000000Z,2021-09-09T09:30:00.0000000Z,2021-09-09T09:15:02.5190000Z,2021-09-09T09:29:59.2350000Z,0.60838,0.60912,0.57213,0.58698,1347007.5,2104
2021-09-09T09:30:00.0000000Z,2021-09-09T09:45:00.0000000Z,2021-09-09T09:30:00.0090000Z,2021-09-09T09:44:55.7250000Z,0.58782,0.60184,0.58169,0.59326,527995.3,1249
2021-09-09T09:45:00.0000000Z,2021-09-09T10:00:00.0000000Z,2021-09-09T09:45:01.6320000Z,2021-09-09T09:59:46.1820000Z,0.59339,0.59339,0.57287,0.5847,722952.3,1030
2021-09-09T10:00:00.0000000Z,2021-09-09T10:15:00.0000000Z,2021-09-09T10:00:00.6520000Z,2021-09-09T10:14:57.4820000Z,0.5847,0.58798,0.5789,0.58003,766076.7,948
2021-09-09T10:15:00.0000000Z,2021-09-09T10:30:00.0000000Z,2021-09-09T10:15:00.4810000Z,2021-09-09T10:29:58.9400000Z,0.58039,0.58152,0.55842,0.56976,759886.1,1070
2021-09-09T10:30:00.0000000Z,2021-09-09T10:45:00.0000000Z,2021-09-09T10:30:00.1050000Z,2021-09-09T10:44:55.9020000Z,0.56801,0.58,0.56222,0.56929,817964.7,773
2021-09-09T10:45:00.0000000Z,2021-09-09T11:00:00.0000000Z,2021-09-09T10:45:01.8510000Z,2021-09-09T10:59:59.6030000Z,0.56901,0.59827,0.56519,0.59579,736699.0,1240
2021-09-09T11:00:00.0000000Z,2021-09-09T11:15:00.0000000Z,2021-09-09T11:00:01.7990000Z,2021-09-09T11:14:59.8500000Z,0.59559,0.6,0.577,0.577,551146.9,890
2021-09-09T11:15:00.0000000Z,2021-09-09T11:30:00.0000000Z,2021-09-09T11:15:00.2420000Z,2021-09-09T11:29:45.0120000Z,0.57802,0.57855,0.568,0.56875,371739.9,662
