time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T10:00:00.0000000Z,2021-06-06T10:15:00.0000000Z,2021-06-06T10:03:55.5570000Z,2021-06-06T10:14:48.1070000Z,4.662,4.667,4.641,4.644,652.21,28
2021-06-06T10:15:00.0000000Z,2021-06-06T10:30:00.0000000Z,2021-06-06T10:17:34.2640000Z,2021-06-06T10:27:20.4670000Z,4.62,4.719,4.601,4.631,188.2,16
2021-06-06T10:30:00.0000000Z,2021-06-06T10:45:00.0000000Z,2021-06-06T10:31:34.8930000Z,2021-06-06T10:44:35.1820000Z,4.618,4.619,4.449,4.577,1887.33,44
2021-06-06T10:45:00.0000000Z,2021-06-06T11:00:00.0000000Z,2021-06-06T10:45:39.1520000Z,2021-06-06T10:52:20.9290000Z,4.599,4.61,4.595,4.602,542.73,12
2021-06-06T11:00:00.0000000Z,2021-06-06T11:15:00.0000000Z,2021-06-06T11:05:07.4560000Z,2021-06-06T11:14:51.8090000Z,4.586,4.718,4.577,4.718,228.03,11
2021-06-06T11:15:00.0000000Z,2021-06-06T11:30:00.0000000Z,2021-06-06T11:16:33.2780000Z,2021-06-06T11:22:38.4080000Z,4.568,4.579,4.563,4.579,775.96,11
2021-06-06T11:30:00.0000000Z,2021-06-06T11:45:00.0000000Z,2021-06-06T11:42:55.6330000Z,2021-06-06T11:43:02.7080000Z,4.587,4.59,4.587,4.59,304.06,3
2021-06-06T11:45:00.0000000Z,2021-06-06T12:00:00.0000000Z,2021-06-06T11:45:14.5580000Z,2021-06-06T11:59:50.3700000Z,4.594,4.595,1.16,4.546,8116.11,123
2021-06-06T12:00:00.0000000Z,2021-06-06T12:15:00.0000000Z,2021-06-06T12:01:20.7500000Z,2021-06-06T12:11:35.5650000Z,4.555,4.572,4.555,4.571,373.96,9
2021-06-06T12:15:00.0000000Z,2021-06-06T12:30:00.0000000Z,2021-06-06T12:21:26.9710000Z,2021-06-06T12:21:26.9710000Z,4.595,4.595,4.595,4.595,5.0,1
2021-06-06T12:30:00.0000000Z,2021-06-06T12:45:00.0000000Z,2021-06-06T12:31:34.6100000Z,2021-06-06T12:34:57.8270000Z,4.611,4.611,4.602,4.602,236.43,4
2021-06-06T12:45:00.0000000Z,2021-06-06T13:00:00.0000000Z,2021-06-06T12:45:18.0870000Z,2021-06-06T12:57:04.0620000Z,4.6,4.604,4.59,4.601,2266.77,17
2021-06-06T13:00:00.0000000Z,2021-06-06T13:15:00.0000000Z,2021-06-06T13:04:22.4450000Z,2021-06-06T13:11:23.1470000Z,4.623,4.657,4.623,4.64,76.82,5
2021-06-06T13:15:00.0000000Z,2021-06-06T13:30:00.0000000Z,2021-06-06T13:18:18.7690000Z,2021-06-06T13:18:18.7690000Z,4.605,4.651,4.605,4.651,800.01,3
2021-06-06T13:30:00.0000000Z,2021-06-06T13:45:00.0000000Z,2021-06-06T13:31:04.9370000Z,2021-06-06T13:41:26.9100000Z,4.576,4.576,4.545,4.545,93.47,7
2021-06-06T13:45:00.0000000Z,2021-06-06T14:00:00.0000000Z,2021-06-06T13:47:18.3430000Z,2021-06-06T13:47:18.3430000Z,4.545,4.545,4.545,4.545,16.81,1
2021-06-06T14:00:00.0000000Z,2021-06-06T14:15:00.0000000Z,2021-06-06T14:05:18.8230000Z,2021-06-06T14:14:25.7820000Z,4.573,4.573,4.533,4.56,384.0,12
2021-06-06T14:15:00.0000000Z,2021-06-06T14:30:00.0000000Z,2021-06-06T14:16:37.9950000Z,2021-06-06T14:28:03.0100000Z,4.535,4.739,4.534,4.612,2457.98,96
2021-06-06T14:30:00.0000000Z,2021-06-06T14:45:00.0000000Z,2021-06-06T14:30:21.5270000Z,2021-06-06T14:43:14.7190000Z,4.613,4.618,4.613,4.618,75.49,4
2021-06-06T14:45:00.0000000Z,2021-06-06T15:00:00.0000000Z,2021-06-06T14:52:13.4900000Z,2021-06-06T14:59:40.8360000Z,4.639,4.646,4.622,4.646,97.78,5
2021-06-06T15:00:00.0000000Z,2021-06-06T15:15:00.0000000Z,2021-06-06T15:00:58.0110000Z,2021-06-06T15:10:41.4750000Z,4.623,4.668,4.622,4.668,201.03,10
2021-06-06T15:15:00.0000000Z,2021-06-06T15:30:00.0000000Z,2021-06-06T15:17:46.0480000Z,2021-06-06T15:29:01.6560000Z,4.638,4.664,4.637,4.664,134.71,5
2021-06-06T15:30:00.0000000Z,2021-06-06T15:45:00.0000000Z,2021-06-06T15:30:14.2580000Z,2021-06-06T15:42:35.2320000Z,4.645,4.658,4.615,4.615,126.85,8
2021-06-06T16:00:00.0000000Z,2021-06-06T16:15:00.0000000Z,2021-06-06T16:01:14.2290000Z,2021-06-06T16:02:33.2790000Z,4.651,4.668,4.618,4.668,229.89,6
2021-06-06T16:15:00.0000000Z,2021-06-06T16:30:00.0000000Z,2021-06-06T16:20:00.6990000Z,2021-06-06T16:29:19.6040000Z,4.7,4.736,4.688,4.736,245.97,17
2021-06-06T16:30:00.0000000Z,2021-06-06T16:45:00.0000000Z,2021-06-06T16:32:45.0610000Z,2021-06-06T16:44:58.0960000Z,4.736,4.744,4.706,4.706,85.65,6
2021-06-06T16:45:00.0000000Z,2021-06-06T17:00:00.0000000Z,2021-06-06T16:47:42.8850000Z,2021-06-06T16:57:59.8810000Z,4.69,4.721,4.682,4.721,703.73,11
2021-06-06T17:00:00.0000000Z,2021-06-06T17:15:00.0000000Z,2021-06-06T17:10:12.8830000Z,2021-06-06T17:14:15.9620000Z,4.683,4.699,4.683,4.699,143.03,5
2021-06-06T17:15:00.0000000Z,2021-06-06T17:30:00.0000000Z,2021-06-06T17:20:17.6750000Z,2021-06-06T17:28:45.9410000Z,4.695,4.696,4.649,4.675,31.14,5
2021-06-06T17:30:00.0000000Z,2021-06-06T17:45:00.0000000Z,2021-06-06T17:36:58.1960000Z,2021-06-06T17:42:07.8500000Z,4.671,4.672,4.649,4.664,187.95,9
2021-06-06T17:45:00.0000000Z,2021-06-06T18:00:00.0000000Z,2021-06-06T17:45:16.9760000Z,2021-06-06T17:58:34.7170000Z,4.645,4.657,4.641,4.656,24.6,6
2021-06-06T18:00:00.0000000Z,2021-06-06T18:15:00.0000000Z,2021-06-06T18:04:53.4490000Z,2021-06-06T18:08:47.8610000Z,4.641,4.641,4.64,4.64,101.68,5
2021-06-06T18:15:00.0000000Z,2021-06-06T18:30:00.0000000Z,2021-06-06T18:24:43.3010000Z,2021-06-06T18:29:48.5000000Z,4.628,4.631,4.628,4.63,442.16,3
2021-06-06T18:30:00.0000000Z,2021-06-06T18:45:00.0000000Z,2021-06-06T18:33:06.2030000Z,2021-06-06T18:37:06.8970000Z,4.63,4.638,4.63,4.638,301.34,8
2021-06-06T18:45:00.0000000Z,2021-06-06T19:00:00.0000000Z,2021-06-06T18:45:10.6510000Z,2021-06-06T18:56:38.4930000Z,4.651,4.651,4.624,4.624,46.18,4
2021-06-06T19:00:00.0000000Z,2021-06-06T19:15:00.0000000Z,2021-06-06T19:07:57.4140000Z,2021-06-06T19:08:48.2230000Z,4.624,4.624,4.624,4.624,106.59,5
2021-06-06T19:15:00.0000000Z,2021-06-06T19:30:00.0000000Z,2021-06-06T19:18:09.5190000Z,2021-06-06T19:26:43.9050000Z,4.619,4.627,4.618,4.627,160.21,10
2021-06-06T19:30:00.0000000Z,2021-06-06T19:45:00.0000000Z,2021-06-06T19:39:04.0700000Z,2021-06-06T19:42:16.0580000Z,4.604,4.608,4.6,4.608,35.76,4
2021-06-06T19:45:00.0000000Z,2021-06-06T20:00:00.0000000Z,2021-06-06T19:47:23.5530000Z,2021-06-06T19:56:10.1700000Z,4.6,4.602,4.6,4.601,507.72,7
2021-06-06T20:00:00.0000000Z,2021-06-06T20:15:00.0000000Z,2021-06-06T20:00:13.9030000Z,2021-06-06T20:12:51.8230000Z,4.6,4.615,4.59,4.59,157.93,11
2021-06-06T20:15:00.0000000Z,2021-06-06T20:30:00.0000000Z,2021-06-06T20:22:20.8570000Z,2021-06-06T20:23:15.0710000Z,4.615,4.627,4.615,4.627,110.61,5
2021-06-06T20:30:00.0000000Z,2021-06-06T20:45:00.0000000Z,2021-06-06T20:31:43.8140000Z,2021-06-06T20:36:34.4330000Z,4.633,4.66,4.627,4.627,148.7,9
