time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-28T05:00:00.0000000Z,2021-05-28T05:15:00.0000000Z,2021-05-28T05:07:21.0830000Z,2021-05-28T05:14:56.6330000Z,30.42,30.7,29.55,29.55,8092.04,726
2021-05-28T05:15:00.0000000Z,2021-05-28T05:30:00.0000000Z,2021-05-28T05:15:00.0840000Z,2021-05-28T05:29:58.9880000Z,29.53,29.53,27.71,28.27,25772.09,2080
2021-05-28T05:30:00.0000000Z,2021-05-28T05:45:00.0000000Z,2021-05-28T05:30:02.0030000Z,2021-05-28T05:44:56.0130000Z,28.27,28.34,27.09,27.12,15413.39,806
2021-05-28T05:45:00.0000000Z,2021-05-28T06:00:00.0000000Z,2021-05-28T05:45:00.4280000Z,2021-05-28T05:59:58.5620000Z,27.11,27.14,25.98,26.65,8129.92,612
2021-05-28T06:00:00.0000000Z,2021-05-28T06:15:00.0000000Z,2021-05-28T06:00:08.1690000Z,2021-05-28T06:14:42.9440000Z,26.67,27.31,26.58,26.89,4945.45,418
2021-05-28T06:15:00.0000000Z,2021-05-28T06:30:00.0000000Z,2021-05-28T06:15:05.0180000Z,2021-05-28T06:29:44.7950000Z,26.89,27.0,26.53,26.57,3268.38,249
2021-05-28T06:30:00.0000000Z,2021-05-28T06:45:00.0000000Z,2021-05-28T06:30:00.4490000Z,2021-05-28T06:44:58.7880000Z,26.6,26.64,26.31,26.54,3000.53,169
2021-05-28T06:45:00.0000000Z,2021-05-28T07:00:00.0000000Z,2021-05-28T06:45:12.2550000Z,2021-05-28T06:59:59.4100000Z,26.47,27.98,26.44,27.2,4409.49,249
2021-05-28T07:00:00.0000000Z,2021-05-28T07:15:00.0000000Z,2021-05-28T07:00:11.8220000Z,2021-05-28T07:14:53.1800000Z,27.2,27.8,27.14,27.66,3357.06,234
2021-05-28T07:15:00.0000000Z,2021-05-28T07:30:00.0000000Z,2021-05-28T07:15:17.2160000Z,2021-05-28T07:29:48.3080000Z,27.67,27.8,27.38,27.68,2148.23,191
2021-05-28T07:30:00.0000000Z,2021-05-28T07:45:00.0000000Z,2021-05-28T07:30:07.2170000Z,2021-05-28T07:44:11.3260000Z,27.7,27.86,27.62,27.78,1734.83,111
2021-05-28T07:45:00.0000000Z,2021-05-28T08:00:00.0000000Z,2021-05-28T07:45:02.4380000Z,2021-05-28T07:59:56.1940000Z,27.83,28.25,27.72,28.23,6997.37,150
