time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-25T06:00:00.0000000Z,2021-05-25T06:15:00.0000000Z,2021-05-25T06:05:02.6700000Z,2021-05-25T06:14:59.7770000Z,9.539,10.25,9.361,9.813,173140.49,3782
2021-05-25T06:15:00.0000000Z,2021-05-25T06:30:00.0000000Z,2021-05-25T06:15:00.6550000Z,2021-05-25T06:29:55.4280000Z,9.831,9.993,9.38,9.49,85932.83,2881
2021-05-25T06:30:00.0000000Z,2021-05-25T06:45:00.0000000Z,2021-05-25T06:30:01.0000000Z,2021-05-25T06:44:59.0710000Z,9.476,9.489,8.83,9.226,135798.35,3560
2021-05-25T06:45:00.0000000Z,2021-05-25T07:00:00.0000000Z,2021-05-25T06:45:11.3220000Z,2021-05-25T06:59:56.5400000Z,9.227,9.43,9.053,9.42,38246.27,1529
2021-05-25T07:00:00.0000000Z,2021-05-25T07:15:00.0000000Z,2021-05-25T07:00:00.9730000Z,2021-05-25T07:14:59.6460000Z,9.415,9.42,8.948,9.125,40553.7,1220
2021-05-25T07:15:00.0000000Z,2021-05-25T07:30:00.0000000Z,2021-05-25T07:15:00.9320000Z,2021-05-25T07:29:53.8470000Z,9.091,9.598,9.048,9.312,73195.06,1317
2021-05-25T07:30:00.0000000Z,2021-05-25T07:45:00.0000000Z,2021-05-25T07:30:19.9080000Z,2021-05-25T07:44:57.2140000Z,9.309,9.359,9.167,9.192,13392.2,451
2021-05-25T07:45:00.0000000Z,2021-05-25T08:00:00.0000000Z,2021-05-25T07:45:02.1650000Z,2021-05-25T07:59:59.5640000Z,9.173,9.249,9.083,9.237,12736.6,487
2021-05-25T08:00:00.0000000Z,2021-05-25T08:15:00.0000000Z,2021-05-25T08:00:00.3690000Z,2021-05-25T08:14:52.7530000Z,9.239,9.268,8.831,8.872,27676.29,902
2021-05-25T08:15:00.0000000Z,2021-05-25T08:30:00.0000000Z,2021-05-25T08:15:00.2140000Z,2021-05-25T08:29:50.0590000Z,8.859,9.0,8.75,8.918,30608.75,901
2021-05-25T08:30:00.0000000Z,2021-05-25T08:45:00.0000000Z,2021-05-25T08:30:11.3920000Z,2021-05-25T08:44:57.6170000Z,8.917,8.921,8.75,8.754,37484.88,534
2021-05-25T08:45:00.0000000Z,2021-05-25T09:00:00.0000000Z,2021-05-25T08:45:08.6370000Z,2021-05-25T08:59:52.4130000Z,8.754,8.936,8.587,8.6,26967.25,470
2021-05-25T09:00:00.0000000Z,2021-05-25T09:15:00.0000000Z,2021-05-25T09:00:02.9780000Z,2021-05-25T09:14:55.5900000Z,8.589,8.898,8.587,8.842,9618.47,469
2021-05-25T09:15:00.0000000Z,2021-05-25T09:30:00.0000000Z,2021-05-25T09:15:06.1820000Z,2021-05-25T09:29:47.9420000Z,8.844,8.898,8.65,8.753,9101.24,492
2021-05-25T09:30:00.0000000Z,2021-05-25T09:45:00.0000000Z,2021-05-25T09:30:01.7260000Z,2021-05-25T09:44:57.8520000Z,8.772,8.936,8.705,8.796,8472.02,388
2021-05-25T09:45:00.0000000Z,2021-05-25T10:00:00.0000000Z,2021-05-25T09:45:00.8550000Z,2021-05-25T09:59:58.5940000Z,8.796,9.1,8.766,9.088,16904.25,529
2021-05-25T10:00:00.0000000Z,2021-05-25T10:15:00.0000000Z,2021-05-25T10:00:00.5230000Z,2021-05-25T10:14:59.2170000Z,9.081,9.1,8.216,8.334,42636.27,1310
2021-05-25T10:15:00.0000000Z,2021-05-25T10:30:00.0000000Z,2021-05-25T10:15:00.0920000Z,2021-05-25T10:29:59.2720000Z,8.285,8.531,8.159,8.273,25305.78,836
2021-05-25T10:30:00.0000000Z,2021-05-25T10:45:00.0000000Z,2021-05-25T10:30:02.3300000Z,2021-05-25T10:44:56.8510000Z,8.259,8.336,8.006,8.226,34023.72,1124
2021-05-25T10:45:00.0000000Z,2021-05-25T11:00:00.0000000Z,2021-05-25T10:45:00.6110000Z,2021-05-25T10:59:54.3110000Z,8.209,8.397,8.15,8.19,19675.29,547
2021-05-25T11:00:00.0000000Z,2021-05-25T11:15:00.0000000Z,2021-05-25T11:00:06.7960000Z,2021-05-25T11:14:57.9390000Z,8.199,8.387,8.1,8.119,12932.12,398
2021-05-25T11:15:00.0000000Z,2021-05-25T11:30:00.0000000Z,2021-05-25T11:15:05.3300000Z,2021-05-25T11:29:55.7150000Z,8.125,8.366,8.101,8.321,11134.27,474
2021-05-25T11:30:00.0000000Z,2021-05-25T11:45:00.0000000Z,2021-05-25T11:30:07.4320000Z,2021-05-25T11:44:57.8720000Z,8.321,8.583,8.267,8.541,10633.65,301
2021-05-25T11:45:00.0000000Z,2021-05-25T12:00:00.0000000Z,2021-05-25T11:45:03.6240000Z,2021-05-25T11:59:50.8470000Z,8.549,8.609,7.88,7.953,36792.18,1076
2021-05-25T12:00:00.0000000Z,2021-05-25T12:15:00.0000000Z,2021-05-25T12:00:05.0160000Z,2021-05-25T12:14:47.5160000Z,7.951,8.184,7.866,8.131,22910.79,620
2021-05-25T12:15:00.0000000Z,2021-05-25T12:30:00.0000000Z,2021-05-25T12:15:12.8880000Z,2021-05-25T12:29:59.7850000Z,8.128,8.285,8.025,8.025,12619.76,315
2021-05-25T12:30:00.0000000Z,2021-05-25T12:45:00.0000000Z,2021-05-25T12:30:12.0700000Z,2021-05-25T12:44:59.1400000Z,8.022,8.025,7.75,7.75,31467.41,734
2021-05-25T12:45:00.0000000Z,2021-05-25T13:00:00.0000000Z,2021-05-25T12:45:01.1500000Z,2021-05-25T12:59:42.8270000Z,7.777,7.958,7.75,7.916,5822.13,317
2021-05-25T13:00:00.0000000Z,2021-05-25T13:15:00.0000000Z,2021-05-25T13:00:28.8410000Z,2021-05-25T13:14:03.6860000Z,7.924,8.237,7.924,8.115,8784.66,348
2021-05-25T13:15:00.0000000Z,2021-05-25T13:30:00.0000000Z,2021-05-25T13:15:01.6600000Z,2021-05-25T13:29:59.3740000Z,8.129,8.538,8.114,8.524,13815.84,387
2021-05-25T13:30:00.0000000Z,2021-05-25T13:45:00.0000000Z,2021-05-25T13:30:02.4590000Z,2021-05-25T13:44:51.6730000Z,8.524,8.524,8.19,8.494,15374.35,469
2021-05-25T13:45:00.0000000Z,2021-05-25T14:00:00.0000000Z,2021-05-25T13:45:03.2650000Z,2021-05-25T13:59:49.5420000Z,8.496,8.502,8.292,8.326,10516.97,377
2021-05-25T14:00:00.0000000Z,2021-05-25T14:15:00.0000000Z,2021-05-25T14:00:05.0480000Z,2021-05-25T14:14:59.1240000Z,8.318,8.5,8.184,8.482,10692.42,383
2021-05-25T14:15:00.0000000Z,2021-05-25T14:30:00.0000000Z,2021-05-25T14:15:13.4480000Z,2021-05-25T14:29:59.5300000Z,8.499,8.5,8.35,8.394,8612.33,307
2021-05-25T14:30:00.0000000Z,2021-05-25T14:45:00.0000000Z,2021-05-25T14:30:11.9440000Z,2021-05-25T14:44:27.5660000Z,8.385,8.432,8.266,8.32,10166.92,371
2021-05-25T14:45:00.0000000Z,2021-05-25T15:00:00.0000000Z,2021-05-25T14:45:20.7860000Z,2021-05-25T14:59:57.3560000Z,8.324,8.353,8.226,8.3,9159.74,282
2021-05-25T15:00:00.0000000Z,2021-05-25T15:15:00.0000000Z,2021-05-25T15:00:07.0510000Z,2021-05-25T15:14:59.2000000Z,8.278,8.6,8.165,8.495,25612.48,635
2021-05-25T15:15:00.0000000Z,2021-05-25T15:30:00.0000000Z,2021-05-25T15:15:00.4890000Z,2021-05-25T15:29:55.5240000Z,8.511,8.555,8.241,8.267,9786.35,324
2021-05-25T15:30:00.0000000Z,2021-05-25T15:45:00.0000000Z,2021-05-25T15:30:03.1050000Z,2021-05-25T15:44:54.1430000Z,8.272,8.513,8.247,8.444,13061.27,416
2021-05-25T15:45:00.0000000Z,2021-05-25T16:00:00.0000000Z,2021-05-25T15:45:01.2740000Z,2021-05-25T15:59:58.2880000Z,8.444,8.519,8.292,8.509,7156.31,347
2021-05-25T16:00:00.0000000Z,2021-05-25T16:15:00.0000000Z,2021-05-25T16:00:02.4220000Z,2021-05-25T16:14:59.5030000Z,8.514,9.284,8.2,8.693,53899.68,2171
2021-05-25T16:15:00.0000000Z,2021-05-25T16:30:00.0000000Z,2021-05-25T16:15:00.0710000Z,2021-05-25T16:29:58.9930000Z,8.674,8.736,8.032,8.139,58839.65,2630
2021-05-25T16:30:00.0000000Z,2021-05-25T16:45:00.0000000Z,2021-05-25T16:30:03.1770000Z,2021-05-25T16:44:49.7890000Z,8.149,8.419,8.059,8.208,18355.08,1029
2021-05-25T16:45:00.0000000Z,2021-05-25T17:00:00.0000000Z,2021-05-25T16:45:02.3420000Z,2021-05-25T16:59:50.8290000Z,8.226,8.285,8.058,8.127,8712.62,338
2021-05-25T17:00:00.0000000Z,2021-05-25T17:15:00.0000000Z,2021-05-25T17:00:06.1920000Z,2021-05-25T17:14:52.5610000Z,8.125,8.26,8.0,8.033,12615.55,394
2021-05-25T17:15:00.0000000Z,2021-05-25T17:30:00.0000000Z,2021-05-25T17:15:02.6310000Z,2021-05-25T17:29:49.8820000Z,8.023,8.036,7.808,7.962,12365.31,692
2021-05-25T17:30:00.0000000Z,2021-05-25T17:45:00.0000000Z,2021-05-25T17:30:48.4150000Z,2021-05-25T17:44:54.3710000Z,7.962,8.024,7.834,8.024,2593.09,215
2021-05-25T17:45:00.0000000Z,2021-05-25T18:00:00.0000000Z,2021-05-25T17:45:17.0800000Z,2021-05-25T17:59:51.0680000Z,8.013,8.313,8.011,8.293,8582.13,370
2021-05-25T18:00:00.0000000Z,2021-05-25T18:15:00.0000000Z,2021-05-25T18:00:04.0110000Z,2021-05-25T18:14:59.4890000Z,8.266,8.287,8.113,8.16,6468.6,248
2021-05-25T18:15:00.0000000Z,2021-05-25T18:30:00.0000000Z,2021-05-25T18:15:01.7270000Z,2021-05-25T18:29:59.9990000Z,8.172,8.393,8.117,8.181,8606.61,341
2021-05-25T18:30:00.0000000Z,2021-05-25T18:45:00.0000000Z,2021-05-25T18:30:05.8420000Z,2021-05-25T18:44:53.0730000Z,8.182,8.227,7.959,8.099,4771.34,300
2021-05-25T18:45:00.0000000Z,2021-05-25T19:00:00.0000000Z,2021-05-25T18:45:26.1110000Z,2021-05-25T18:59:32.1780000Z,8.064,8.142,8.028,8.116,1929.82,147
2021-05-25T19:00:00.0000000Z,2021-05-25T19:15:00.0000000Z,2021-05-25T19:00:45.8070000Z,2021-05-25T19:14:40.5410000Z,8.114,8.114,7.928,7.928,1806.27,164
2021-05-25T19:15:00.0000000Z,2021-05-25T19:30:00.0000000Z,2021-05-25T19:15:22.2870000Z,2021-05-25T19:29:35.5020000Z,7.927,8.16,7.8,7.976,7228.4,383
2021-05-25T19:30:00.0000000Z,2021-05-25T19:45:00.0000000Z,2021-05-25T19:30:05.5220000Z,2021-05-25T19:44:51.7760000Z,7.99,8.05,7.813,7.981,3811.2,255
2021-05-25T19:45:00.0000000Z,2021-05-25T20:00:00.0000000Z,2021-05-25T19:45:03.9570000Z,2021-05-25T19:59:50.9920000Z,7.969,7.979,7.592,7.793,23502.06,448
2021-05-25T20:00:00.0000000Z,2021-05-25T20:15:00.0000000Z,2021-05-25T20:00:10.8750000Z,2021-05-25T20:14:55.6930000Z,7.792,7.945,7.741,7.872,4908.13,230
2021-05-25T20:15:00.0000000Z,2021-05-25T20:30:00.0000000Z,2021-05-25T20:15:06.8030000Z,2021-05-25T20:29:55.2300000Z,7.869,7.926,7.715,7.792,6748.01,324
2021-05-25T20:30:00.0000000Z,2021-05-25T20:45:00.0000000Z,2021-05-25T20:30:04.4320000Z,2021-05-25T20:44:21.8600000Z,7.792,7.88,7.763,7.845,4342.54,171
2021-05-25T20:45:00.0000000Z,2021-05-25T21:00:00.0000000Z,2021-05-25T20:45:17.8810000Z,2021-05-25T20:59:59.4730000Z,7.816,7.88,7.754,7.851,2672.64,108
2021-05-25T21:00:00.0000000Z,2021-05-25T21:15:00.0000000Z,2021-05-25T21:00:45.2750000Z,2021-05-25T21:14:58.5250000Z,7.869,7.88,7.852,7.878,1004.4,71
2021-05-25T21:15:00.0000000Z,2021-05-25T21:30:00.0000000Z,2021-05-25T21:15:05.6590000Z,2021-05-25T21:29:10.4340000Z,7.88,8.004,7.854,8.004,2288.86,127
2021-05-25T21:30:00.0000000Z,2021-05-25T21:45:00.0000000Z,2021-05-25T21:30:07.7400000Z,2021-05-25T21:44:57.9750000Z,8.006,8.25,7.99,8.183,5390.38,207
2021-05-25T21:45:00.0000000Z,2021-05-25T22:00:00.0000000Z,2021-05-25T21:45:05.2970000Z,2021-05-25T21:59:58.5830000Z,8.228,8.26,7.99,8.061,8886.49,412
2021-05-25T22:00:00.0000000Z,2021-05-25T22:15:00.0000000Z,2021-05-25T22:00:07.6020000Z,2021-05-25T22:14:58.8220000Z,8.079,8.079,7.91,8.05,4482.83,191
2021-05-25T22:15:00.0000000Z,2021-05-25T22:30:00.0000000Z,2021-05-25T22:15:18.1610000Z,2021-05-25T22:29:59.5460000Z,8.05,8.27,7.988,8.265,4222.78,235
2021-05-25T22:30:00.0000000Z,2021-05-25T22:45:00.0000000Z,2021-05-25T22:30:03.5440000Z,2021-05-25T22:44:58.5490000Z,8.24,8.277,8.068,8.214,6188.7,208
2021-05-25T22:45:00.0000000Z,2021-05-25T23:00:00.0000000Z,2021-05-25T22:45:04.2430000Z,2021-05-25T22:59:47.0750000Z,8.213,8.272,8.16,8.18,5307.88,156
2021-05-25T23:00:00.0000000Z,2021-05-25T23:15:00.0000000Z,2021-05-25T23:00:29.2380000Z,2021-05-25T23:14:17.0410000Z,8.145,8.161,8.049,8.071,2940.04,156
2021-05-25T23:15:00.0000000Z,2021-05-25T23:30:00.0000000Z,2021-05-25T23:15:59.3940000Z,2021-05-25T23:29:23.9540000Z,8.096,8.179,7.98,7.987,4610.48,291
2021-05-25T23:30:00.0000000Z,2021-05-25T23:45:00.0000000Z,2021-05-25T23:30:50.7920000Z,2021-05-25T23:44:16.3570000Z,7.986,8.0,7.853,7.855,11662.9,361
2021-05-25T23:45:00.0000000Z,2021-05-26T00:00:00.0000000Z,2021-05-25T23:45:00.7830000Z,2021-05-25T23:59:51.5400000Z,7.856,8.06,7.853,8.013,3171.67,196
2021-05-26T00:00:00.0000000Z,2021-05-26T00:15:00.0000000Z,2021-05-26T00:00:37.5070000Z,2021-05-26T00:14:59.5150000Z,8.043,8.059,7.906,7.93,4305.54,187
2021-05-26T00:15:00.0000000Z,2021-05-26T00:30:00.0000000Z,2021-05-26T00:15:03.1230000Z,2021-05-26T00:29:55.3240000Z,7.926,8.076,7.903,7.937,3755.73,172
2021-05-26T00:30:00.0000000Z,2021-05-26T00:45:00.0000000Z,2021-05-26T00:30:01.2400000Z,2021-05-26T00:44:39.5650000Z,7.937,8.057,7.928,8.003,2598.5,109
2021-05-26T00:45:00.0000000Z,2021-05-26T01:00:00.0000000Z,2021-05-26T00:45:09.6110000Z,2021-05-26T00:59:44.9350000Z,8.004,8.189,8.003,8.15,2824.79,138
2021-05-26T01:00:00.0000000Z,2021-05-26T01:15:00.0000000Z,2021-05-26T01:00:07.8580000Z,2021-05-26T01:14:56.9380000Z,8.158,8.243,8.107,8.192,3304.0,125
2021-05-26T01:15:00.0000000Z,2021-05-26T01:30:00.0000000Z,2021-05-26T01:15:38.4560000Z,2021-05-26T01:29:39.3430000Z,8.172,8.223,8.134,8.223,3020.81,118
2021-05-26T01:30:00.0000000Z,2021-05-26T01:45:00.0000000Z,2021-05-26T01:30:27.8880000Z,2021-05-26T01:44:57.4550000Z,8.218,8.332,8.199,8.299,7986.12,251
