time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-12-02T08:00:00.0000000Z,2021-12-02T08:15:00.0000000Z,2021-12-02T08:02:47.3870000Z,2021-12-02T08:14:59.9140000Z,11.53,12.52,10.85,11.1,651196.22,15322
2021-12-02T08:15:00.0000000Z,2021-12-02T08:30:00.0000000Z,2021-12-02T08:15:00.3770000Z,2021-12-02T08:29:58.9610000Z,11.1,11.23,10.8,11.07,169854.15,4001
2021-12-02T08:30:00.0000000Z,2021-12-02T08:45:00.0000000Z,2021-12-02T08:30:00.2790000Z,2021-12-02T08:44:59.9530000Z,11.06,11.08,10.53,10.7,123935.04,2652
2021-12-02T08:45:00.0000000Z,2021-12-02T09:00:00.0000000Z,2021-12-02T08:45:01.5320000Z,2021-12-02T08:59:59.6720000Z,10.72,10.9,10.41,10.56,88294.93,2205
2021-12-02T09:00:00.0000000Z,2021-12-02T09:15:00.0000000Z,2021-12-02T09:00:04.6420000Z,2021-12-02T09:14:59.9990000Z,10.57,10.6,10.16,10.3,88475.97,1954
2021-12-02T09:15:00.0000000Z,2021-12-02T09:30:00.0000000Z,2021-12-02T09:15:00.0480000Z,2021-12-02T09:29:57.4330000Z,10.26,10.86,10.26,10.69,104944.6,1888
2021-12-02T09:30:00.0000000Z,2021-12-02T09:45:00.0000000Z,2021-12-02T09:30:00.7970000Z,2021-12-02T09:44:59.7200000Z,10.69,10.74,10.44,10.46,53424.81,998
2021-12-02T09:45:00.0000000Z,2021-12-02T10:00:00.0000000Z,2021-12-02T09:45:01.0120000Z,2021-12-02T09:59:59.7990000Z,10.46,10.46,10.01,10.1,81662.28,1553
2021-12-02T10:00:00.0000000Z,2021-12-02T10:15:00.0000000Z,2021-12-02T10:00:05.1720000Z,2021-12-02T10:14:54.4660000Z,10.11,10.27,9.9,10.18,96961.83,2162
2021-12-02T10:15:00.0000000Z,2021-12-02T10:30:00.0000000Z,2021-12-02T10:15:01.9010000Z,2021-12-02T10:29:57.4340000Z,10.18,10.32,9.88,10.09,54007.74,996
2021-12-02T10:30:00.0000000Z,2021-12-02T10:45:00.0000000Z,2021-12-02T10:30:00.0670000Z,2021-12-02T10:44:58.4470000Z,10.1,10.11,9.35,9.5,149221.6,3119
2021-12-02T10:45:00.0000000Z,2021-12-02T11:00:00.0000000Z,2021-12-02T10:45:03.8940000Z,2021-12-02T10:59:58.2680000Z,9.5,9.5,9.0,9.13,133628.8,2262
2021-12-02T11:00:00.0000000Z,2021-12-02T11:15:00.0000000Z,2021-12-02T11:00:01.9180000Z,2021-12-02T11:14:59.0900000Z,9.12,9.28,8.96,9.02,111507.28,1580
2021-12-02T11:15:00.0000000Z,2021-12-02T11:30:00.0000000Z,2021-12-02T11:15:00.0150000Z,2021-12-02T11:29:56.1630000Z,9.0,9.57,9.0,9.22,119960.18,2069
2021-12-02T11:30:00.0000000Z,2021-12-02T11:45:00.0000000Z,2021-12-02T11:30:00.5570000Z,2021-12-02T11:44:56.5740000Z,9.22,9.34,9.19,9.28,34377.56,641
2021-12-02T11:45:00.0000000Z,2021-12-02T12:00:00.0000000Z,2021-12-02T11:45:00.3560000Z,2021-12-02T11:59:59.8350000Z,9.28,9.29,9.07,9.18,20675.36,508
2021-12-02T12:00:00.0000000Z,2021-12-02T12:15:00.0000000Z,2021-12-02T12:00:00.0080000Z,2021-12-02T12:14:58.4320000Z,9.2,9.78,9.18,9.24,111627.08,1556
2021-12-02T12:15:00.0000000Z,2021-12-02T12:30:00.0000000Z,2021-12-02T12:15:02.1520000Z,2021-12-02T12:29:49.7900000Z,9.22,9.44,9.22,9.42,47345.33,697
2021-12-02T12:30:00.0000000Z,2021-12-02T12:45:00.0000000Z,2021-12-02T12:30:03.7230000Z,2021-12-02T12:44:55.3170000Z,9.4,9.48,9.22,9.46,79983.94,1056
2021-12-02T12:45:00.0000000Z,2021-12-02T13:00:00.0000000Z,2021-12-02T12:45:01.1070000Z,2021-12-02T12:59:56.4130000Z,9.44,9.45,8.7,8.84,172484.19,1987
2021-12-02T13:00:00.0000000Z,2021-12-02T13:15:00.0000000Z,2021-12-02T13:00:02.1920000Z,2021-12-02T13:14:59.8520000Z,8.84,9.09,8.54,8.58,150181.72,1741
2021-12-02T13:15:00.0000000Z,2021-12-02T13:30:00.0000000Z,2021-12-02T13:15:04.6660000Z,2021-12-02T13:29:59.7520000Z,8.58,8.63,8.11,8.22,124677.4,1229
2021-12-02T13:30:00.0000000Z,2021-12-02T13:45:00.0000000Z,2021-12-02T13:30:06.6500000Z,2021-12-02T13:44:56.9820000Z,8.19,8.48,8.13,8.31,121725.39,1481
2021-12-02T13:45:00.0000000Z,2021-12-02T14:00:00.0000000Z,2021-12-02T13:45:01.1650000Z,2021-12-02T13:59:59.7540000Z,8.31,8.76,8.27,8.42,157329.55,1756
2021-12-02T14:00:00.0000000Z,2021-12-02T14:15:00.0000000Z,2021-12-02T14:00:05.0900000Z,2021-12-02T14:14:59.8840000Z,8.42,8.67,8.39,8.66,41840.78,652
2021-12-02T14:15:00.0000000Z,2021-12-02T14:30:00.0000000Z,2021-12-02T14:15:02.9890000Z,2021-12-02T14:29:59.0150000Z,8.67,8.85,8.62,8.68,60232.19,845
2021-12-02T14:30:00.0000000Z,2021-12-02T14:45:00.0000000Z,2021-12-02T14:30:08.8150000Z,2021-12-02T14:44:59.8190000Z,8.67,8.9,8.67,8.9,67606.18,810
2021-12-02T14:45:00.0000000Z,2021-12-02T15:00:00.0000000Z,2021-12-02T14:45:00.5830000Z,2021-12-02T14:59:55.3190000Z,8.9,9.02,8.88,8.95,67422.97,713
2021-12-02T15:00:00.0000000Z,2021-12-02T15:15:00.0000000Z,2021-12-02T15:00:03.3960000Z,2021-12-02T15:14:58.5450000Z,8.95,9.25,8.95,9.08,74971.97,891
2021-12-02T15:15:00.0000000Z,2021-12-02T15:30:00.0000000Z,2021-12-02T15:15:06.1360000Z,2021-12-02T15:29:59.3980000Z,9.1,9.2,8.91,8.91,59846.71,574
2021-12-02T15:30:00.0000000Z,2021-12-02T15:45:00.0000000Z,2021-12-02T15:30:08.0580000Z,2021-12-02T15:44:58.2190000Z,8.92,8.97,8.5,8.62,46644.65,684
2021-12-02T15:45:00.0000000Z,2021-12-02T16:00:00.0000000Z,2021-12-02T15:45:00.2610000Z,2021-12-02T15:59:51.3210000Z,8.61,8.71,8.61,8.67,20664.1,425
2021-12-02T16:00:00.0000000Z,2021-12-02T16:15:00.0000000Z,2021-12-02T16:00:02.9360000Z,2021-12-02T16:14:58.1700000Z,8.68,8.92,8.6,8.74,39072.05,758
2021-12-02T16:15:00.0000000Z,2021-12-02T16:30:00.0000000Z,2021-12-02T16:15:00.4720000Z,2021-12-02T16:29:59.4710000Z,8.74,8.75,8.41,8.42,46763.47,989
2021-12-02T16:30:00.0000000Z,2021-12-02T16:45:00.0000000Z,2021-12-02T16:30:35.8890000Z,2021-12-02T16:44:57.7430000Z,8.42,8.67,8.2,8.56,86715.82,869
