time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-24T09:00:00.0000000Z,2021-05-24T09:15:00.0000000Z,2021-05-24T09:04:18.9720000Z,2021-05-24T09:14:55.4870000Z,2.1235,2.16,2.03,2.14,630111.99,1358
2021-05-24T09:15:00.0000000Z,2021-05-24T09:30:00.0000000Z,2021-05-24T09:15:05.8050000Z,2021-05-24T09:29:51.5310000Z,2.1371,2.1646,2.0307,2.0819,416099.01,821
2021-05-24T09:30:00.0000000Z,2021-05-24T09:45:00.0000000Z,2021-05-24T09:30:04.3390000Z,2021-05-24T09:44:32.2080000Z,2.0923,2.11,1.9217,2.013,335235.66,1033
2021-05-24T09:45:00.0000000Z,2021-05-24T10:00:00.0000000Z,2021-05-24T09:45:17.9580000Z,2021-05-24T09:59:56.1510000Z,2.0,2.0402,1.9502,1.9799,145772.55,384
2021-05-24T10:00:00.0000000Z,2021-05-24T10:15:00.0000000Z,2021-05-24T10:00:05.4050000Z,2021-05-24T10:14:25.3210000Z,1.9803,2.0158,1.9571,1.9863,157387.41,345
2021-05-24T10:15:00.0000000Z,2021-05-24T10:30:00.0000000Z,2021-05-24T10:15:18.4760000Z,2021-05-24T10:29:56.0740000Z,2.0,2.08,1.9987,2.0148,98040.31,298
2021-05-24T10:30:00.0000000Z,2021-05-24T10:45:00.0000000Z,2021-05-24T10:30:09.4490000Z,2021-05-24T10:44:54.1760000Z,2.0302,2.0302,1.8464,1.8845,262443.54,625
2021-05-24T10:45:00.0000000Z,2021-05-24T11:00:00.0000000Z,2021-05-24T10:45:03.4810000Z,2021-05-24T10:59:46.3070000Z,1.8999,1.9989,1.8769,1.9989,66036.1,150
2021-05-24T11:00:00.0000000Z,2021-05-24T11:15:00.0000000Z,2021-05-24T11:00:41.7540000Z,2021-05-24T11:14:59.9710000Z,1.9949,2.0239,1.934,1.99,24414.74,107
2021-05-24T11:15:00.0000000Z,2021-05-24T11:30:00.0000000Z,2021-05-24T11:15:15.1560000Z,2021-05-24T11:29:15.6180000Z,1.99,1.9998,1.9563,1.97,8285.4,31
2021-05-24T11:30:00.0000000Z,2021-05-24T11:45:00.0000000Z,2021-05-24T11:30:20.9620000Z,2021-05-24T11:44:49.1010000Z,1.9708,2.0103,1.8708,2.0102,25735.41,252
2021-05-24T11:45:00.0000000Z,2021-05-24T12:00:00.0000000Z,2021-05-24T11:45:20.0670000Z,2021-05-24T11:58:22.0990000Z,2.02,2.045,1.99,2.0098,36743.02,198
2021-05-24T12:00:00.0000000Z,2021-05-24T12:15:00.0000000Z,2021-05-24T12:01:00.5520000Z,2021-05-24T12:14:33.5600000Z,1.992,2.02,1.9605,1.9703,58327.3,103
2021-05-24T12:15:00.0000000Z,2021-05-24T12:30:00.0000000Z,2021-05-24T12:15:20.3740000Z,2021-05-24T12:29:13.4890000Z,1.9733,2.01,1.968,1.9965,3899.71,67
2021-05-24T12:30:00.0000000Z,2021-05-24T12:45:00.0000000Z,2021-05-24T12:30:15.8540000Z,2021-05-24T12:44:21.3730000Z,2.0033,2.0818,2.0033,2.0508,10608.75,106
2021-05-24T12:45:00.0000000Z,2021-05-24T13:00:00.0000000Z,2021-05-24T12:45:45.1210000Z,2021-05-24T12:59:37.9870000Z,2.0508,2.0715,1.9995,2.0,7801.79,157
2021-05-24T13:00:00.0000000Z,2021-05-24T13:15:00.0000000Z,2021-05-24T13:00:05.8690000Z,2021-05-24T13:14:55.0540000Z,2.0064,2.0125,1.9369,1.9673,10521.87,124
2021-05-24T13:15:00.0000000Z,2021-05-24T13:30:00.0000000Z,2021-05-24T13:15:11.3940000Z,2021-05-24T13:29:19.3080000Z,1.9673,1.9673,1.9165,1.9493,8413.98,164
2021-05-24T13:30:00.0000000Z,2021-05-24T13:45:00.0000000Z,2021-05-24T13:30:20.2000000Z,2021-05-24T13:44:30.6600000Z,1.9493,2.0004,1.9493,1.9875,4680.17,84
2021-05-24T13:45:00.0000000Z,2021-05-24T14:00:00.0000000Z,2021-05-24T13:45:07.8010000Z,2021-05-24T13:59:56.5340000Z,1.9845,2.0201,1.95,1.9643,6365.57,173
2021-05-24T14:00:00.0000000Z,2021-05-24T14:15:00.0000000Z,2021-05-24T14:00:00.2420000Z,2021-05-24T14:13:41.0810000Z,1.9644,2.0063,1.9461,1.9875,16901.21,135
