time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-19T11:00:00.0000000Z,2021-04-19T11:15:00.0000000Z,2021-04-19T11:08:13.4990000Z,2021-04-19T11:14:57.3860000Z,9.951,10.066,9.4,9.565,31394.154,511
2021-04-19T11:15:00.0000000Z,2021-04-19T11:30:00.0000000Z,2021-04-19T11:15:17.1420000Z,2021-04-19T11:29:59.8490000Z,9.501,9.933,9.1,9.933,45457.231,739
2021-04-19T11:30:00.0000000Z,2021-04-19T11:45:00.0000000Z,2021-04-19T11:30:00.0960000Z,2021-04-19T11:44:56.0170000Z,9.933,10.176,8.8,10.068,48336.671,1631
2021-04-19T11:45:00.0000000Z,2021-04-19T12:00:00.0000000Z,2021-04-19T11:45:02.9900000Z,2021-04-19T11:59:59.5600000Z,10.04,10.118,9.603,9.766,27444.498,761
2021-04-19T12:00:00.0000000Z,2021-04-19T12:15:00.0000000Z,2021-04-19T12:00:04.1320000Z,2021-04-19T12:14:57.4290000Z,9.729,9.944,9.623,9.71,20402.952,696
2021-04-19T12:15:00.0000000Z,2021-04-19T12:30:00.0000000Z,2021-04-19T12:15:00.0240000Z,2021-04-19T12:29:53.1450000Z,9.728,9.757,9.464,9.615,18242.985,496
2021-04-19T12:30:00.0000000Z,2021-04-19T12:45:00.0000000Z,2021-04-19T12:30:04.6760000Z,2021-04-19T12:44:58.9060000Z,9.587,9.682,9.392,9.41,18800.947,635
2021-04-19T12:45:00.0000000Z,2021-04-19T13:00:00.0000000Z,2021-04-19T12:45:25.3190000Z,2021-04-19T12:59:58.2020000Z,9.342,9.6,9.266,9.408,18349.227,652
2021-04-19T13:00:00.0000000Z,2021-04-19T13:15:00.0000000Z,2021-04-19T13:00:03.6510000Z,2021-04-19T13:14:48.7260000Z,9.415,9.415,9.207,9.306,15753.337,384
2021-04-19T13:15:00.0000000Z,2021-04-19T13:30:00.0000000Z,2021-04-19T13:15:00.3820000Z,2021-04-19T13:29:14.0490000Z,9.306,9.38,9.2,9.257,13833.365,322
2021-04-19T13:30:00.0000000Z,2021-04-19T13:45:00.0000000Z,2021-04-19T13:30:32.3150000Z,2021-04-19T13:44:44.1460000Z,9.294,10.094,9.294,9.609,29423.99,997
2021-04-19T13:45:00.0000000Z,2021-04-19T14:00:00.0000000Z,2021-04-19T13:45:01.6830000Z,2021-04-19T13:59:59.4850000Z,9.64,9.799,9.48,9.799,10610.548,499
2021-04-19T14:00:00.0000000Z,2021-04-19T14:15:00.0000000Z,2021-04-19T14:00:02.5070000Z,2021-04-19T14:14:32.2990000Z,9.664,9.97,9.547,9.584,9594.544,247
2021-04-19T14:15:00.0000000Z,2021-04-19T14:30:00.0000000Z,2021-04-19T14:16:09.8580000Z,2021-04-19T14:29:30.5480000Z,9.618,9.654,9.269,9.358,11257.714,392
2021-04-19T14:30:00.0000000Z,2021-04-19T14:45:00.0000000Z,2021-04-19T14:30:18.7600000Z,2021-04-19T14:38:28.9110000Z,9.308,9.409,9.27,9.305,6683.832,191
2021-04-19T15:00:00.0000000Z,2021-04-19T15:15:00.0000000Z,2021-04-19T15:01:15.4090000Z,2021-04-19T15:14:49.7920000Z,9.019,9.195,8.76,8.957,16345.786,341
2021-04-19T15:15:00.0000000Z,2021-04-19T15:30:00.0000000Z,2021-04-19T15:15:11.6700000Z,2021-04-19T15:29:19.5840000Z,8.965,9.12,8.9,8.996,18997.006,335
2021-04-19T15:30:00.0000000Z,2021-04-19T15:45:00.0000000Z,2021-04-19T15:30:02.0130000Z,2021-04-19T15:44:58.5850000Z,8.986,9.55,8.931,8.948,12464.22,439
2021-04-19T15:45:00.0000000Z,2021-04-19T16:00:00.0000000Z,2021-04-19T15:45:23.7230000Z,2021-04-19T15:59:50.3850000Z,8.912,9.176,8.834,9.176,16167.611,285
2021-04-19T16:00:00.0000000Z,2021-04-19T16:15:00.0000000Z,2021-04-19T16:00:07.4960000Z,2021-04-19T16:14:58.6910000Z,9.192,9.192,8.688,8.929,15508.252,445
2021-04-19T16:15:00.0000000Z,2021-04-19T16:30:00.0000000Z,2021-04-19T16:15:02.6950000Z,2021-04-19T16:29:54.5030000Z,8.93,8.93,8.789,8.814,12176.266,398
