time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-03T10:00:00.0000000Z,2021-09-03T10:15:00.0000000Z,2021-09-03T10:09:24.5640000Z,2021-09-03T10:13:09.8090000Z,4.247,4.311,4.23,4.24,6055.7,92
2021-09-03T10:15:00.0000000Z,2021-09-03T10:30:00.0000000Z,2021-09-03T10:16:00.0060000Z,2021-09-03T10:29:43.1060000Z,4.238,4.363,4.181,4.247,7213.4,61
2021-09-03T10:30:00.0000000Z,2021-09-03T10:45:00.0000000Z,2021-09-03T10:30:18.2280000Z,2021-09-03T10:43:52.5070000Z,4.244,4.26,4.201,4.204,1043.3,32
2021-09-03T10:45:00.0000000Z,2021-09-03T11:00:00.0000000Z,2021-09-03T10:45:23.7630000Z,2021-09-03T10:59:33.9070000Z,4.212,4.239,4.171,4.225,3372.7,39
2021-09-03T11:00:00.0000000Z,2021-09-03T11:15:00.0000000Z,2021-09-03T11:00:00.8100000Z,2021-09-03T11:13:19.9320000Z,4.215,4.222,4.174,4.177,235.5,13
2021-09-03T11:15:00.0000000Z,2021-09-03T11:30:00.0000000Z,2021-09-03T11:15:16.2610000Z,2021-09-03T11:27:26.7420000Z,4.179,4.208,4.179,4.194,1834.7,19
2021-09-03T11:30:00.0000000Z,2021-09-03T11:45:00.0000000Z,2021-09-03T11:31:25.4440000Z,2021-09-03T11:42:44.8040000Z,4.208,4.225,4.2,4.224,4967.5,12
2021-09-03T11:45:00.0000000Z,2021-09-03T12:00:00.0000000Z,2021-09-03T11:47:34.6230000Z,2021-09-03T11:55:14.4350000Z,4.222,4.244,4.211,4.241,192.7,10
2021-09-03T12:00:00.0000000Z,2021-09-03T12:15:00.0000000Z,2021-09-03T12:00:39.3120000Z,2021-09-03T12:13:19.6440000Z,4.241,4.241,4.18,4.18,236.9,14
2021-09-03T12:15:00.0000000Z,2021-09-03T12:30:00.0000000Z,2021-09-03T12:20:26.4410000Z,2021-09-03T12:29:52.1230000Z,4.186,4.222,4.186,4.222,2202.1,9
2021-09-03T12:30:00.0000000Z,2021-09-03T12:45:00.0000000Z,2021-09-03T12:32:25.3260000Z,2021-09-03T12:43:56.6340000Z,4.228,4.273,4.228,4.239,4045.4,36
2021-09-03T12:45:00.0000000Z,2021-09-03T13:00:00.0000000Z,2021-09-03T12:45:42.1230000Z,2021-09-03T12:59:31.1530000Z,4.236,4.239,4.223,4.227,881.9,12
2021-09-03T13:00:00.0000000Z,2021-09-03T13:15:00.0000000Z,2021-09-03T13:00:25.3410000Z,2021-09-03T13:13:13.6130000Z,4.248,4.248,4.197,4.242,1427.2,21
2021-09-03T13:15:00.0000000Z,2021-09-03T13:30:00.0000000Z,2021-09-03T13:17:00.8810000Z,2021-09-03T13:23:33.9500000Z,4.234,4.247,4.234,4.247,71.3,4
2021-09-03T13:30:00.0000000Z,2021-09-03T13:45:00.0000000Z,2021-09-03T13:31:07.2350000Z,2021-09-03T13:44:30.9000000Z,4.247,4.247,4.196,4.197,1209.0,8
2021-09-03T13:45:00.0000000Z,2021-09-03T14:00:00.0000000Z,2021-09-03T13:46:20.1810000Z,2021-09-03T13:56:48.7060000Z,4.221,4.244,4.199,4.244,706.1,9
2021-09-03T14:00:00.0000000Z,2021-09-03T14:15:00.0000000Z,2021-09-03T14:00:28.7840000Z,2021-09-03T14:14:07.6630000Z,4.243,4.244,4.209,4.244,259.9,6
2021-09-03T14:15:00.0000000Z,2021-09-03T14:30:00.0000000Z,2021-09-03T14:16:44.5030000Z,2021-09-03T14:23:55.6530000Z,4.24,4.253,4.218,4.244,468.8,9
2021-09-03T14:30:00.0000000Z,2021-09-03T14:45:00.0000000Z,2021-09-03T14:31:31.9920000Z,2021-09-03T14:43:53.5070000Z,4.24,4.24,4.221,4.222,1987.4,16
2021-09-03T14:45:00.0000000Z,2021-09-03T15:00:00.0000000Z,2021-09-03T14:47:53.3050000Z,2021-09-03T14:58:57.9370000Z,4.221,4.222,4.203,4.222,465.8,16
2021-09-03T15:00:00.0000000Z,2021-09-03T15:15:00.0000000Z,2021-09-03T15:00:17.8960000Z,2021-09-03T15:10:15.4670000Z,4.239,4.264,4.213,4.264,394.2,10
2021-09-03T15:15:00.0000000Z,2021-09-03T15:30:00.0000000Z,2021-09-03T15:16:52.1600000Z,2021-09-03T15:26:35.8950000Z,4.218,4.224,4.216,4.224,94.2,5
2021-09-03T15:30:00.0000000Z,2021-09-03T15:45:00.0000000Z,2021-09-03T15:30:34.2620000Z,2021-09-03T15:44:55.6260000Z,4.224,4.402,4.183,4.183,2693.5,34
2021-09-03T15:45:00.0000000Z,2021-09-03T16:00:00.0000000Z,2021-09-03T15:45:13.4440000Z,2021-09-03T15:53:13.4410000Z,4.246,4.247,4.22,4.22,1532.3,13
2021-09-03T16:00:00.0000000Z,2021-09-03T16:15:00.0000000Z,2021-09-03T16:04:24.2390000Z,2021-09-03T16:06:09.2500000Z,4.269,4.269,4.264,4.264,496.8,4
2021-09-03T16:15:00.0000000Z,2021-09-03T16:30:00.0000000Z,2021-09-03T16:16:46.0950000Z,2021-09-03T16:25:11.1020000Z,4.234,4.234,4.212,4.217,1107.0,13
2021-09-03T16:30:00.0000000Z,2021-09-03T16:45:00.0000000Z,2021-09-03T16:32:30.9850000Z,2021-09-03T16:44:54.4040000Z,4.218,4.236,4.215,4.218,710.9,12
2021-09-03T16:45:00.0000000Z,2021-09-03T17:00:00.0000000Z,2021-09-03T16:45:45.2120000Z,2021-09-03T16:58:17.9780000Z,4.215,4.231,4.202,4.23,302.7,47
2021-09-03T17:00:00.0000000Z,2021-09-03T17:15:00.0000000Z,2021-09-03T17:04:10.5900000Z,2021-09-03T17:13:51.5210000Z,4.213,4.36,4.181,4.242,7686.2,20
2021-09-03T17:15:00.0000000Z,2021-09-03T17:30:00.0000000Z,2021-09-03T17:16:53.6910000Z,2021-09-03T17:27:49.7390000Z,4.239,4.239,4.182,4.231,3796.4,16
2021-09-03T17:30:00.0000000Z,2021-09-03T17:45:00.0000000Z,2021-09-03T17:33:11.6640000Z,2021-09-03T17:44:51.5630000Z,4.245,4.245,4.245,4.245,19.0,4
2021-09-03T17:45:00.0000000Z,2021-09-03T18:00:00.0000000Z,2021-09-03T17:48:54.3320000Z,2021-09-03T17:57:36.6610000Z,4.245,4.245,4.245,4.245,249.8,4
2021-09-03T18:00:00.0000000Z,2021-09-03T18:15:00.0000000Z,2021-09-03T18:10:46.3780000Z,2021-09-03T18:14:07.7900000Z,4.244,4.244,4.208,4.208,322.2,5
2021-09-03T18:15:00.0000000Z,2021-09-03T18:30:00.0000000Z,2021-09-03T18:21:02.2620000Z,2021-09-03T18:27:17.7650000Z,4.24,4.24,4.232,4.232,26.1,2
2021-09-03T18:30:00.0000000Z,2021-09-03T18:45:00.0000000Z,2021-09-03T18:32:05.9890000Z,2021-09-03T18:43:12.9610000Z,4.23,4.23,4.165,4.165,2881.4,15
2021-09-03T18:45:00.0000000Z,2021-09-03T19:00:00.0000000Z,2021-09-03T18:45:15.9510000Z,2021-09-03T18:54:03.6170000Z,4.212,4.212,4.212,4.212,1842.2,2
2021-09-03T19:00:00.0000000Z,2021-09-03T19:15:00.0000000Z,2021-09-03T19:05:08.7120000Z,2021-09-03T19:12:43.0030000Z,4.218,4.24,4.218,4.218,46.5,4
2021-09-03T19:15:00.0000000Z,2021-09-03T19:30:00.0000000Z,2021-09-03T19:15:42.0350000Z,2021-09-03T19:24:31.3730000Z,4.218,4.241,4.218,4.225,561.9,9
2021-09-03T19:30:00.0000000Z,2021-09-03T19:45:00.0000000Z,2021-09-03T19:33:51.3310000Z,2021-09-03T19:43:02.2730000Z,4.226,4.245,4.226,4.24,96.8,7
2021-09-03T19:45:00.0000000Z,2021-09-03T20:00:00.0000000Z,2021-09-03T19:58:18.0980000Z,2021-09-03T19:59:22.6680000Z,4.24,4.24,4.234,4.234,45.8,3
2021-09-03T20:00:00.0000000Z,2021-09-03T20:15:00.0000000Z,2021-09-03T20:03:45.3940000Z,2021-09-03T20:11:01.8440000Z,4.234,4.234,4.216,4.229,305.7,5
2021-09-03T20:15:00.0000000Z,2021-09-03T20:30:00.0000000Z,2021-09-03T20:15:25.7360000Z,2021-09-03T20:26:45.0410000Z,4.23,4.249,4.22,4.22,183.0,8
2021-09-03T20:30:00.0000000Z,2021-09-03T20:45:00.0000000Z,2021-09-03T20:37:22.8360000Z,2021-09-03T20:43:24.8300000Z,4.22,4.245,4.22,4.245,257.6,5
2021-09-03T20:45:00.0000000Z,2021-09-03T21:00:00.0000000Z,2021-09-03T20:48:56.7540000Z,2021-09-03T20:53:19.9160000Z,4.213,4.238,4.213,4.238,260.9,5
2021-09-03T21:00:00.0000000Z,2021-09-03T21:15:00.0000000Z,2021-09-03T21:02:12.9590000Z,2021-09-03T21:02:12.9590000Z,4.238,4.238,4.238,4.238,7.3,1
2021-09-03T21:15:00.0000000Z,2021-09-03T21:30:00.0000000Z,2021-09-03T21:17:11.9540000Z,2021-09-03T21:17:11.9540000Z,4.218,4.218,4.218,4.218,9.7,1
2021-09-03T21:30:00.0000000Z,2021-09-03T21:45:00.0000000Z,2021-09-03T21:33:43.9900000Z,2021-09-03T21:33:43.9900000Z,4.238,4.238,4.238,4.238,9.5,1
2021-09-03T21:45:00.0000000Z,2021-09-03T22:00:00.0000000Z,2021-09-03T21:47:46.9700000Z,2021-09-03T21:55:31.2460000Z,4.238,4.256,4.233,4.256,1918.9,10
2021-09-03T22:00:00.0000000Z,2021-09-03T22:15:00.0000000Z,2021-09-03T22:02:07.7180000Z,2021-09-03T22:07:32.8160000Z,4.258,4.258,4.23,4.23,38.6,5
2021-09-03T22:15:00.0000000Z,2021-09-03T22:30:00.0000000Z,2021-09-03T22:15:27.8560000Z,2021-09-03T22:29:17.7620000Z,4.231,4.231,4.196,4.202,335.2,11
2021-09-03T22:30:00.0000000Z,2021-09-03T22:45:00.0000000Z,2021-09-03T22:31:06.5410000Z,2021-09-03T22:42:43.2890000Z,4.202,4.215,4.202,4.215,75.4,3
2021-09-03T22:45:00.0000000Z,2021-09-03T23:00:00.0000000Z,2021-09-03T22:45:53.1310000Z,2021-09-03T22:59:05.6280000Z,4.209,4.209,4.208,4.209,224.1,4
2021-09-03T23:00:00.0000000Z,2021-09-03T23:15:00.0000000Z,2021-09-03T23:06:24.0400000Z,2021-09-03T23:06:24.0400000Z,4.209,4.209,4.209,4.209,71.1,1
2021-09-03T23:15:00.0000000Z,2021-09-03T23:30:00.0000000Z,2021-09-03T23:17:15.5440000Z,2021-09-03T23:29:03.6650000Z,4.181,4.234,4.181,4.234,168.1,9
2021-09-03T23:30:00.0000000Z,2021-09-03T23:45:00.0000000Z,2021-09-03T23:34:42.8300000Z,2021-09-03T23:42:43.9680000Z,4.254,4.254,4.212,4.239,85.5,3
2021-09-03T23:45:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T23:48:35.2610000Z,2021-09-03T23:59:05.7300000Z,4.253,4.261,4.253,4.261,155.2,5
2021-09-04T00:00:00.0000000Z,2021-09-04T00:15:00.0000000Z,2021-09-04T00:00:27.8610000Z,2021-09-04T00:14:23.3060000Z,4.262,4.262,4.179,4.179,2575.1,21
2021-09-04T00:15:00.0000000Z,2021-09-04T00:30:00.0000000Z,2021-09-04T00:15:24.9570000Z,2021-09-04T00:29:46.1780000Z,4.179,4.213,4.17,4.186,1144.3,19
2021-09-04T00:30:00.0000000Z,2021-09-04T00:45:00.0000000Z,2021-09-04T00:33:43.8820000Z,2021-09-04T00:38:51.7840000Z,4.186,4.186,4.181,4.181,26.3,2
2021-09-04T00:45:00.0000000Z,2021-09-04T01:00:00.0000000Z,2021-09-04T00:46:12.4440000Z,2021-09-04T00:57:07.1940000Z,4.181,4.21,4.181,4.21,119.2,4
2021-09-04T01:00:00.0000000Z,2021-09-04T01:15:00.0000000Z,2021-09-04T01:00:50.0010000Z,2021-09-04T01:14:48.0090000Z,4.182,4.182,4.17,4.17,2214.4,16
2021-09-04T01:15:00.0000000Z,2021-09-04T01:30:00.0000000Z,2021-09-04T01:17:00.9190000Z,2021-09-04T01:25:52.5220000Z,4.185,4.185,4.184,4.184,255.4,3
2021-09-04T01:30:00.0000000Z,2021-09-04T01:45:00.0000000Z,2021-09-04T01:32:02.2380000Z,2021-09-04T01:40:10.1750000Z,4.162,4.162,4.135,4.135,142.1,9
2021-09-04T01:45:00.0000000Z,2021-09-04T02:00:00.0000000Z,2021-09-04T01:46:19.9600000Z,2021-09-04T01:58:39.6210000Z,4.129,4.129,4.08,4.08,230.6,18
2021-09-04T02:00:00.0000000Z,2021-09-04T02:15:00.0000000Z,2021-09-04T02:03:25.2270000Z,2021-09-04T02:14:45.4240000Z,4.084,4.118,4.065,4.096,3462.6,16
2021-09-04T02:15:00.0000000Z,2021-09-04T02:30:00.0000000Z,2021-09-04T02:16:05.2070000Z,2021-09-04T02:28:26.3630000Z,4.097,4.125,4.097,4.125,574.9,7
2021-09-04T02:30:00.0000000Z,2021-09-04T02:45:00.0000000Z,2021-09-04T02:33:58.0920000Z,2021-09-04T02:39:56.1150000Z,4.125,4.125,4.09,4.09,34.6,3
2021-09-04T02:45:00.0000000Z,2021-09-04T03:00:00.0000000Z,2021-09-04T02:47:29.1010000Z,2021-09-04T02:58:17.3480000Z,4.12,4.13,4.114,4.13,5099.8,29
2021-09-04T03:00:00.0000000Z,2021-09-04T03:15:00.0000000Z,2021-09-04T03:03:12.6540000Z,2021-09-04T03:14:21.6680000Z,4.133,4.134,4.126,4.134,2367.6,18
2021-09-04T03:15:00.0000000Z,2021-09-04T03:30:00.0000000Z,2021-09-04T03:19:33.9510000Z,2021-09-04T03:27:19.2900000Z,4.134,4.134,4.13,4.13,1831.0,12
2021-09-04T03:30:00.0000000Z,2021-09-04T03:45:00.0000000Z,2021-09-04T03:32:26.6030000Z,2021-09-04T03:44:52.4040000Z,4.118,4.126,4.115,4.117,2369.5,15
2021-09-04T03:45:00.0000000Z,2021-09-04T04:00:00.0000000Z,2021-09-04T03:46:03.9110000Z,2021-09-04T03:52:57.5160000Z,4.118,4.125,4.114,4.114,1079.5,10
2021-09-04T04:00:00.0000000Z,2021-09-04T04:15:00.0000000Z,2021-09-04T04:05:36.6040000Z,2021-09-04T04:11:37.7470000Z,4.107,4.126,4.107,4.112,95.1,3
2021-09-04T04:15:00.0000000Z,2021-09-04T04:30:00.0000000Z,2021-09-04T04:23:48.6530000Z,2021-09-04T04:26:27.1470000Z,4.104,4.112,4.104,4.112,264.9,2
2021-09-04T04:30:00.0000000Z,2021-09-04T04:45:00.0000000Z,2021-09-04T04:34:03.5390000Z,2021-09-04T04:43:20.9980000Z,4.087,4.126,4.087,4.114,4104.1,20
2021-09-04T04:45:00.0000000Z,2021-09-04T05:00:00.0000000Z,2021-09-04T04:46:09.5100000Z,2021-09-04T04:51:39.9080000Z,4.12,4.125,4.111,4.125,2910.1,23
2021-09-04T05:00:00.0000000Z,2021-09-04T05:15:00.0000000Z,2021-09-04T05:02:29.6400000Z,2021-09-04T05:11:04.1290000Z,4.1,4.119,4.1,4.11,2454.1,9
