time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-03T10:00:00.0000000Z,2021-09-03T10:15:00.0000000Z,2021-09-03T10:09:29.8170000Z,2021-09-03T10:14:38.7180000Z,1.2128,1.2167,1.1999,1.2041,74176.8,137
2021-09-03T10:15:00.0000000Z,2021-09-03T10:30:00.0000000Z,2021-09-03T10:15:50.3490000Z,2021-09-03T10:29:11.5240000Z,1.2095,1.2147,1.206,1.2147,31239.9,57
2021-09-03T10:30:00.0000000Z,2021-09-03T10:45:00.0000000Z,2021-09-03T10:30:12.2070000Z,2021-09-03T10:44:51.0680000Z,1.2083,1.22,1.2076,1.2198,27094.9,47
2021-09-03T10:45:00.0000000Z,2021-09-03T11:00:00.0000000Z,2021-09-03T10:45:02.9590000Z,2021-09-03T10:59:59.9520000Z,1.215,1.2199,1.1949,1.2189,91722.5,155
2021-09-03T11:00:00.0000000Z,2021-09-03T11:15:00.0000000Z,2021-09-03T11:00:02.5060000Z,2021-09-03T11:14:39.4340000Z,1.2123,1.2152,1.1884,1.1981,24002.4,33
2021-09-03T11:15:00.0000000Z,2021-09-03T11:30:00.0000000Z,2021-09-03T11:15:03.2970000Z,2021-09-03T11:28:39.5860000Z,1.2028,1.2184,1.1976,1.2044,12317.8,40
2021-09-03T11:30:00.0000000Z,2021-09-03T11:45:00.0000000Z,2021-09-03T11:30:04.4120000Z,2021-09-03T11:42:04.3800000Z,1.2002,1.2176,1.2001,1.2055,7556.0,29
2021-09-03T11:45:00.0000000Z,2021-09-03T12:00:00.0000000Z,2021-09-03T11:50:08.5350000Z,2021-09-03T11:59:55.1890000Z,1.2055,1.2194,1.2034,1.2194,30155.8,36
2021-09-03T12:00:00.0000000Z,2021-09-03T12:15:00.0000000Z,2021-09-03T12:00:15.0950000Z,2021-09-03T12:14:19.8700000Z,1.2193,1.2194,1.2102,1.2192,2986.2,18
2021-09-03T12:15:00.0000000Z,2021-09-03T12:30:00.0000000Z,2021-09-03T12:15:44.0210000Z,2021-09-03T12:27:51.2630000Z,1.2106,1.2171,1.2033,1.2033,10945.6,27
2021-09-03T12:30:00.0000000Z,2021-09-03T12:45:00.0000000Z,2021-09-03T12:30:07.9140000Z,2021-09-03T12:44:50.6980000Z,1.2101,1.2395,1.2101,1.2285,41302.0,55
2021-09-03T12:45:00.0000000Z,2021-09-03T13:00:00.0000000Z,2021-09-03T12:46:16.4800000Z,2021-09-03T12:59:32.4730000Z,1.2381,1.2697,1.229,1.25,177893.7,240
2021-09-03T13:00:00.0000000Z,2021-09-03T13:15:00.0000000Z,2021-09-03T13:01:05.7230000Z,2021-09-03T13:14:57.3400000Z,1.25,1.2562,1.2413,1.2448,24840.4,58
2021-09-03T13:15:00.0000000Z,2021-09-03T13:30:00.0000000Z,2021-09-03T13:15:01.5890000Z,2021-09-03T13:29:49.3960000Z,1.2448,1.2498,1.2371,1.2422,40546.4,112
2021-09-03T13:30:00.0000000Z,2021-09-03T13:45:00.0000000Z,2021-09-03T13:30:33.0580000Z,2021-09-03T13:44:59.7320000Z,1.2422,1.2645,1.2299,1.2429,30884.9,55
2021-09-03T13:45:00.0000000Z,2021-09-03T14:00:00.0000000Z,2021-09-03T13:45:22.4700000Z,2021-09-03T13:59:50.3740000Z,1.2429,1.2429,1.2272,1.2272,8858.3,22
