time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-08T09:00:00.0000000Z,2021-03-31T23:59:31.8870000Z,0.2816,0.8805,0.2816,0.5031,124680082.86,396611
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:45.8560000Z,2021-04-30T23:59:33.3430000Z,0.5014,0.55,0.2376,0.3886,54375790.36,154485
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:39.8800000Z,2021-05-31T23:59:34.0210000Z,0.3899,0.4497,0.145,0.184,133609718.0,239793
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:24.7920000Z,2021-06-30T23:58:37.5160000Z,0.1828,0.2093,0.0844,0.1062,125532485.39,149474
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:05.3090000Z,2021-07-31T23:59:47.0920000Z,0.106,0.16,0.0957,0.135,281704985.01,300760
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:36.0490000Z,2021-08-31T23:59:59.6780000Z,0.1349,0.2874,0.1247,0.2055,523562379.05,626564
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:22.4070000Z,2021-09-30T23:59:33.1820000Z,0.205,0.4466,0.1924,0.2186,800490471.61,991453
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:27.9680000Z,2021-10-31T23:53:41.4110000Z,0.2186,0.2965,0.2087,0.2273,225726709.0,320900
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:02:12.3910000Z,2021-11-30T23:56:37.6820000Z,0.2275,0.2757,0.203,0.2231,132340920.0,198540
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:01:57.1100000Z,2021-12-02T16:09:11.7170000Z,0.2226,0.2263,0.2118,0.2174,4738007.0,6443
