time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-13T12:00:00.0000000Z,2021-08-13T12:15:00.0000000Z,2021-08-13T12:00:27.2340000Z,2021-08-13T12:14:47.3610000Z,9.677,9.747,9.292,9.415,10381.2,405
2021-08-13T12:15:00.0000000Z,2021-08-13T12:30:00.0000000Z,2021-08-13T12:15:00.5470000Z,2021-08-13T12:29:58.5590000Z,9.415,9.458,9.353,9.45,3695.6,89
2021-08-13T12:30:00.0000000Z,2021-08-13T12:45:00.0000000Z,2021-08-13T12:30:25.9840000Z,2021-08-13T12:42:34.9050000Z,9.412,9.5,9.353,9.353,2336.0,43
2021-08-13T12:45:00.0000000Z,2021-08-13T13:00:00.0000000Z,2021-08-13T12:45:58.3150000Z,2021-08-13T12:58:47.5420000Z,9.375,9.44,9.268,9.268,1999.6,34
2021-08-13T13:00:00.0000000Z,2021-08-13T13:15:00.0000000Z,2021-08-13T13:00:58.8930000Z,2021-08-13T13:13:09.9530000Z,9.268,9.35,9.209,9.228,1262.3,37
2021-08-13T13:15:00.0000000Z,2021-08-13T13:30:00.0000000Z,2021-08-13T13:15:19.2060000Z,2021-08-13T13:28:30.6210000Z,9.323,9.65,9.2,9.28,1646.4,41
2021-08-13T13:30:00.0000000Z,2021-08-13T13:45:00.0000000Z,2021-08-13T13:31:25.3690000Z,2021-08-13T13:44:55.0670000Z,9.27,9.27,9.127,9.169,2430.4,23
2021-08-13T13:45:00.0000000Z,2021-08-13T14:00:00.0000000Z,2021-08-13T13:45:00.8230000Z,2021-08-13T13:59:28.4360000Z,9.169,9.263,9.169,9.263,628.8,19
2021-08-13T14:00:00.0000000Z,2021-08-13T14:15:00.0000000Z,2021-08-13T14:01:01.5890000Z,2021-08-13T14:12:37.7800000Z,9.263,9.265,9.117,9.117,609.8,15
2021-08-13T14:15:00.0000000Z,2021-08-13T14:30:00.0000000Z,2021-08-13T14:17:41.7260000Z,2021-08-13T14:27:56.8870000Z,9.143,9.264,9.143,9.21,1087.1,20
2021-08-13T14:30:00.0000000Z,2021-08-13T14:45:00.0000000Z,2021-08-13T14:32:08.0040000Z,2021-08-13T14:43:23.0120000Z,9.21,9.21,9.101,9.16,441.3,18
2021-08-13T14:45:00.0000000Z,2021-08-13T15:00:00.0000000Z,2021-08-13T14:46:33.9380000Z,2021-08-13T14:59:24.8720000Z,9.15,9.193,9.085,9.146,1147.8,21
2021-08-13T15:00:00.0000000Z,2021-08-13T15:15:00.0000000Z,2021-08-13T15:00:22.4800000Z,2021-08-13T15:13:02.6730000Z,9.145,9.146,8.897,8.996,1235.6,82
2021-08-13T15:15:00.0000000Z,2021-08-13T15:30:00.0000000Z,2021-08-13T15:15:02.7400000Z,2021-08-13T15:29:00.4000000Z,9.0,9.046,8.843,8.852,743.8,23
2021-08-13T15:30:00.0000000Z,2021-08-13T15:45:00.0000000Z,2021-08-13T15:30:04.6270000Z,2021-08-13T15:43:35.2830000Z,8.998,9.041,8.888,8.982,30.5,11
2021-08-13T15:45:00.0000000Z,2021-08-13T16:00:00.0000000Z,2021-08-13T15:46:27.6050000Z,2021-08-13T15:59:53.4650000Z,8.981,8.981,8.908,8.975,510.1,17
2021-08-13T16:00:00.0000000Z,2021-08-13T16:15:00.0000000Z,2021-08-13T16:01:30.4570000Z,2021-08-13T16:13:01.5910000Z,8.975,9.09,8.975,9.032,473.7,14
2021-08-13T16:15:00.0000000Z,2021-08-13T16:30:00.0000000Z,2021-08-13T16:15:13.8190000Z,2021-08-13T16:29:48.7760000Z,9.068,9.07,8.944,8.974,569.9,12
2021-08-13T16:30:00.0000000Z,2021-08-13T16:45:00.0000000Z,2021-08-13T16:30:23.3240000Z,2021-08-13T16:44:09.8320000Z,8.979,9.085,8.979,8.998,73.2,6
2021-08-13T16:45:00.0000000Z,2021-08-13T17:00:00.0000000Z,2021-08-13T16:46:22.9640000Z,2021-08-13T16:59:33.8770000Z,9.012,9.146,9.002,9.146,418.4,29
2021-08-13T17:00:00.0000000Z,2021-08-13T17:15:00.0000000Z,2021-08-13T17:00:17.8470000Z,2021-08-13T17:14:26.2750000Z,9.147,9.149,9.066,9.144,206.4,7
2021-08-13T17:15:00.0000000Z,2021-08-13T17:30:00.0000000Z,2021-08-13T17:18:49.4180000Z,2021-08-13T17:29:59.6620000Z,9.142,9.142,9.008,9.126,29.7,8
2021-08-13T17:30:00.0000000Z,2021-08-13T17:45:00.0000000Z,2021-08-13T17:35:04.9480000Z,2021-08-13T17:44:48.0010000Z,9.126,9.14,9.0,9.14,239.7,27
2021-08-13T17:45:00.0000000Z,2021-08-13T18:00:00.0000000Z,2021-08-13T17:45:46.7910000Z,2021-08-13T17:59:04.2170000Z,9.07,9.07,9.01,9.01,334.0,19
2021-08-13T18:00:00.0000000Z,2021-08-13T18:15:00.0000000Z,2021-08-13T18:00:51.7300000Z,2021-08-13T18:13:29.2230000Z,9.01,9.054,9.0,9.05,75.8,15
2021-08-13T18:15:00.0000000Z,2021-08-13T18:30:00.0000000Z,2021-08-13T18:15:24.3090000Z,2021-08-13T18:28:13.6860000Z,9.049,9.141,8.854,8.968,1561.4,44
2021-08-13T18:30:00.0000000Z,2021-08-13T18:45:00.0000000Z,2021-08-13T18:30:38.4290000Z,2021-08-13T18:44:55.4380000Z,8.853,8.97,8.853,8.9,202.2,15
2021-08-13T18:45:00.0000000Z,2021-08-13T19:00:00.0000000Z,2021-08-13T18:45:57.7420000Z,2021-08-13T18:58:34.4150000Z,8.898,8.899,8.722,8.722,4817.8,65
2021-08-13T19:00:00.0000000Z,2021-08-13T19:15:00.0000000Z,2021-08-13T19:01:14.1140000Z,2021-08-13T19:14:07.6070000Z,8.814,8.851,8.703,8.79,1828.6,27
2021-08-13T19:15:00.0000000Z,2021-08-13T19:30:00.0000000Z,2021-08-13T19:16:23.7690000Z,2021-08-13T19:29:32.7800000Z,8.797,8.851,8.69,8.792,1272.0,37
2021-08-13T19:30:00.0000000Z,2021-08-13T19:45:00.0000000Z,2021-08-13T19:31:10.6330000Z,2021-08-13T19:44:12.1200000Z,8.793,8.851,8.681,8.747,1973.4,31
2021-08-13T19:45:00.0000000Z,2021-08-13T20:00:00.0000000Z,2021-08-13T19:45:04.6800000Z,2021-08-13T19:59:32.8980000Z,8.825,8.849,8.702,8.849,805.6,28
2021-08-13T20:00:00.0000000Z,2021-08-13T20:15:00.0000000Z,2021-08-13T20:03:12.7680000Z,2021-08-13T20:14:56.5880000Z,8.849,9.14,8.761,9.138,2641.5,37
2021-08-13T20:15:00.0000000Z,2021-08-13T20:30:00.0000000Z,2021-08-13T20:15:21.4190000Z,2021-08-13T20:26:42.6840000Z,9.138,9.199,9.1,9.19,4040.0,39
2021-08-13T20:30:00.0000000Z,2021-08-13T20:45:00.0000000Z,2021-08-13T20:32:22.5030000Z,2021-08-13T20:44:13.3070000Z,9.189,9.248,9.022,9.228,983.1,24
2021-08-13T20:45:00.0000000Z,2021-08-13T21:00:00.0000000Z,2021-08-13T20:48:46.7310000Z,2021-08-13T20:56:05.9270000Z,9.223,9.223,9.1,9.155,3624.7,33
2021-08-13T21:00:00.0000000Z,2021-08-13T21:15:00.0000000Z,2021-08-13T21:02:05.9920000Z,2021-08-13T21:14:27.5030000Z,9.063,9.108,8.963,8.963,827.9,30
2021-08-13T21:15:00.0000000Z,2021-08-13T21:30:00.0000000Z,2021-08-13T21:17:41.9470000Z,2021-08-13T21:29:06.3920000Z,9.068,9.068,8.908,9.05,67.6,12
2021-08-13T21:30:00.0000000Z,2021-08-13T21:45:00.0000000Z,2021-08-13T21:30:16.9110000Z,2021-08-13T21:44:22.3980000Z,9.049,9.207,9.035,9.1,1963.2,36
2021-08-13T21:45:00.0000000Z,2021-08-13T22:00:00.0000000Z,2021-08-13T21:45:59.1020000Z,2021-08-13T21:57:29.7180000Z,9.082,9.166,8.917,9.026,260.6,21
2021-08-13T22:00:00.0000000Z,2021-08-13T22:15:00.0000000Z,2021-08-13T22:00:45.0370000Z,2021-08-13T22:14:51.2100000Z,9.026,9.091,8.979,9.088,125.9,13
2021-08-13T22:15:00.0000000Z,2021-08-13T22:30:00.0000000Z,2021-08-13T22:15:14.1030000Z,2021-08-13T22:29:55.7480000Z,9.071,9.084,8.988,9.041,224.5,12
2021-08-13T22:30:00.0000000Z,2021-08-13T22:45:00.0000000Z,2021-08-13T22:31:50.2240000Z,2021-08-13T22:42:49.2740000Z,9.04,9.084,8.947,9.084,36.9,7
2021-08-13T22:45:00.0000000Z,2021-08-13T23:00:00.0000000Z,2021-08-13T22:46:39.8100000Z,2021-08-13T22:55:46.4660000Z,9.081,9.084,9.081,9.084,8.1,5
2021-08-13T23:00:00.0000000Z,2021-08-13T23:15:00.0000000Z,2021-08-13T23:00:21.7680000Z,2021-08-13T23:14:00.0480000Z,9.045,9.045,8.743,8.893,1448.3,70
2021-08-13T23:15:00.0000000Z,2021-08-13T23:30:00.0000000Z,2021-08-13T23:15:42.7850000Z,2021-08-13T23:29:54.8670000Z,8.934,9.03,8.934,8.975,191.9,10
2021-08-13T23:30:00.0000000Z,2021-08-13T23:45:00.0000000Z,2021-08-13T23:32:20.0780000Z,2021-08-13T23:38:39.9000000Z,8.97,8.975,8.883,8.975,39.1,4
2021-08-13T23:45:00.0000000Z,2021-08-14T00:00:00.0000000Z,2021-08-13T23:46:14.3160000Z,2021-08-13T23:57:53.6070000Z,8.86,9.07,8.86,9.07,873.8,9
2021-08-14T00:00:00.0000000Z,2021-08-14T00:15:00.0000000Z,2021-08-14T00:00:27.2790000Z,2021-08-14T00:13:51.0340000Z,9.07,9.07,8.973,9.044,750.0,13
