time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-19T08:00:00.0000000Z,2021-03-31T23:59:09.5530000Z,9.38,17.6,5.68,8.279,24651714.702,517732
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:16.2210000Z,2021-04-30T23:59:33.8460000Z,8.278,10.96,5.196,8.262,28103022.206,511714
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:02.2810000Z,2021-05-31T23:59:51.0030000Z,8.258,14.76,6.8,8.55,29711831.94,701086
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:08.1540000Z,2021-06-30T23:59:53.8030000Z,8.559,11.49,3.618,8.253,43972915.279,1051579
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:00.1150000Z,2021-07-31T23:59:59.8830000Z,8.266,16.2,6.1,14.763,37126599.487,1167367
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:06.8970000Z,2021-08-31T23:59:53.4700000Z,14.763,26.21,13.462,20.16,35907623.304,1670667
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:08.0250000Z,2021-09-30T23:59:55.1620000Z,20.17,23.08,10.66,14.23,43492241.291,1840917
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:00.9590000Z,2021-10-31T23:59:49.5100000Z,14.24,19.98,12.51,16.42,27020950.78,1377804
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:11.2230000Z,2021-11-30T23:59:40.3800000Z,16.4,23.13,11.32,12.6,13937590.22,691550
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:20.1330000Z,2021-12-02T16:09:52.1580000Z,12.61,13.33,12.46,12.63,1187445.94,44939
