time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-19T07:15:00.0000000Z,2021-05-19T07:30:00.0000000Z,2021-05-19T07:25:50.9870000Z,2021-05-19T07:29:59.7960000Z,2.766,2.879,2.684,2.827,129100.86,774
2021-05-19T07:30:00.0000000Z,2021-05-19T07:45:00.0000000Z,2021-05-19T07:30:02.1390000Z,2021-05-19T07:44:58.1980000Z,2.844,2.891,2.75,2.828,273055.17,1892
2021-05-19T07:45:00.0000000Z,2021-05-19T08:00:00.0000000Z,2021-05-19T07:45:01.4770000Z,2021-05-19T07:59:56.7250000Z,2.822,2.918,2.742,2.849,260844.38,1867
2021-05-19T08:00:00.0000000Z,2021-05-19T08:15:00.0000000Z,2021-05-19T08:00:02.7450000Z,2021-05-19T08:14:57.2100000Z,2.851,2.958,2.819,2.921,231946.86,1464
2021-05-19T08:15:00.0000000Z,2021-05-19T08:30:00.0000000Z,2021-05-19T08:15:00.7260000Z,2021-05-19T08:29:59.9620000Z,2.921,2.929,2.762,2.812,108412.47,914
2021-05-19T08:30:00.0000000Z,2021-05-19T08:45:00.0000000Z,2021-05-19T08:30:03.6730000Z,2021-05-19T08:44:59.9090000Z,2.817,2.9,2.8,2.876,96146.32,732
2021-05-19T08:45:00.0000000Z,2021-05-19T09:00:00.0000000Z,2021-05-19T08:45:00.3150000Z,2021-05-19T08:59:49.1110000Z,2.873,2.915,2.856,2.913,107253.12,732
2021-05-19T09:00:00.0000000Z,2021-05-19T09:15:00.0000000Z,2021-05-19T09:00:10.2990000Z,2021-05-19T09:14:55.5630000Z,2.919,3.05,2.913,3.045,191533.86,1758
2021-05-19T09:15:00.0000000Z,2021-05-19T09:30:00.0000000Z,2021-05-19T09:15:00.6500000Z,2021-05-19T09:29:59.1780000Z,3.045,3.105,2.946,2.964,174756.85,1533
2021-05-19T09:30:00.0000000Z,2021-05-19T09:45:00.0000000Z,2021-05-19T09:30:00.5870000Z,2021-05-19T09:44:58.6010000Z,2.977,3.098,2.938,3.003,130392.32,1167
2021-05-19T09:45:00.0000000Z,2021-05-19T10:00:00.0000000Z,2021-05-19T09:45:00.1350000Z,2021-05-19T09:59:55.5820000Z,3.004,3.025,2.828,2.953,176974.45,1682
2021-05-19T10:00:00.0000000Z,2021-05-19T10:15:00.0000000Z,2021-05-19T10:00:04.4380000Z,2021-05-19T10:14:49.7710000Z,2.969,2.981,2.798,2.809,98619.33,1017
2021-05-19T10:15:00.0000000Z,2021-05-19T10:30:00.0000000Z,2021-05-19T10:15:06.8390000Z,2021-05-19T10:29:46.5910000Z,2.81,2.857,2.8,2.837,37451.93,584
2021-05-19T10:30:00.0000000Z,2021-05-19T10:45:00.0000000Z,2021-05-19T10:30:02.7950000Z,2021-05-19T10:44:58.4040000Z,2.837,2.948,2.742,2.78,63818.06,700
2021-05-19T10:45:00.0000000Z,2021-05-19T11:00:00.0000000Z,2021-05-19T10:45:00.5750000Z,2021-05-19T10:59:57.3340000Z,2.771,2.79,2.653,2.699,114255.31,1102
2021-05-19T11:00:00.0000000Z,2021-05-19T11:15:00.0000000Z,2021-05-19T11:00:02.6140000Z,2021-05-19T11:14:54.0640000Z,2.692,2.873,2.691,2.758,57749.81,576
2021-05-19T11:15:00.0000000Z,2021-05-19T11:30:00.0000000Z,2021-05-19T11:15:01.8580000Z,2021-05-19T11:29:55.6260000Z,2.751,2.797,2.395,2.473,161938.56,1263
2021-05-19T11:30:00.0000000Z,2021-05-19T11:45:00.0000000Z,2021-05-19T11:30:00.5680000Z,2021-05-19T11:44:48.7150000Z,2.462,2.5,2.2,2.442,212173.94,1591
