time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-08T08:00:00.0000000Z,2021-09-08T08:15:00.0000000Z,2021-09-08T08:03:47.3590000Z,2021-09-08T08:14:59.2530000Z,0.8625,0.8785,0.7349,0.7369,4505679.9,9834
2021-09-08T08:15:00.0000000Z,2021-09-08T08:30:00.0000000Z,2021-09-08T08:15:00.3180000Z,2021-09-08T08:29:56.4570000Z,0.7369,0.7498,0.6861,0.7331,1764704.0,3071
2021-09-08T08:30:00.0000000Z,2021-09-08T08:45:00.0000000Z,2021-09-08T08:30:01.7530000Z,2021-09-08T08:44:59.4860000Z,0.7346,0.7499,0.701,0.744,926060.8,1716
2021-09-08T08:45:00.0000000Z,2021-09-08T09:00:00.0000000Z,2021-09-08T08:45:00.4580000Z,2021-09-08T08:59:59.3480000Z,0.744,0.745,0.71,0.745,598512.9,963
2021-09-08T09:00:00.0000000Z,2021-09-08T09:15:00.0000000Z,2021-09-08T09:00:00.8840000Z,2021-09-08T09:14:45.3390000Z,0.7449,0.7449,0.7169,0.725,340567.6,627
2021-09-08T09:15:00.0000000Z,2021-09-08T09:30:00.0000000Z,2021-09-08T09:15:00.1890000Z,2021-09-08T09:29:59.3050000Z,0.7276,0.7436,0.7229,0.73,244645.8,517
2021-09-08T09:30:00.0000000Z,2021-09-08T09:45:00.0000000Z,2021-09-08T09:30:04.1000000Z,2021-09-08T09:44:45.1610000Z,0.7294,0.7337,0.712,0.7311,160073.5,568
2021-09-08T09:45:00.0000000Z,2021-09-08T10:00:00.0000000Z,2021-09-08T09:45:20.6070000Z,2021-09-08T09:59:59.4870000Z,0.7297,0.7456,0.7267,0.7353,146607.2,622
2021-09-08T10:00:00.0000000Z,2021-09-08T10:15:00.0000000Z,2021-09-08T10:00:02.6730000Z,2021-09-08T10:14:46.6000000Z,0.7303,0.7359,0.7209,0.73,189430.3,507
2021-09-08T10:15:00.0000000Z,2021-09-08T10:30:00.0000000Z,2021-09-08T10:15:02.4940000Z,2021-09-08T10:29:58.0650000Z,0.73,0.7442,0.7239,0.724,141011.2,439
2021-09-08T10:30:00.0000000Z,2021-09-08T10:45:00.0000000Z,2021-09-08T10:30:01.7660000Z,2021-09-08T10:44:59.9410000Z,0.7273,0.733,0.7085,0.7128,275618.6,517
2021-09-08T10:45:00.0000000Z,2021-09-08T11:00:00.0000000Z,2021-09-08T10:45:00.2050000Z,2021-09-08T10:59:53.2010000Z,0.7128,0.7321,0.7128,0.73,107047.2,393
2021-09-08T11:00:00.0000000Z,2021-09-08T11:15:00.0000000Z,2021-09-08T11:00:02.5020000Z,2021-09-08T11:14:55.1020000Z,0.7293,0.74,0.7177,0.7295,117161.6,321
2021-09-08T11:15:00.0000000Z,2021-09-08T11:30:00.0000000Z,2021-09-08T11:15:23.6330000Z,2021-09-08T11:29:44.6400000Z,0.7295,0.733,0.7209,0.7269,113653.2,286
2021-09-08T11:30:00.0000000Z,2021-09-08T11:45:00.0000000Z,2021-09-08T11:30:10.6430000Z,2021-09-08T11:44:32.3690000Z,0.7269,0.733,0.7199,0.7294,229913.7,254
