time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-09T08:00:00.0000000Z,2021-03-09T08:15:00.0000000Z,2021-03-09T08:00:00.0000000Z,2021-03-09T08:14:57.9880000Z,0.1588,0.1962,0.1588,0.17,5567105.31,3616
2021-03-09T08:15:00.0000000Z,2021-03-09T08:30:00.0000000Z,2021-03-09T08:15:05.8330000Z,2021-03-09T08:29:57.6030000Z,0.1699,0.1725,0.1615,0.1622,1043172.82,837
2021-03-09T08:30:00.0000000Z,2021-03-09T08:45:00.0000000Z,2021-03-09T08:30:01.0580000Z,2021-03-09T08:44:55.7880000Z,0.1621,0.1631,0.1559,0.1559,1079189.64,933
2021-03-09T08:45:00.0000000Z,2021-03-09T09:00:00.0000000Z,2021-03-09T08:45:10.0770000Z,2021-03-09T08:59:59.8240000Z,0.1556,0.1618,0.1555,0.1618,708161.44,649
2021-03-09T09:00:00.0000000Z,2021-03-09T09:15:00.0000000Z,2021-03-09T09:00:05.8060000Z,2021-03-09T09:14:59.9400000Z,0.1618,0.1676,0.1613,0.167,533670.8,510
2021-03-09T09:15:00.0000000Z,2021-03-09T09:30:00.0000000Z,2021-03-09T09:15:20.0230000Z,2021-03-09T09:29:55.8870000Z,0.1664,0.1664,0.1581,0.1625,427476.85,399
2021-03-09T09:30:00.0000000Z,2021-03-09T09:45:00.0000000Z,2021-03-09T09:30:05.4910000Z,2021-03-09T09:44:51.5450000Z,0.1623,0.1632,0.158,0.1584,399956.9,507
2021-03-09T09:45:00.0000000Z,2021-03-09T10:00:00.0000000Z,2021-03-09T09:45:17.5370000Z,2021-03-09T09:59:50.6520000Z,0.1583,0.1632,0.1583,0.1609,382324.07,489
2021-03-09T10:00:00.0000000Z,2021-03-09T10:15:00.0000000Z,2021-03-09T10:00:02.4610000Z,2021-03-09T10:14:56.0890000Z,0.1606,0.1613,0.1572,0.1591,264697.86,405
2021-03-09T10:15:00.0000000Z,2021-03-09T10:30:00.0000000Z,2021-03-09T10:15:13.8550000Z,2021-03-09T10:29:58.7820000Z,0.1594,0.161,0.1563,0.1584,881095.62,835
2021-03-09T10:30:00.0000000Z,2021-03-09T10:45:00.0000000Z,2021-03-09T10:30:00.2170000Z,2021-03-09T10:44:59.7220000Z,0.1585,0.1605,0.1556,0.1589,646587.83,620
2021-03-09T10:45:00.0000000Z,2021-03-09T11:00:00.0000000Z,2021-03-09T10:45:07.0260000Z,2021-03-09T10:59:57.6190000Z,0.1589,0.1594,0.1573,0.1585,287839.2,231
2021-03-09T11:00:00.0000000Z,2021-03-09T11:15:00.0000000Z,2021-03-09T11:00:01.4080000Z,2021-03-09T11:14:58.4760000Z,0.1582,0.1632,0.1575,0.1622,381902.6,579
2021-03-09T11:15:00.0000000Z,2021-03-09T11:30:00.0000000Z,2021-03-09T11:15:01.9640000Z,2021-03-09T11:29:57.0610000Z,0.1621,0.1628,0.1593,0.1604,415805.34,592
2021-03-09T11:30:00.0000000Z,2021-03-09T11:45:00.0000000Z,2021-03-09T11:30:01.3300000Z,2021-03-09T11:44:42.8490000Z,0.1606,0.164,0.1599,0.1629,409104.79,528
2021-03-09T11:45:00.0000000Z,2021-03-09T12:00:00.0000000Z,2021-03-09T11:45:02.6030000Z,2021-03-09T11:59:52.2690000Z,0.1632,0.1632,0.16,0.1605,259081.12,376
2021-03-09T12:00:00.0000000Z,2021-03-09T12:15:00.0000000Z,2021-03-09T12:00:04.8610000Z,2021-03-09T12:14:54.5240000Z,0.1606,0.1609,0.1566,0.1568,331983.41,340
