time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-15T08:00:00.0000000Z,2021-11-15T08:15:00.0000000Z,2021-11-15T08:01:15.4090000Z,2021-11-15T08:14:59.9760000Z,0.2337,0.2378,0.2069,0.226,75065115.0,32043
2021-11-15T08:15:00.0000000Z,2021-11-15T08:30:00.0000000Z,2021-11-15T08:15:00.0530000Z,2021-11-15T08:29:59.9760000Z,0.2261,0.2555,0.2257,0.2345,58941363.0,28790
2021-11-15T08:30:00.0000000Z,2021-11-15T08:45:00.0000000Z,2021-11-15T08:30:00.2820000Z,2021-11-15T08:44:58.5430000Z,0.2343,0.24,0.2257,0.2375,21416998.0,12943
2021-11-15T08:45:00.0000000Z,2021-11-15T09:00:00.0000000Z,2021-11-15T08:45:00.1740000Z,2021-11-15T08:59:59.2280000Z,0.2375,0.243,0.224,0.2256,16239868.0,10696
2021-11-15T09:00:00.0000000Z,2021-11-15T09:15:00.0000000Z,2021-11-15T09:00:00.0270000Z,2021-11-15T09:14:59.3080000Z,0.2256,0.2259,0.214,0.2159,15534872.0,9340
2021-11-15T09:15:00.0000000Z,2021-11-15T09:30:00.0000000Z,2021-11-15T09:15:00.4530000Z,2021-11-15T09:29:59.3810000Z,0.2159,0.2258,0.2158,0.2238,7981616.0,5293
2021-11-15T09:30:00.0000000Z,2021-11-15T09:45:00.0000000Z,2021-11-15T09:30:01.4960000Z,2021-11-15T09:44:59.8990000Z,0.2236,0.2276,0.2197,0.2225,9221308.0,5454
2021-11-15T09:45:00.0000000Z,2021-11-15T10:00:00.0000000Z,2021-11-15T09:45:00.0420000Z,2021-11-15T09:59:59.8160000Z,0.2227,0.2362,0.2227,0.2302,15595415.0,9808
2021-11-15T10:00:00.0000000Z,2021-11-15T10:15:00.0000000Z,2021-11-15T10:00:00.5760000Z,2021-11-15T10:14:59.5940000Z,0.2302,0.2489,0.2296,0.2422,33659728.0,16558
2021-11-15T10:15:00.0000000Z,2021-11-15T10:30:00.0000000Z,2021-11-15T10:15:00.6880000Z,2021-11-15T10:29:59.9460000Z,0.2423,0.2498,0.2337,0.2425,20266101.0,13324
2021-11-15T10:30:00.0000000Z,2021-11-15T10:45:00.0000000Z,2021-11-15T10:30:00.0450000Z,2021-11-15T10:44:58.9740000Z,0.2425,0.2497,0.2415,0.2457,17273520.0,11350
2021-11-15T10:45:00.0000000Z,2021-11-15T11:00:00.0000000Z,2021-11-15T10:45:00.8260000Z,2021-11-15T10:59:59.1130000Z,0.246,0.2578,0.2375,0.2401,31606396.0,19564
2021-11-15T11:00:00.0000000Z,2021-11-15T11:15:00.0000000Z,2021-11-15T11:00:00.3280000Z,2021-11-15T11:14:59.8620000Z,0.24,0.2438,0.2357,0.2397,12057792.0,9466
2021-11-15T11:15:00.0000000Z,2021-11-15T11:30:00.0000000Z,2021-11-15T11:15:00.1740000Z,2021-11-15T11:29:59.4240000Z,0.2397,0.2407,0.2328,0.2341,8366605.0,6298
2021-11-15T11:30:00.0000000Z,2021-11-15T11:45:00.0000000Z,2021-11-15T11:30:00.6880000Z,2021-11-15T11:44:59.3150000Z,0.2341,0.236,0.23,0.2303,10214621.0,7473
2021-11-15T11:45:00.0000000Z,2021-11-15T12:00:00.0000000Z,2021-11-15T11:45:00.8000000Z,2021-11-15T11:59:59.8770000Z,0.2303,0.2308,0.2257,0.2295,7371074.0,6287
2021-11-15T12:00:00.0000000Z,2021-11-15T12:15:00.0000000Z,2021-11-15T12:00:00.1340000Z,2021-11-15T12:14:59.9590000Z,0.2295,0.2373,0.2292,0.2302,9181475.0,7178
2021-11-15T12:15:00.0000000Z,2021-11-15T12:30:00.0000000Z,2021-11-15T12:15:01.6560000Z,2021-11-15T12:29:59.9840000Z,0.2303,0.2309,0.2229,0.2265,7614823.0,5684
2021-11-15T12:30:00.0000000Z,2021-11-15T12:45:00.0000000Z,2021-11-15T12:30:01.2770000Z,2021-11-15T12:44:59.4960000Z,0.2266,0.2382,0.2266,0.2344,11326576.0,7068
2021-11-15T12:45:00.0000000Z,2021-11-15T13:00:00.0000000Z,2021-11-15T12:45:00.7190000Z,2021-11-15T12:59:59.8970000Z,0.2347,0.2439,0.233,0.2415,12456226.0,8887
2021-11-15T13:00:00.0000000Z,2021-11-15T13:15:00.0000000Z,2021-11-15T13:00:00.9500000Z,2021-11-15T13:14:59.9080000Z,0.2415,0.242,0.2361,0.2385,7703453.0,5627
2021-11-15T13:15:00.0000000Z,2021-11-15T13:30:00.0000000Z,2021-11-15T13:15:00.5160000Z,2021-11-15T13:29:57.4890000Z,0.2385,0.2386,0.2301,0.2305,4469587.0,4343
2021-11-15T13:30:00.0000000Z,2021-11-15T13:45:00.0000000Z,2021-11-15T13:30:00.2390000Z,2021-11-15T13:44:59.8900000Z,0.2305,0.236,0.2305,0.2324,3900294.0,3721
2021-11-15T13:45:00.0000000Z,2021-11-15T14:00:00.0000000Z,2021-11-15T13:45:01.4390000Z,2021-11-15T13:59:59.6600000Z,0.2322,0.2334,0.228,0.2332,5150763.0,3812
2021-11-15T14:00:00.0000000Z,2021-11-15T14:15:00.0000000Z,2021-11-15T14:00:00.0350000Z,2021-11-15T14:14:59.4500000Z,0.2332,0.2333,0.218,0.2209,17015507.0,9077
2021-11-15T14:15:00.0000000Z,2021-11-15T14:30:00.0000000Z,2021-11-15T14:15:00.6380000Z,2021-11-15T14:29:59.5270000Z,0.2208,0.2283,0.2202,0.228,5522243.0,4006
2021-11-15T14:30:00.0000000Z,2021-11-15T14:45:00.0000000Z,2021-11-15T14:30:00.4990000Z,2021-11-15T14:44:58.7550000Z,0.2278,0.228,0.2178,0.2194,7250827.0,4510
2021-11-15T14:45:00.0000000Z,2021-11-15T15:00:00.0000000Z,2021-11-15T14:45:00.3040000Z,2021-11-15T14:59:59.5610000Z,0.2192,0.2227,0.2178,0.2186,5020737.0,3257
2021-11-15T15:00:00.0000000Z,2021-11-15T15:15:00.0000000Z,2021-11-15T15:00:01.8190000Z,2021-11-15T15:14:59.7010000Z,0.2186,0.2208,0.2178,0.2186,4614271.0,2429
