time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-29T06:00:00.0000000Z,2021-07-29T06:15:00.0000000Z,2021-07-29T06:01:05.9750000Z,2021-07-29T06:14:59.0480000Z,135.1,156.7,108.1,119.9,38087.186,12387
2021-07-29T06:15:00.0000000Z,2021-07-29T06:30:00.0000000Z,2021-07-29T06:15:00.6270000Z,2021-07-29T06:29:56.3310000Z,120.0,132.0,116.0,121.6,13948.266,4034
2021-07-29T06:30:00.0000000Z,2021-07-29T06:45:00.0000000Z,2021-07-29T06:30:02.0170000Z,2021-07-29T06:44:58.7610000Z,121.5,121.8,113.4,117.0,5958.379,1818
2021-07-29T06:45:00.0000000Z,2021-07-29T07:00:00.0000000Z,2021-07-29T06:45:04.2260000Z,2021-07-29T06:59:57.9300000Z,117.2,119.5,114.9,115.5,4539.36,1325
2021-07-29T07:00:00.0000000Z,2021-07-29T07:15:00.0000000Z,2021-07-29T07:00:03.0440000Z,2021-07-29T07:14:56.7240000Z,115.5,116.7,112.2,113.0,3497.335,1171
2021-07-29T07:15:00.0000000Z,2021-07-29T07:30:00.0000000Z,2021-07-29T07:15:00.3180000Z,2021-07-29T07:29:54.7910000Z,113.0,115.9,111.1,111.8,2815.323,1062
2021-07-29T07:30:00.0000000Z,2021-07-29T07:45:00.0000000Z,2021-07-29T07:30:00.3910000Z,2021-07-29T07:44:59.9040000Z,111.8,112.8,106.6,106.6,3726.849,1227
2021-07-29T07:45:00.0000000Z,2021-07-29T08:00:00.0000000Z,2021-07-29T07:45:00.8820000Z,2021-07-29T07:59:59.8940000Z,107.1,110.7,106.7,108.9,2813.101,1176
2021-07-29T08:00:00.0000000Z,2021-07-29T08:15:00.0000000Z,2021-07-29T08:00:03.4700000Z,2021-07-29T08:14:57.8670000Z,108.9,109.9,104.2,104.8,1834.554,695
2021-07-29T08:15:00.0000000Z,2021-07-29T08:30:00.0000000Z,2021-07-29T08:15:03.0680000Z,2021-07-29T08:29:58.8110000Z,104.3,109.4,103.0,109.2,2234.121,1067
