time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-23T08:00:00.0000000Z,2021-07-23T08:15:00.0000000Z,2021-07-23T08:13:08.6910000Z,2021-07-23T08:14:52.9240000Z,320.0,326.9,314.1,325.5,163.014,182
2021-07-23T08:15:00.0000000Z,2021-07-23T08:30:00.0000000Z,2021-07-23T08:15:04.0880000Z,2021-07-23T08:29:29.3950000Z,324.1,324.1,314.0,317.4,404.659,283
2021-07-23T08:30:00.0000000Z,2021-07-23T08:45:00.0000000Z,2021-07-23T08:30:29.5320000Z,2021-07-23T08:44:44.4260000Z,315.2,316.9,311.1,313.8,440.304,159
2021-07-23T08:45:00.0000000Z,2021-07-23T09:00:00.0000000Z,2021-07-23T08:45:13.6550000Z,2021-07-23T08:59:31.5830000Z,313.9,315.4,297.0,298.0,407.072,318
2021-07-23T09:00:00.0000000Z,2021-07-23T09:15:00.0000000Z,2021-07-23T09:00:05.7630000Z,2021-07-23T09:14:57.9100000Z,299.7,315.0,291.7,305.6,705.45,919
2021-07-23T09:15:00.0000000Z,2021-07-23T09:30:00.0000000Z,2021-07-23T09:15:18.5250000Z,2021-07-23T09:29:38.8930000Z,307.0,319.2,305.8,318.2,235.666,501
2021-07-23T09:30:00.0000000Z,2021-07-23T09:45:00.0000000Z,2021-07-23T09:30:05.6890000Z,2021-07-23T09:44:21.3090000Z,318.0,327.2,316.2,319.0,287.772,303
2021-07-23T09:45:00.0000000Z,2021-07-23T10:00:00.0000000Z,2021-07-23T09:45:02.2630000Z,2021-07-23T09:59:53.0990000Z,318.7,323.7,314.0,315.0,220.355,207
2021-07-23T10:00:00.0000000Z,2021-07-23T10:15:00.0000000Z,2021-07-23T10:00:04.1600000Z,2021-07-23T10:14:54.6660000Z,315.7,319.7,295.3,304.9,639.807,569
2021-07-23T10:15:00.0000000Z,2021-07-23T10:30:00.0000000Z,2021-07-23T10:15:10.2040000Z,2021-07-23T10:29:54.6020000Z,301.8,310.6,296.1,306.1,187.413,265
2021-07-23T10:30:00.0000000Z,2021-07-23T10:45:00.0000000Z,2021-07-23T10:30:04.7080000Z,2021-07-23T10:44:56.7690000Z,306.0,310.0,295.0,304.0,430.682,441
2021-07-23T10:45:00.0000000Z,2021-07-23T11:00:00.0000000Z,2021-07-23T10:45:06.1510000Z,2021-07-23T10:59:49.4950000Z,305.2,308.0,297.9,305.9,291.667,242
2021-07-23T11:00:00.0000000Z,2021-07-23T11:15:00.0000000Z,2021-07-23T11:00:50.8430000Z,2021-07-23T11:14:54.8330000Z,306.9,315.0,304.5,312.9,197.897,186
2021-07-23T11:15:00.0000000Z,2021-07-23T11:30:00.0000000Z,2021-07-23T11:15:09.7930000Z,2021-07-23T11:28:47.8130000Z,314.1,315.0,304.6,312.0,240.17,192
2021-07-23T11:30:00.0000000Z,2021-07-23T11:45:00.0000000Z,2021-07-23T11:30:33.0890000Z,2021-07-23T11:44:25.8710000Z,310.0,312.0,307.0,310.1,144.489,151
2021-07-23T11:45:00.0000000Z,2021-07-23T12:00:00.0000000Z,2021-07-23T11:45:37.5550000Z,2021-07-23T11:59:27.5730000Z,310.1,311.5,305.1,309.2,170.265,143
2021-07-23T12:00:00.0000000Z,2021-07-23T12:15:00.0000000Z,2021-07-23T12:01:34.2310000Z,2021-07-23T12:14:10.5080000Z,310.4,314.0,309.3,310.2,112.086,102
2021-07-23T12:15:00.0000000Z,2021-07-23T12:30:00.0000000Z,2021-07-23T12:15:05.1550000Z,2021-07-23T12:29:45.8480000Z,311.6,313.9,305.2,311.5,120.794,100
2021-07-23T12:30:00.0000000Z,2021-07-23T12:45:00.0000000Z,2021-07-23T12:30:41.5760000Z,2021-07-23T12:44:58.8060000Z,309.4,315.8,309.3,315.8,74.813,81
2021-07-23T12:45:00.0000000Z,2021-07-23T13:00:00.0000000Z,2021-07-23T12:45:27.5530000Z,2021-07-23T12:59:51.7150000Z,312.1,323.1,312.1,322.0,88.153,92
2021-07-23T13:00:00.0000000Z,2021-07-23T13:15:00.0000000Z,2021-07-23T13:00:49.3450000Z,2021-07-23T13:14:48.4530000Z,322.0,322.0,310.6,313.8,164.723,103
2021-07-23T13:15:00.0000000Z,2021-07-23T13:30:00.0000000Z,2021-07-23T13:15:14.4760000Z,2021-07-23T13:29:25.4700000Z,314.0,315.8,311.0,315.8,49.0,46
2021-07-23T13:30:00.0000000Z,2021-07-23T13:45:00.0000000Z,2021-07-23T13:30:28.4300000Z,2021-07-23T13:44:34.3930000Z,315.8,317.0,311.9,313.7,17.252,33
2021-07-23T13:45:00.0000000Z,2021-07-23T14:00:00.0000000Z,2021-07-23T13:45:22.5510000Z,2021-07-23T13:59:45.2390000Z,316.8,317.0,313.7,315.0,12.24,30
2021-07-23T14:00:00.0000000Z,2021-07-23T14:15:00.0000000Z,2021-07-23T14:00:01.0910000Z,2021-07-23T14:13:21.7780000Z,314.0,316.3,313.1,315.8,66.544,44
2021-07-23T14:15:00.0000000Z,2021-07-23T14:30:00.0000000Z,2021-07-23T14:18:12.6080000Z,2021-07-23T14:29:56.7600000Z,315.8,316.0,313.5,315.2,15.923,31
