time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-10T06:00:00.0000000Z,2021-08-10T06:15:00.0000000Z,2021-08-10T06:01:27.1010000Z,2021-08-10T06:14:57.9690000Z,4.491,4.65,4.313,4.383,111307.4,1693
2021-08-10T06:15:00.0000000Z,2021-08-10T06:30:00.0000000Z,2021-08-10T06:15:00.1380000Z,2021-08-10T06:29:58.3170000Z,4.399,4.6,4.295,4.4,65622.7,785
2021-08-10T06:30:00.0000000Z,2021-08-10T06:45:00.0000000Z,2021-08-10T06:30:01.0350000Z,2021-08-10T06:44:35.5360000Z,4.399,4.503,4.281,4.462,55092.6,775
2021-08-10T06:45:00.0000000Z,2021-08-10T07:00:00.0000000Z,2021-08-10T06:45:00.5310000Z,2021-08-10T06:59:59.3830000Z,4.462,4.462,4.27,4.319,39780.8,596
2021-08-10T07:00:00.0000000Z,2021-08-10T07:15:00.0000000Z,2021-08-10T07:00:00.7710000Z,2021-08-10T07:14:59.5240000Z,4.319,4.457,4.24,4.443,50953.8,716
2021-08-10T07:15:00.0000000Z,2021-08-10T07:30:00.0000000Z,2021-08-10T07:15:05.3020000Z,2021-08-10T07:29:57.7100000Z,4.443,4.45,4.363,4.386,30135.7,459
2021-08-10T07:30:00.0000000Z,2021-08-10T07:45:00.0000000Z,2021-08-10T07:30:02.6290000Z,2021-08-10T07:44:37.5430000Z,4.398,4.49,4.363,4.486,14940.5,242
2021-08-10T07:45:00.0000000Z,2021-08-10T08:00:00.0000000Z,2021-08-10T07:45:02.6670000Z,2021-08-10T07:59:52.2860000Z,4.486,4.486,4.42,4.458,7664.2,192
2021-08-10T08:00:00.0000000Z,2021-08-10T08:15:00.0000000Z,2021-08-10T08:00:07.5660000Z,2021-08-10T08:14:37.8670000Z,4.459,4.459,4.39,4.414,10867.3,189
2021-08-10T08:15:00.0000000Z,2021-08-10T08:30:00.0000000Z,2021-08-10T08:15:40.0680000Z,2021-08-10T08:29:56.2930000Z,4.41,4.422,4.346,4.379,11503.4,201
