time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-27T10:00:00.0000000Z,2021-11-27T10:15:00.0000000Z,2021-11-27T10:14:03.0430000Z,2021-11-27T10:14:59.7450000Z,6.99,6.992,6.911,6.925,13375.2,165
2021-11-27T10:15:00.0000000Z,2021-11-27T10:30:00.0000000Z,2021-11-27T10:15:00.1540000Z,2021-11-27T10:29:59.3030000Z,6.921,6.939,6.59,6.591,250445.74,3349
2021-11-27T10:30:00.0000000Z,2021-11-27T10:45:00.0000000Z,2021-11-27T10:30:00.9530000Z,2021-11-27T10:44:57.4350000Z,6.592,6.745,6.511,6.7,100306.96,1953
2021-11-27T10:45:00.0000000Z,2021-11-27T11:00:00.0000000Z,2021-11-27T10:45:01.8130000Z,2021-11-27T10:59:58.0910000Z,6.7,6.703,6.469,6.474,112405.06,1626
2021-11-27T11:00:00.0000000Z,2021-11-27T11:15:00.0000000Z,2021-11-27T11:00:00.6960000Z,2021-11-27T11:14:58.2100000Z,6.476,6.671,6.36,6.66,87401.73,1650
2021-11-27T11:15:00.0000000Z,2021-11-27T11:30:00.0000000Z,2021-11-27T11:15:00.3360000Z,2021-11-27T11:29:59.7490000Z,6.66,6.797,6.624,6.71,88720.43,1537
2021-11-27T11:30:00.0000000Z,2021-11-27T11:45:00.0000000Z,2021-11-27T11:30:00.5580000Z,2021-11-27T11:44:56.9180000Z,6.714,6.845,6.712,6.822,48913.59,1185
2021-11-27T11:45:00.0000000Z,2021-11-27T12:00:00.0000000Z,2021-11-27T11:45:03.0970000Z,2021-11-27T11:59:59.4680000Z,6.829,6.836,6.689,6.737,57037.78,804
2021-11-27T12:00:00.0000000Z,2021-11-27T12:15:00.0000000Z,2021-11-27T12:00:09.9470000Z,2021-11-27T12:14:59.9160000Z,6.737,7.069,6.737,7.052,97866.23,1230
2021-11-27T12:15:00.0000000Z,2021-11-27T12:30:00.0000000Z,2021-11-27T12:15:00.5330000Z,2021-11-27T12:29:59.9410000Z,7.059,7.321,6.921,7.157,156165.48,2894
2021-11-27T12:30:00.0000000Z,2021-11-27T12:45:00.0000000Z,2021-11-27T12:30:00.7870000Z,2021-11-27T12:44:56.0010000Z,7.157,7.5,7.142,7.33,371795.95,3486
2021-11-27T12:45:00.0000000Z,2021-11-27T13:00:00.0000000Z,2021-11-27T12:45:02.1750000Z,2021-11-27T12:59:59.8980000Z,7.333,7.945,7.241,7.743,385880.23,5411
2021-11-27T13:00:00.0000000Z,2021-11-27T13:15:00.0000000Z,2021-11-27T13:00:00.2310000Z,2021-11-27T13:14:58.8380000Z,7.736,7.736,7.248,7.286,212296.64,3226
2021-11-27T13:15:00.0000000Z,2021-11-27T13:30:00.0000000Z,2021-11-27T13:15:00.4230000Z,2021-11-27T13:29:55.1220000Z,7.286,7.537,7.175,7.204,107044.51,1781
2021-11-27T13:30:00.0000000Z,2021-11-27T13:45:00.0000000Z,2021-11-27T13:30:03.5930000Z,2021-11-27T13:44:58.8410000Z,7.203,7.462,7.085,7.239,160881.79,1707
2021-11-27T13:45:00.0000000Z,2021-11-27T14:00:00.0000000Z,2021-11-27T13:45:05.4280000Z,2021-11-27T13:59:56.9420000Z,7.236,7.304,7.172,7.287,57327.66,861
2021-11-27T14:00:00.0000000Z,2021-11-27T14:15:00.0000000Z,2021-11-27T14:00:01.2460000Z,2021-11-27T14:14:59.2030000Z,7.279,7.36,7.183,7.349,62370.65,892
2021-11-27T14:15:00.0000000Z,2021-11-27T14:30:00.0000000Z,2021-11-27T14:15:01.4690000Z,2021-11-27T14:29:59.6870000Z,7.349,7.492,7.26,7.472,60860.44,960
2021-11-27T14:30:00.0000000Z,2021-11-27T14:45:00.0000000Z,2021-11-27T14:30:00.7780000Z,2021-11-27T14:44:57.3180000Z,7.488,7.491,7.151,7.31,152293.47,1444
2021-11-27T14:45:00.0000000Z,2021-11-27T15:00:00.0000000Z,2021-11-27T14:45:02.4990000Z,2021-11-27T14:59:57.4870000Z,7.31,7.619,7.277,7.471,95366.93,1008
2021-11-27T15:00:00.0000000Z,2021-11-27T15:15:00.0000000Z,2021-11-27T15:00:00.7300000Z,2021-11-27T15:14:55.3910000Z,7.455,7.455,7.124,7.183,90735.42,1380
2021-11-27T15:15:00.0000000Z,2021-11-27T15:30:00.0000000Z,2021-11-27T15:15:07.4380000Z,2021-11-27T15:29:58.7890000Z,7.18,7.274,7.132,7.27,18803.35,430
2021-11-27T15:30:00.0000000Z,2021-11-27T15:45:00.0000000Z,2021-11-27T15:30:05.1370000Z,2021-11-27T15:44:59.9290000Z,7.27,7.271,7.147,7.152,25088.67,405
2021-11-27T15:45:00.0000000Z,2021-11-27T16:00:00.0000000Z,2021-11-27T15:45:14.9510000Z,2021-11-27T15:59:49.9550000Z,7.15,7.422,7.143,7.26,52548.73,1014
2021-11-27T16:00:00.0000000Z,2021-11-27T16:15:00.0000000Z,2021-11-27T16:00:01.4200000Z,2021-11-27T16:14:53.3690000Z,7.269,7.275,7.161,7.228,27231.16,448
2021-11-27T16:15:00.0000000Z,2021-11-27T16:30:00.0000000Z,2021-11-27T16:15:02.2590000Z,2021-11-27T16:29:57.6170000Z,7.227,7.232,7.123,7.135,29104.91,443
2021-11-27T16:30:00.0000000Z,2021-11-27T16:45:00.0000000Z,2021-11-27T16:30:07.5600000Z,2021-11-27T16:44:59.6440000Z,7.133,7.134,6.951,6.952,56737.38,801
2021-11-27T16:45:00.0000000Z,2021-11-27T17:00:00.0000000Z,2021-11-27T16:45:04.7570000Z,2021-11-27T16:59:59.0830000Z,6.963,7.247,6.963,7.215,39795.17,619
2021-11-27T17:00:00.0000000Z,2021-11-27T17:15:00.0000000Z,2021-11-27T17:00:04.1730000Z,2021-11-27T17:14:55.2340000Z,7.215,7.215,7.067,7.106,13981.45,281
2021-11-27T17:15:00.0000000Z,2021-11-27T17:30:00.0000000Z,2021-11-27T17:15:06.6740000Z,2021-11-27T17:29:55.1450000Z,7.106,7.12,7.043,7.046,23304.47,312
2021-11-27T17:30:00.0000000Z,2021-11-27T17:45:00.0000000Z,2021-11-27T17:30:00.0590000Z,2021-11-27T17:44:59.7970000Z,7.051,7.067,6.992,6.998,31863.16,392
2021-11-27T17:45:00.0000000Z,2021-11-27T18:00:00.0000000Z,2021-11-27T17:45:07.0330000Z,2021-11-27T17:59:59.8380000Z,7.0,7.244,6.992,7.229,56295.51,523
2021-11-27T18:00:00.0000000Z,2021-11-27T18:15:00.0000000Z,2021-11-27T18:00:04.2610000Z,2021-11-27T18:14:55.8630000Z,7.233,7.259,7.1,7.175,31975.1,300
2021-11-27T18:15:00.0000000Z,2021-11-27T18:30:00.0000000Z,2021-11-27T18:15:01.6260000Z,2021-11-27T18:29:55.8730000Z,7.176,7.203,7.133,7.199,8309.39,150
2021-11-27T18:30:00.0000000Z,2021-11-27T18:45:00.0000000Z,2021-11-27T18:30:04.9090000Z,2021-11-27T18:44:48.4080000Z,7.199,7.251,7.14,7.16,21226.41,289
2021-11-27T18:45:00.0000000Z,2021-11-27T19:00:00.0000000Z,2021-11-27T18:45:01.7940000Z,2021-11-27T18:59:47.7930000Z,7.161,7.23,7.149,7.214,8366.13,199
2021-11-27T19:00:00.0000000Z,2021-11-27T19:15:00.0000000Z,2021-11-27T19:00:12.8920000Z,2021-11-27T19:14:38.3860000Z,7.225,7.327,7.142,7.149,33379.5,325
2021-11-27T19:15:00.0000000Z,2021-11-27T19:30:00.0000000Z,2021-11-27T19:15:22.6990000Z,2021-11-27T19:29:45.6480000Z,7.148,7.149,7.102,7.12,18669.35,252
2021-11-27T19:30:00.0000000Z,2021-11-27T19:45:00.0000000Z,2021-11-27T19:30:24.0450000Z,2021-11-27T19:44:49.1560000Z,7.12,7.149,7.106,7.147,16702.49,184
