time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-22T10:00:00.0000000Z,2021-10-22T10:15:00.0000000Z,2021-10-22T10:04:19.8260000Z,2021-10-22T10:14:58.2230000Z,5.98,6.0,5.83,5.831,83661.5,1558
2021-10-22T10:15:00.0000000Z,2021-10-22T10:30:00.0000000Z,2021-10-22T10:15:00.0350000Z,2021-10-22T10:29:58.8360000Z,5.836,6.1,5.836,5.878,116498.2,2702
2021-10-22T10:30:00.0000000Z,2021-10-22T10:45:00.0000000Z,2021-10-22T10:30:00.8780000Z,2021-10-22T10:44:58.8560000Z,5.879,6.07,5.821,5.889,68162.0,1098
2021-10-22T10:45:00.0000000Z,2021-10-22T11:00:00.0000000Z,2021-10-22T10:45:02.0630000Z,2021-10-22T10:59:52.5820000Z,5.889,5.89,5.758,5.806,55459.6,744
2021-10-22T11:00:00.0000000Z,2021-10-22T11:15:00.0000000Z,2021-10-22T11:00:04.6480000Z,2021-10-22T11:14:57.6240000Z,5.821,5.86,5.751,5.838,29558.1,494
2021-10-22T11:15:00.0000000Z,2021-10-22T11:30:00.0000000Z,2021-10-22T11:15:04.8100000Z,2021-10-22T11:29:53.4030000Z,5.838,6.077,5.715,5.968,102247.2,1697
2021-10-22T11:30:00.0000000Z,2021-10-22T11:45:00.0000000Z,2021-10-22T11:30:01.3140000Z,2021-10-22T11:44:56.8130000Z,5.961,6.077,5.95,5.982,50761.6,768
2021-10-22T11:45:00.0000000Z,2021-10-22T12:00:00.0000000Z,2021-10-22T11:45:02.8270000Z,2021-10-22T11:59:52.8480000Z,5.991,5.993,5.872,5.881,28446.1,444
2021-10-22T12:00:00.0000000Z,2021-10-22T12:15:00.0000000Z,2021-10-22T12:00:06.1070000Z,2021-10-22T12:14:59.0210000Z,5.881,5.99,5.846,5.896,21768.0,457
2021-10-22T12:15:00.0000000Z,2021-10-22T12:30:00.0000000Z,2021-10-22T12:15:35.5920000Z,2021-10-22T12:29:35.2440000Z,5.894,5.917,5.86,5.896,18575.6,222
2021-10-22T12:30:00.0000000Z,2021-10-22T12:45:00.0000000Z,2021-10-22T12:30:03.8820000Z,2021-10-22T12:44:57.5670000Z,5.884,5.914,5.79,5.813,41832.3,426
2021-10-22T12:45:00.0000000Z,2021-10-22T13:00:00.0000000Z,2021-10-22T12:45:01.1740000Z,2021-10-22T12:59:54.6100000Z,5.805,5.85,5.791,5.844,15277.6,263
