time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-18T10:00:00.0000000Z,2021-06-18T10:15:00.0000000Z,2021-06-18T10:01:50.2480000Z,2021-06-18T10:14:57.0440000Z,0.015,0.01539,0.01497,0.01513,2710903.0,358
2021-06-18T10:15:00.0000000Z,2021-06-18T10:30:00.0000000Z,2021-06-18T10:15:11.1880000Z,2021-06-18T10:29:52.7390000Z,0.01514,0.01536,0.01512,0.01526,2249638.0,210
2021-06-18T10:30:00.0000000Z,2021-06-18T10:45:00.0000000Z,2021-06-18T10:30:00.8670000Z,2021-06-18T10:44:40.1360000Z,0.01526,0.0154,0.01526,0.01532,496341.0,61
2021-06-18T10:45:00.0000000Z,2021-06-18T11:00:00.0000000Z,2021-06-18T10:45:28.2410000Z,2021-06-18T10:59:31.3210000Z,0.0153,0.01537,0.01525,0.01534,949078.0,101
2021-06-18T11:00:00.0000000Z,2021-06-18T11:15:00.0000000Z,2021-06-18T11:00:07.3830000Z,2021-06-18T11:14:49.1730000Z,0.01535,0.01559,0.01522,0.01545,1138878.0,196
2021-06-18T11:15:00.0000000Z,2021-06-18T11:30:00.0000000Z,2021-06-18T11:16:07.0600000Z,2021-06-18T11:28:43.3900000Z,0.01545,0.01547,0.01527,0.01533,905803.0,132
2021-06-18T11:30:00.0000000Z,2021-06-18T11:45:00.0000000Z,2021-06-18T11:30:00.1280000Z,2021-06-18T11:44:54.8230000Z,0.01531,0.01535,0.01525,0.0153,507633.0,94
2021-06-18T11:45:00.0000000Z,2021-06-18T12:00:00.0000000Z,2021-06-18T11:45:29.5420000Z,2021-06-18T11:57:58.5840000Z,0.01533,0.01542,0.01531,0.0154,620887.0,110
2021-06-18T12:00:00.0000000Z,2021-06-18T12:15:00.0000000Z,2021-06-18T12:00:03.9560000Z,2021-06-18T12:14:30.0190000Z,0.01539,0.0154,0.01509,0.01519,1021518.0,95
2021-06-18T12:15:00.0000000Z,2021-06-18T12:30:00.0000000Z,2021-06-18T12:15:36.0490000Z,2021-06-18T12:29:51.9510000Z,0.01519,0.01523,0.01507,0.01512,718020.0,138
2021-06-18T12:30:00.0000000Z,2021-06-18T12:45:00.0000000Z,2021-06-18T12:30:41.5820000Z,2021-06-18T12:44:16.2880000Z,0.01513,0.01517,0.01506,0.01507,671214.0,86
2021-06-18T12:45:00.0000000Z,2021-06-18T13:00:00.0000000Z,2021-06-18T12:45:18.2670000Z,2021-06-18T12:59:48.0960000Z,0.01507,0.01518,0.01507,0.01511,194596.0,45
2021-06-18T13:00:00.0000000Z,2021-06-18T13:15:00.0000000Z,2021-06-18T13:00:11.6310000Z,2021-06-18T13:14:49.8020000Z,0.01515,0.01524,0.01498,0.015,604330.0,78
2021-06-18T13:15:00.0000000Z,2021-06-18T13:30:00.0000000Z,2021-06-18T13:15:36.2180000Z,2021-06-18T13:27:33.3140000Z,0.01502,0.01506,0.01494,0.01506,213361.0,24
2021-06-18T13:30:00.0000000Z,2021-06-18T13:45:00.0000000Z,2021-06-18T13:31:33.1010000Z,2021-06-18T13:43:42.5200000Z,0.01507,0.01509,0.01497,0.01498,330216.0,41
2021-06-18T13:45:00.0000000Z,2021-06-18T14:00:00.0000000Z,2021-06-18T13:45:38.9020000Z,2021-06-18T13:59:47.0620000Z,0.01502,0.01505,0.01491,0.01496,611336.0,74
2021-06-18T14:00:00.0000000Z,2021-06-18T14:15:00.0000000Z,2021-06-18T14:01:57.1900000Z,2021-06-18T14:13:15.4240000Z,0.01499,0.01505,0.01469,0.01479,558983.0,90
2021-06-18T14:15:00.0000000Z,2021-06-18T14:30:00.0000000Z,2021-06-18T14:15:05.7200000Z,2021-06-18T14:29:22.1100000Z,0.01471,0.01478,0.01463,0.01477,671144.0,119
