time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-24T10:00:00.0000000Z,2021-09-24T10:15:00.0000000Z,2021-09-24T10:08:55.4910000Z,2021-09-24T10:13:46.8260000Z,135.79,136.42,134.83,136.0,52.67,10
2021-09-24T10:15:00.0000000Z,2021-09-24T10:30:00.0000000Z,2021-09-24T10:15:24.8610000Z,2021-09-24T10:29:23.5710000Z,136.0,136.0,134.48,135.24,985.48,199
2021-09-24T10:30:00.0000000Z,2021-09-24T10:45:00.0000000Z,2021-09-24T10:31:35.6210000Z,2021-09-24T10:44:17.9910000Z,135.0,135.11,132.46,134.35,227.44,44
2021-09-24T10:45:00.0000000Z,2021-09-24T11:00:00.0000000Z,2021-09-24T10:45:09.6170000Z,2021-09-24T10:59:39.0970000Z,134.25,134.61,133.2,133.34,86.43,21
2021-09-24T11:00:00.0000000Z,2021-09-24T11:15:00.0000000Z,2021-09-24T11:00:21.0150000Z,2021-09-24T11:14:15.3720000Z,133.42,134.33,130.3,130.45,304.61,49
2021-09-24T11:15:00.0000000Z,2021-09-24T11:30:00.0000000Z,2021-09-24T11:15:16.9110000Z,2021-09-24T11:29:41.1170000Z,130.44,133.11,125.01,132.95,1252.7,160
2021-09-24T11:30:00.0000000Z,2021-09-24T11:45:00.0000000Z,2021-09-24T11:30:07.8240000Z,2021-09-24T11:44:55.3010000Z,132.27,134.28,130.33,134.27,312.01,59
2021-09-24T11:45:00.0000000Z,2021-09-24T12:00:00.0000000Z,2021-09-24T11:45:03.8230000Z,2021-09-24T11:59:52.2550000Z,133.97,135.77,133.97,135.77,1528.26,224
2021-09-24T12:00:00.0000000Z,2021-09-24T12:15:00.0000000Z,2021-09-24T12:01:12.6300000Z,2021-09-24T12:14:51.4270000Z,134.29,134.33,133.0,133.0,229.42,17
2021-09-24T12:15:00.0000000Z,2021-09-24T12:30:00.0000000Z,2021-09-24T12:15:11.2100000Z,2021-09-24T12:29:27.9390000Z,133.0,136.37,133.0,136.37,40.39,13
2021-09-24T12:30:00.0000000Z,2021-09-24T12:45:00.0000000Z,2021-09-24T12:30:17.9710000Z,2021-09-24T12:44:39.5200000Z,136.0,136.0,134.65,134.65,1036.91,101
2021-09-24T12:45:00.0000000Z,2021-09-24T13:00:00.0000000Z,2021-09-24T12:47:39.2200000Z,2021-09-24T12:59:37.3520000Z,134.1,134.54,127.07,131.6,1413.51,119
2021-09-24T13:00:00.0000000Z,2021-09-24T13:15:00.0000000Z,2021-09-24T13:00:06.1770000Z,2021-09-24T13:13:14.0270000Z,132.14,133.34,131.31,132.9,479.87,62
2021-09-24T13:15:00.0000000Z,2021-09-24T13:30:00.0000000Z,2021-09-24T13:15:02.6510000Z,2021-09-24T13:29:06.6990000Z,132.97,133.44,131.12,131.12,112.26,39
2021-09-24T13:30:00.0000000Z,2021-09-24T13:45:00.0000000Z,2021-09-24T13:31:30.9330000Z,2021-09-24T13:44:57.4140000Z,133.44,135.99,133.2,135.99,96.36,22
2021-09-24T13:45:00.0000000Z,2021-09-24T14:00:00.0000000Z,2021-09-24T13:45:53.8060000Z,2021-09-24T13:59:46.3480000Z,135.24,137.78,133.21,136.53,334.78,42
2021-09-24T14:00:00.0000000Z,2021-09-24T14:15:00.0000000Z,2021-09-24T14:00:33.2160000Z,2021-09-24T14:13:22.5640000Z,136.89,138.99,136.89,138.57,348.53,43
2021-09-24T14:15:00.0000000Z,2021-09-24T14:30:00.0000000Z,2021-09-24T14:15:51.4280000Z,2021-09-24T14:29:19.9070000Z,138.0,140.27,137.39,139.22,358.77,58
2021-09-24T14:30:00.0000000Z,2021-09-24T14:45:00.0000000Z,2021-09-24T14:30:15.8140000Z,2021-09-24T14:39:49.6700000Z,140.26,141.97,140.09,140.5,209.96,25
