time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-22T07:00:00.0000000Z,2021-11-22T07:15:00.0000000Z,2021-11-22T07:07:12.7000000Z,2021-11-22T07:14:58.5550000Z,5.089,5.161,4.964,5.098,236603.5,3069
2021-11-22T07:15:00.0000000Z,2021-11-22T07:30:00.0000000Z,2021-11-22T07:15:00.0180000Z,2021-11-22T07:29:59.7600000Z,5.09,5.12,4.787,4.82,312970.6,4175
2021-11-22T07:30:00.0000000Z,2021-11-22T07:45:00.0000000Z,2021-11-22T07:30:00.0630000Z,2021-11-22T07:44:59.9800000Z,4.82,4.995,4.497,4.769,339808.2,4351
2021-11-22T07:45:00.0000000Z,2021-11-22T08:00:00.0000000Z,2021-11-22T07:45:00.9280000Z,2021-11-22T07:59:59.5430000Z,4.771,4.83,1.05,4.736,378018.8,4575
2021-11-22T08:00:00.0000000Z,2021-11-22T08:15:00.0000000Z,2021-11-22T08:00:00.0560000Z,2021-11-22T08:14:59.4790000Z,4.737,4.768,4.426,4.484,109820.1,1844
2021-11-22T08:15:00.0000000Z,2021-11-22T08:30:00.0000000Z,2021-11-22T08:15:03.0310000Z,2021-11-22T08:29:59.9400000Z,4.484,4.82,4.471,4.65,100059.7,1635
2021-11-22T08:30:00.0000000Z,2021-11-22T08:45:00.0000000Z,2021-11-22T08:30:00.5190000Z,2021-11-22T08:44:57.8190000Z,4.65,4.882,4.639,4.695,199833.8,3325
2021-11-22T08:45:00.0000000Z,2021-11-22T09:00:00.0000000Z,2021-11-22T08:45:00.5630000Z,2021-11-22T08:59:58.7240000Z,4.689,4.804,4.467,4.519,127901.1,1541
2021-11-22T09:00:00.0000000Z,2021-11-22T09:15:00.0000000Z,2021-11-22T09:00:02.4060000Z,2021-11-22T09:14:52.3550000Z,4.522,4.579,4.361,4.395,76955.6,1115
2021-11-22T09:15:00.0000000Z,2021-11-22T09:30:00.0000000Z,2021-11-22T09:15:00.3690000Z,2021-11-22T09:29:59.3960000Z,4.396,4.4,4.324,4.343,69269.4,775
2021-11-22T09:30:00.0000000Z,2021-11-22T09:45:00.0000000Z,2021-11-22T09:30:00.1390000Z,2021-11-22T09:44:50.4610000Z,4.343,4.492,4.288,4.294,79253.1,1007
2021-11-22T09:45:00.0000000Z,2021-11-22T10:00:00.0000000Z,2021-11-22T09:45:01.8590000Z,2021-11-22T09:59:52.0130000Z,4.296,4.35,4.213,4.26,31396.3,594
2021-11-22T10:00:00.0000000Z,2021-11-22T10:15:00.0000000Z,2021-11-22T10:00:00.9380000Z,2021-11-22T10:14:55.7480000Z,4.26,4.624,4.25,4.263,61301.5,761
2021-11-22T10:15:00.0000000Z,2021-11-22T10:30:00.0000000Z,2021-11-22T10:15:00.1200000Z,2021-11-22T10:29:59.7920000Z,4.263,4.443,4.237,4.412,32793.2,475
2021-11-22T10:30:00.0000000Z,2021-11-22T10:45:00.0000000Z,2021-11-22T10:30:19.9210000Z,2021-11-22T10:44:59.5230000Z,4.43,4.5,4.385,4.432,32288.5,593
2021-11-22T10:45:00.0000000Z,2021-11-22T11:00:00.0000000Z,2021-11-22T10:45:02.1260000Z,2021-11-22T10:59:54.0330000Z,4.437,4.447,4.32,4.333,22046.6,363
2021-11-22T11:00:00.0000000Z,2021-11-22T11:15:00.0000000Z,2021-11-22T11:00:10.7810000Z,2021-11-22T11:14:39.7880000Z,4.333,4.386,4.247,4.282,28754.4,539
2021-11-22T11:15:00.0000000Z,2021-11-22T11:30:00.0000000Z,2021-11-22T11:15:28.7290000Z,2021-11-22T11:29:58.9740000Z,4.283,4.391,4.26,4.279,35706.6,413
2021-11-22T11:30:00.0000000Z,2021-11-22T11:45:00.0000000Z,2021-11-22T11:30:02.4350000Z,2021-11-22T11:44:52.8080000Z,4.281,4.316,4.25,4.316,11707.2,211
2021-11-22T11:45:00.0000000Z,2021-11-22T12:00:00.0000000Z,2021-11-22T11:45:01.7500000Z,2021-11-22T11:59:58.7580000Z,4.31,4.7,4.298,4.451,53041.7,798
2021-11-22T12:00:00.0000000Z,2021-11-22T12:15:00.0000000Z,2021-11-22T12:00:01.4380000Z,2021-11-22T12:14:51.3780000Z,4.449,4.565,4.424,4.469,55242.6,1098
2021-11-22T12:15:00.0000000Z,2021-11-22T12:30:00.0000000Z,2021-11-22T12:15:06.6620000Z,2021-11-22T12:29:58.4060000Z,4.477,4.846,4.448,4.763,90681.1,1491
2021-11-22T12:30:00.0000000Z,2021-11-22T12:45:00.0000000Z,2021-11-22T12:30:01.0680000Z,2021-11-22T12:44:54.2860000Z,4.774,4.775,4.596,4.65,70705.3,1211
