time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T10:00:00.0000000Z,2021-06-06T10:15:00.0000000Z,2021-06-06T10:03:50.8570000Z,2021-06-06T10:14:53.7950000Z,0.0005164,0.0005165,0.00051,0.000513,42214966.0,139
2021-06-06T10:15:00.0000000Z,2021-06-06T10:30:00.0000000Z,2021-06-06T10:15:21.1720000Z,2021-06-06T10:29:38.1330000Z,0.000513,0.000518,0.00051,0.00051,45045991.0,125
2021-06-06T10:30:00.0000000Z,2021-06-06T10:45:00.0000000Z,2021-06-06T10:30:47.5700000Z,2021-06-06T10:44:17.7390000Z,0.0005112,0.0005113,0.0005063,0.0005063,3552655.0,38
2021-06-06T10:45:00.0000000Z,2021-06-06T11:00:00.0000000Z,2021-06-06T10:45:02.8610000Z,2021-06-06T10:59:34.5290000Z,0.0005063,0.0005178,0.0005063,0.0005135,6764337.0,52
2021-06-06T11:00:00.0000000Z,2021-06-06T11:15:00.0000000Z,2021-06-06T11:02:03.9770000Z,2021-06-06T11:14:53.8980000Z,0.0005135,0.0005135,0.0005068,0.0005081,10457138.0,26
2021-06-06T11:15:00.0000000Z,2021-06-06T11:30:00.0000000Z,2021-06-06T11:15:05.2660000Z,2021-06-06T11:28:03.6830000Z,0.000512,0.0005123,0.0005004,0.0005036,13774446.0,40
2021-06-06T11:30:00.0000000Z,2021-06-06T11:45:00.0000000Z,2021-06-06T11:30:03.2730000Z,2021-06-06T11:43:36.8720000Z,0.0005083,0.0005164,0.0005053,0.0005069,2094397.0,23
2021-06-06T11:45:00.0000000Z,2021-06-06T12:00:00.0000000Z,2021-06-06T11:45:12.3490000Z,2021-06-06T11:58:49.6470000Z,0.00051,0.0005162,0.0005081,0.0005099,5712266.0,24
2021-06-06T12:00:00.0000000Z,2021-06-06T12:15:00.0000000Z,2021-06-06T12:00:24.1360000Z,2021-06-06T12:12:12.3420000Z,0.0005089,0.0005149,0.0005082,0.0005136,5835413.0,28
2021-06-06T12:15:00.0000000Z,2021-06-06T12:30:00.0000000Z,2021-06-06T12:15:32.2900000Z,2021-06-06T12:25:10.6910000Z,0.0005132,0.0005149,0.0005091,0.0005148,7191198.0,29
2021-06-06T12:30:00.0000000Z,2021-06-06T12:45:00.0000000Z,2021-06-06T12:30:01.5920000Z,2021-06-06T12:44:58.8970000Z,0.000514,0.0005147,0.0005081,0.0005117,2227346.0,25
2021-06-06T12:45:00.0000000Z,2021-06-06T13:00:00.0000000Z,2021-06-06T12:46:10.6830000Z,2021-06-06T12:59:38.2430000Z,0.00051,0.0005117,0.0005068,0.0005068,931336.0,8
2021-06-06T13:00:00.0000000Z,2021-06-06T13:15:00.0000000Z,2021-06-06T13:01:10.6760000Z,2021-06-06T13:13:57.2930000Z,0.0005117,0.000514,0.0005102,0.0005102,2518439.0,12
2021-06-06T13:15:00.0000000Z,2021-06-06T13:30:00.0000000Z,2021-06-06T13:18:47.5200000Z,2021-06-06T13:26:13.7880000Z,0.0005115,0.0005115,0.0005072,0.0005098,1080562.0,10
2021-06-06T13:30:00.0000000Z,2021-06-06T13:45:00.0000000Z,2021-06-06T13:30:46.1170000Z,2021-06-06T13:44:41.0210000Z,0.0005077,0.0005095,0.000506,0.0005077,10822218.0,25
2021-06-06T13:45:00.0000000Z,2021-06-06T14:00:00.0000000Z,2021-06-06T13:45:55.3690000Z,2021-06-06T13:56:26.7110000Z,0.0005077,0.0005097,0.0005042,0.0005042,2852104.0,14
2021-06-06T14:00:00.0000000Z,2021-06-06T14:15:00.0000000Z,2021-06-06T14:01:34.5750000Z,2021-06-06T14:14:34.5710000Z,0.0005031,0.0005069,0.0005022,0.0005039,1431924.0,20
2021-06-06T14:15:00.0000000Z,2021-06-06T14:30:00.0000000Z,2021-06-06T14:17:13.9180000Z,2021-06-06T14:28:04.2610000Z,0.0005069,0.000507,0.0005025,0.000507,7374120.0,14
2021-06-06T14:30:00.0000000Z,2021-06-06T14:45:00.0000000Z,2021-06-06T14:31:48.1760000Z,2021-06-06T14:41:15.9800000Z,0.0005068,0.0005091,0.0005027,0.0005027,3124238.0,15
2021-06-06T14:45:00.0000000Z,2021-06-06T15:00:00.0000000Z,2021-06-06T14:47:12.5500000Z,2021-06-06T14:52:42.0260000Z,0.0005062,0.0005132,0.000504,0.0005097,2782039.0,20
2021-06-06T15:00:00.0000000Z,2021-06-06T15:15:00.0000000Z,2021-06-06T15:00:07.3770000Z,2021-06-06T15:11:15.5330000Z,0.0005076,0.0005129,0.0005012,0.000508,5584997.0,35
2021-06-06T15:15:00.0000000Z,2021-06-06T15:30:00.0000000Z,2021-06-06T15:16:41.4750000Z,2021-06-06T15:29:17.6530000Z,0.000508,0.0005125,0.000508,0.0005094,3085658.0,23
2021-06-06T15:30:00.0000000Z,2021-06-06T15:45:00.0000000Z,2021-06-06T15:31:15.7380000Z,2021-06-06T15:42:40.9020000Z,0.0005123,0.0005125,0.0005078,0.0005078,6670060.0,24
2021-06-06T15:45:00.0000000Z,2021-06-06T16:00:00.0000000Z,2021-06-06T15:45:07.0560000Z,2021-06-06T15:58:50.5280000Z,0.0005078,0.0005123,0.0005078,0.0005112,10556108.0,33
2021-06-06T16:00:00.0000000Z,2021-06-06T16:15:00.0000000Z,2021-06-06T16:00:15.7730000Z,2021-06-06T16:14:13.5250000Z,0.0005111,0.0005133,0.0005099,0.0005099,1493496.0,14
2021-06-06T16:15:00.0000000Z,2021-06-06T16:30:00.0000000Z,2021-06-06T16:15:55.7800000Z,2021-06-06T16:29:22.9530000Z,0.0005098,0.0005114,0.0005078,0.0005096,882811.0,17
2021-06-06T16:30:00.0000000Z,2021-06-06T16:45:00.0000000Z,2021-06-06T16:32:39.0230000Z,2021-06-06T16:42:10.9870000Z,0.0005096,0.0005132,0.0005096,0.0005122,6875226.0,27
2021-06-06T16:45:00.0000000Z,2021-06-06T17:00:00.0000000Z,2021-06-06T16:45:42.9470000Z,2021-06-06T16:58:02.4170000Z,0.0005122,0.0005131,0.000511,0.0005131,52173511.0,40
2021-06-06T17:00:00.0000000Z,2021-06-06T17:15:00.0000000Z,2021-06-06T17:02:30.2030000Z,2021-06-06T17:14:38.1450000Z,0.0005102,0.0005133,0.0005084,0.0005084,6086964.0,23
2021-06-06T17:15:00.0000000Z,2021-06-06T17:30:00.0000000Z,2021-06-06T17:15:05.4010000Z,2021-06-06T17:27:43.3150000Z,0.0005101,0.0005125,0.0005078,0.000508,2163682.0,17
2021-06-06T17:30:00.0000000Z,2021-06-06T17:45:00.0000000Z,2021-06-06T17:31:26.9350000Z,2021-06-06T17:43:43.9440000Z,0.0005122,0.0005122,0.0005101,0.0005116,2581735.0,21
