time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T10:00:00.0000000Z,2021-06-06T10:15:00.0000000Z,2021-06-06T10:03:51.8140000Z,2021-06-06T10:14:58.8370000Z,0.1859,0.1875,0.1857,0.186,41068.0,35
2021-06-06T10:15:00.0000000Z,2021-06-06T10:30:00.0000000Z,2021-06-06T10:16:08.4060000Z,2021-06-06T10:29:56.8480000Z,0.186,0.186,0.1843,0.1843,17282.0,22
2021-06-06T10:30:00.0000000Z,2021-06-06T10:45:00.0000000Z,2021-06-06T10:30:18.6020000Z,2021-06-06T10:43:51.4460000Z,0.185,0.1856,0.184,0.1847,89983.0,26
2021-06-06T10:45:00.0000000Z,2021-06-06T11:00:00.0000000Z,2021-06-06T10:45:53.0190000Z,2021-06-06T10:59:51.0280000Z,0.1847,0.1851,0.1842,0.1849,32384.0,17
2021-06-06T11:00:00.0000000Z,2021-06-06T11:15:00.0000000Z,2021-06-06T11:00:06.5030000Z,2021-06-06T11:12:42.0200000Z,0.185,0.1855,0.1838,0.1849,25636.0,21
2021-06-06T11:15:00.0000000Z,2021-06-06T11:30:00.0000000Z,2021-06-06T11:15:42.5740000Z,2021-06-06T11:29:11.1580000Z,0.1841,0.1841,0.183,0.1836,3969.0,11
2021-06-06T11:30:00.0000000Z,2021-06-06T11:45:00.0000000Z,2021-06-06T11:31:48.0660000Z,2021-06-06T11:42:52.3330000Z,0.1836,0.185,0.1836,0.185,7636.0,16
2021-06-06T11:45:00.0000000Z,2021-06-06T12:00:00.0000000Z,2021-06-06T11:45:12.1230000Z,2021-06-06T11:58:33.2580000Z,0.1855,0.205,0.1845,0.185,18178.0,107
2021-06-06T12:00:00.0000000Z,2021-06-06T12:15:00.0000000Z,2021-06-06T12:00:37.3950000Z,2021-06-06T12:14:44.6010000Z,0.1846,0.1871,0.1845,0.1871,5285.0,20
2021-06-06T12:15:00.0000000Z,2021-06-06T12:30:00.0000000Z,2021-06-06T12:15:27.8820000Z,2021-06-06T12:29:48.3930000Z,0.1874,0.1874,0.1852,0.1869,3230.0,20
2021-06-06T12:30:00.0000000Z,2021-06-06T12:45:00.0000000Z,2021-06-06T12:30:10.4550000Z,2021-06-06T12:40:37.0850000Z,0.1861,0.1861,0.1854,0.1854,1048.0,7
2021-06-06T12:45:00.0000000Z,2021-06-06T13:00:00.0000000Z,2021-06-06T12:45:18.2440000Z,2021-06-06T12:57:05.6380000Z,0.1855,0.1855,0.1843,0.185,13437.0,19
2021-06-06T13:00:00.0000000Z,2021-06-06T13:15:00.0000000Z,2021-06-06T13:02:01.7830000Z,2021-06-06T13:14:53.5050000Z,0.1854,0.186,0.185,0.185,2254.0,10
2021-06-06T13:15:00.0000000Z,2021-06-06T13:30:00.0000000Z,2021-06-06T13:18:56.6030000Z,2021-06-06T13:24:06.8480000Z,0.1845,0.1845,0.1833,0.1836,8098.0,13
2021-06-06T13:30:00.0000000Z,2021-06-06T13:45:00.0000000Z,2021-06-06T13:30:14.4860000Z,2021-06-06T13:42:40.9430000Z,0.184,0.1844,0.1835,0.184,3998.0,9
2021-06-06T13:45:00.0000000Z,2021-06-06T14:00:00.0000000Z,2021-06-06T13:45:19.8450000Z,2021-06-06T13:52:47.4000000Z,0.184,0.184,0.1826,0.1831,2422.0,10
2021-06-06T14:00:00.0000000Z,2021-06-06T14:15:00.0000000Z,2021-06-06T14:00:25.5980000Z,2021-06-06T14:11:14.3190000Z,0.1831,0.1838,0.1827,0.1832,3665.0,12
2021-06-06T14:15:00.0000000Z,2021-06-06T14:30:00.0000000Z,2021-06-06T14:16:18.5420000Z,2021-06-06T14:18:56.6190000Z,0.1832,0.1839,0.1832,0.1839,1360.0,5
2021-06-06T14:30:00.0000000Z,2021-06-06T14:45:00.0000000Z,2021-06-06T14:33:09.3790000Z,2021-06-06T14:44:17.5400000Z,0.1841,0.1841,0.184,0.1841,2957.0,3
2021-06-06T14:45:00.0000000Z,2021-06-06T15:00:00.0000000Z,2021-06-06T14:47:01.7550000Z,2021-06-06T14:59:18.3580000Z,0.1846,0.1868,0.1841,0.1855,2669.0,14
