time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-21T16:30:00.0000000Z,2021-05-21T16:45:00.0000000Z,2021-05-21T16:33:33.5220000Z,2021-05-21T16:44:38.7530000Z,0.113001,0.114476,0.11,0.112405,391069.47,139
2021-05-21T16:45:00.0000000Z,2021-05-21T17:00:00.0000000Z,2021-05-21T16:45:01.4280000Z,2021-05-21T16:59:55.3580000Z,0.111897,0.113485,0.108039,0.1088,98450.94,78
2021-05-21T17:00:00.0000000Z,2021-05-21T17:15:00.0000000Z,2021-05-21T17:00:09.6680000Z,2021-05-21T17:14:51.0640000Z,0.109077,0.112884,0.106619,0.110351,641529.76,505
2021-05-21T17:15:00.0000000Z,2021-05-21T17:30:00.0000000Z,2021-05-21T17:15:08.5710000Z,2021-05-21T17:29:54.2720000Z,0.109852,0.114255,0.10828,0.10828,244400.81,100
2021-05-21T17:30:00.0000000Z,2021-05-21T17:45:00.0000000Z,2021-05-21T17:30:42.5750000Z,2021-05-21T17:44:15.9430000Z,0.10843,0.110623,0.10662,0.110623,223747.22,79
2021-05-21T17:45:00.0000000Z,2021-05-21T18:00:00.0000000Z,2021-05-21T17:45:18.6180000Z,2021-05-21T17:59:26.7390000Z,0.109291,0.112513,0.109289,0.111202,118020.97,61
2021-05-21T18:00:00.0000000Z,2021-05-21T18:15:00.0000000Z,2021-05-21T18:00:28.6460000Z,2021-05-21T18:14:53.3290000Z,0.111208,0.112065,0.104454,0.10479,298228.08,120
2021-05-21T18:15:00.0000000Z,2021-05-21T18:30:00.0000000Z,2021-05-21T18:15:01.2200000Z,2021-05-21T18:27:12.0650000Z,0.104454,0.105188,0.100019,0.101487,293755.68,117
2021-05-21T18:30:00.0000000Z,2021-05-21T18:45:00.0000000Z,2021-05-21T18:30:12.3120000Z,2021-05-21T18:44:27.3940000Z,0.102201,0.109461,0.102201,0.109461,215105.73,77
2021-05-21T18:45:00.0000000Z,2021-05-21T19:00:00.0000000Z,2021-05-21T18:45:04.8890000Z,2021-05-21T18:59:46.9810000Z,0.108229,0.109179,0.103957,0.108131,280055.84,104
2021-05-21T19:00:00.0000000Z,2021-05-21T19:15:00.0000000Z,2021-05-21T19:00:26.1770000Z,2021-05-21T19:13:59.9020000Z,0.108559,0.108559,0.1034,0.107124,253681.78,89
2021-05-21T19:15:00.0000000Z,2021-05-21T19:30:00.0000000Z,2021-05-21T19:15:10.2980000Z,2021-05-21T19:29:55.5090000Z,0.106976,0.106976,0.098619,0.098873,436586.01,196
2021-05-21T19:30:00.0000000Z,2021-05-21T19:45:00.0000000Z,2021-05-21T19:30:05.4280000Z,2021-05-21T19:44:44.1850000Z,0.098872,0.099588,0.09596,0.096362,649523.09,219
2021-05-21T19:45:00.0000000Z,2021-05-21T20:00:00.0000000Z,2021-05-21T19:45:03.2630000Z,2021-05-21T19:59:55.0410000Z,0.096259,0.100926,0.094522,0.099294,816788.8,282
2021-05-21T20:00:00.0000000Z,2021-05-21T20:15:00.0000000Z,2021-05-21T20:00:04.3010000Z,2021-05-21T20:14:58.4020000Z,0.099493,0.101151,0.092626,0.09366,250962.62,129
2021-05-21T20:15:00.0000000Z,2021-05-21T20:30:00.0000000Z,2021-05-21T20:15:03.5570000Z,2021-05-21T20:29:53.8580000Z,0.093,0.099999,0.092194,0.09944,451574.89,171
2021-05-21T20:30:00.0000000Z,2021-05-21T20:45:00.0000000Z,2021-05-21T20:30:02.6590000Z,2021-05-21T20:44:24.7980000Z,0.09944,0.100932,0.095588,0.099162,471041.52,91
2021-05-21T20:45:00.0000000Z,2021-05-21T21:00:00.0000000Z,2021-05-21T20:45:11.5180000Z,2021-05-21T20:59:58.7200000Z,0.100733,0.10235,0.0965,0.096957,376806.57,153
2021-05-21T21:00:00.0000000Z,2021-05-21T21:15:00.0000000Z,2021-05-21T21:00:19.9130000Z,2021-05-21T21:14:54.8300000Z,0.097462,0.1,0.086298,0.0863,2083209.73,451
2021-05-21T21:15:00.0000000Z,2021-05-21T21:30:00.0000000Z,2021-05-21T21:15:02.0500000Z,2021-05-21T21:29:59.8100000Z,0.086499,0.099935,0.082945,0.099935,1823820.48,363
2021-05-21T21:30:00.0000000Z,2021-05-21T21:45:00.0000000Z,2021-05-21T21:30:10.1180000Z,2021-05-21T21:44:55.9590000Z,0.099645,0.103855,0.095993,0.103054,799524.24,230
2021-05-21T21:45:00.0000000Z,2021-05-21T22:00:00.0000000Z,2021-05-21T21:45:04.7380000Z,2021-05-21T21:59:37.1790000Z,0.103475,0.106047,0.1,0.105,417091.07,136
2021-05-21T22:00:00.0000000Z,2021-05-21T22:15:00.0000000Z,2021-05-21T22:00:06.5370000Z,2021-05-21T22:14:05.4140000Z,0.105245,0.105323,0.101396,0.104187,480640.52,127
2021-05-21T22:15:00.0000000Z,2021-05-21T22:30:00.0000000Z,2021-05-21T22:15:08.8060000Z,2021-05-21T22:29:59.0980000Z,0.10306,0.106074,0.102542,0.105445,411556.75,101
2021-05-21T22:30:00.0000000Z,2021-05-21T22:45:00.0000000Z,2021-05-21T22:30:31.7030000Z,2021-05-21T22:44:37.1530000Z,0.105587,0.109275,0.105139,0.106,791348.17,114
2021-05-21T22:45:00.0000000Z,2021-05-21T23:00:00.0000000Z,2021-05-21T22:45:09.1080000Z,2021-05-21T22:59:50.0300000Z,0.106651,0.107499,0.10319,0.104717,989434.13,287
2021-05-21T23:00:00.0000000Z,2021-05-21T23:15:00.0000000Z,2021-05-21T23:00:14.6830000Z,2021-05-21T23:14:42.1860000Z,0.104346,0.109135,0.10191,0.108639,285415.03,111
2021-05-21T23:15:00.0000000Z,2021-05-21T23:30:00.0000000Z,2021-05-21T23:15:03.1780000Z,2021-05-21T23:29:52.6810000Z,0.107858,0.108988,0.106656,0.107328,233940.88,121
2021-05-21T23:30:00.0000000Z,2021-05-21T23:45:00.0000000Z,2021-05-21T23:30:06.8710000Z,2021-05-21T23:44:08.2760000Z,0.108025,0.108975,0.106664,0.107694,256562.41,135
2021-05-21T23:45:00.0000000Z,2021-05-22T00:00:00.0000000Z,2021-05-21T23:45:07.2040000Z,2021-05-21T23:59:33.4920000Z,0.107595,0.113,0.106199,0.113,97738.59,50
2021-05-22T00:00:00.0000000Z,2021-05-22T00:15:00.0000000Z,2021-05-22T00:00:10.9160000Z,2021-05-22T00:14:26.6850000Z,0.113,0.113,0.107281,0.107639,204163.77,75
