time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-23T10:00:00.0000000Z,2021-07-23T10:15:00.0000000Z,2021-07-23T10:00:23.0970000Z,2021-07-23T10:14:52.3340000Z,0.3887,0.3923,0.3822,0.3822,652849.0,517
2021-07-23T10:15:00.0000000Z,2021-07-23T10:30:00.0000000Z,2021-07-23T10:15:11.8070000Z,2021-07-23T10:29:30.6950000Z,0.383,0.383,0.3707,0.3748,231308.0,251
2021-07-23T10:30:00.0000000Z,2021-07-23T10:45:00.0000000Z,2021-07-23T10:30:10.6830000Z,2021-07-23T10:44:39.4950000Z,0.373,0.3748,0.3668,0.371,107031.0,128
2021-07-23T10:45:00.0000000Z,2021-07-23T11:00:00.0000000Z,2021-07-23T10:45:11.2120000Z,2021-07-23T10:59:20.2430000Z,0.3711,0.38,0.37,0.3787,87182.0,117
2021-07-23T11:00:00.0000000Z,2021-07-23T11:15:00.0000000Z,2021-07-23T11:00:19.5660000Z,2021-07-23T11:13:04.8640000Z,0.375,0.3788,0.3714,0.3772,45421.0,77
2021-07-23T11:15:00.0000000Z,2021-07-23T11:30:00.0000000Z,2021-07-23T11:15:49.2110000Z,2021-07-23T11:29:35.0480000Z,0.3775,0.3797,0.3757,0.377,41422.0,80
2021-07-23T11:30:00.0000000Z,2021-07-23T11:45:00.0000000Z,2021-07-23T11:30:02.3170000Z,2021-07-23T11:44:07.0860000Z,0.377,0.377,0.37,0.375,81175.0,79
2021-07-23T11:45:00.0000000Z,2021-07-23T12:00:00.0000000Z,2021-07-23T11:45:00.5770000Z,2021-07-23T11:59:58.4570000Z,0.375,0.375,0.3703,0.371,55941.0,62
2021-07-23T12:00:00.0000000Z,2021-07-23T12:15:00.0000000Z,2021-07-23T12:00:08.3110000Z,2021-07-23T12:14:49.9960000Z,0.3705,0.3748,0.3669,0.3671,88111.0,110
2021-07-23T12:15:00.0000000Z,2021-07-23T12:30:00.0000000Z,2021-07-23T12:15:12.3330000Z,2021-07-23T12:29:57.7050000Z,0.367,0.372,0.3657,0.372,69480.0,78
2021-07-23T12:30:00.0000000Z,2021-07-23T12:45:00.0000000Z,2021-07-23T12:30:02.0780000Z,2021-07-23T12:44:27.4520000Z,0.3668,0.374,0.3668,0.3698,30259.0,53
2021-07-23T12:45:00.0000000Z,2021-07-23T13:00:00.0000000Z,2021-07-23T12:45:31.7270000Z,2021-07-23T12:59:48.0850000Z,0.3699,0.3721,0.3657,0.3719,33447.0,86
2021-07-23T13:00:00.0000000Z,2021-07-23T13:15:00.0000000Z,2021-07-23T13:00:11.3350000Z,2021-07-23T13:14:50.0260000Z,0.3719,0.3719,0.3688,0.3688,15073.0,36
2021-07-23T13:15:00.0000000Z,2021-07-23T13:30:00.0000000Z,2021-07-23T13:15:02.8290000Z,2021-07-23T13:29:32.8620000Z,0.3687,0.3688,0.3656,0.3656,70925.0,68
2021-07-23T13:30:00.0000000Z,2021-07-23T13:45:00.0000000Z,2021-07-23T13:30:13.2580000Z,2021-07-23T13:44:55.4890000Z,0.3656,0.37,0.3624,0.3631,195444.0,114
2021-07-23T13:45:00.0000000Z,2021-07-23T14:00:00.0000000Z,2021-07-23T13:45:03.5160000Z,2021-07-23T13:59:49.3570000Z,0.3631,0.3639,0.3619,0.3624,183986.0,156
2021-07-23T14:00:00.0000000Z,2021-07-23T14:15:00.0000000Z,2021-07-23T14:00:05.3590000Z,2021-07-23T14:14:55.4170000Z,0.3623,0.3627,0.3576,0.3588,450508.0,229
2021-07-23T14:15:00.0000000Z,2021-07-23T14:30:00.0000000Z,2021-07-23T14:15:00.0140000Z,2021-07-23T14:29:58.7360000Z,0.3588,0.3588,0.3561,0.3566,203900.0,125
2021-07-23T14:30:00.0000000Z,2021-07-23T14:45:00.0000000Z,2021-07-23T14:30:02.1980000Z,2021-07-23T14:44:50.0510000Z,0.3566,0.3568,0.3551,0.3554,103792.0,120
2021-07-23T14:45:00.0000000Z,2021-07-23T15:00:00.0000000Z,2021-07-23T14:45:15.4950000Z,2021-07-23T14:59:36.9670000Z,0.356,0.3565,0.355,0.355,104763.0,83
2021-07-23T15:00:00.0000000Z,2021-07-23T15:15:00.0000000Z,2021-07-23T15:00:19.2880000Z,2021-07-23T15:14:47.5170000Z,0.355,0.3553,0.3528,0.3533,155363.0,101
2021-07-23T15:15:00.0000000Z,2021-07-23T15:30:00.0000000Z,2021-07-23T15:15:01.0160000Z,2021-07-23T15:29:53.1250000Z,0.3533,0.3546,0.3532,0.3532,59894.0,75
2021-07-23T15:30:00.0000000Z,2021-07-23T15:45:00.0000000Z,2021-07-23T15:30:37.6390000Z,2021-07-23T15:44:53.3080000Z,0.3531,0.3542,0.352,0.352,52648.0,64
2021-07-23T15:45:00.0000000Z,2021-07-23T16:00:00.0000000Z,2021-07-23T15:46:29.8130000Z,2021-07-23T15:59:54.0270000Z,0.3521,0.3523,0.3491,0.3494,254932.0,156
2021-07-23T16:00:00.0000000Z,2021-07-23T16:15:00.0000000Z,2021-07-23T16:00:00.1420000Z,2021-07-23T16:14:39.1600000Z,0.3494,0.3498,0.3452,0.3454,223947.0,157
2021-07-23T16:15:00.0000000Z,2021-07-23T16:30:00.0000000Z,2021-07-23T16:15:01.3050000Z,2021-07-23T16:29:50.8720000Z,0.3453,0.3458,0.3439,0.3451,234187.0,142
2021-07-23T16:30:00.0000000Z,2021-07-23T16:45:00.0000000Z,2021-07-23T16:30:09.8860000Z,2021-07-23T16:44:41.9530000Z,0.3453,0.3455,0.3443,0.3443,232296.0,270
2021-07-23T16:45:00.0000000Z,2021-07-23T17:00:00.0000000Z,2021-07-23T16:45:30.2630000Z,2021-07-23T16:59:43.9090000Z,0.3447,0.3447,0.3438,0.3438,346599.0,120
2021-07-23T17:00:00.0000000Z,2021-07-23T17:15:00.0000000Z,2021-07-23T17:00:06.9410000Z,2021-07-23T17:14:42.2610000Z,0.3438,0.3441,0.3435,0.3437,137305.0,104
2021-07-23T17:15:00.0000000Z,2021-07-23T17:30:00.0000000Z,2021-07-23T17:15:28.5900000Z,2021-07-23T17:29:57.5570000Z,0.3437,0.3445,0.3437,0.344,58041.0,65
2021-07-23T17:30:00.0000000Z,2021-07-23T17:45:00.0000000Z,2021-07-23T17:31:00.7590000Z,2021-07-23T17:43:59.7380000Z,0.3442,0.3442,0.3434,0.3436,161101.0,112
2021-07-23T17:45:00.0000000Z,2021-07-23T18:00:00.0000000Z,2021-07-23T17:45:58.0860000Z,2021-07-23T17:59:58.0940000Z,0.3436,0.3441,0.3432,0.3441,65180.0,60
2021-07-23T18:00:00.0000000Z,2021-07-23T18:15:00.0000000Z,2021-07-23T18:00:14.0020000Z,2021-07-23T18:14:44.3140000Z,0.3439,0.3483,0.3439,0.3481,276950.0,198
2021-07-23T18:15:00.0000000Z,2021-07-23T18:30:00.0000000Z,2021-07-23T18:15:30.8420000Z,2021-07-23T18:29:51.5910000Z,0.3481,0.3526,0.3478,0.3512,319218.0,180
2021-07-23T18:30:00.0000000Z,2021-07-23T18:45:00.0000000Z,2021-07-23T18:30:05.3930000Z,2021-07-23T18:44:19.5990000Z,0.3512,0.3512,0.3489,0.3489,446327.0,336
2021-07-23T18:45:00.0000000Z,2021-07-23T19:00:00.0000000Z,2021-07-23T18:45:02.2350000Z,2021-07-23T18:59:52.3430000Z,0.3487,0.3498,0.3487,0.3492,184173.0,244
2021-07-23T19:00:00.0000000Z,2021-07-23T19:15:00.0000000Z,2021-07-23T19:00:08.1150000Z,2021-07-23T19:14:49.0160000Z,0.3493,0.3496,0.3484,0.3486,92074.0,164
2021-07-23T19:15:00.0000000Z,2021-07-23T19:30:00.0000000Z,2021-07-23T19:15:01.0160000Z,2021-07-23T19:29:58.3750000Z,0.3486,0.35,0.3485,0.3499,87592.0,89
2021-07-23T19:30:00.0000000Z,2021-07-23T19:45:00.0000000Z,2021-07-23T19:30:37.1940000Z,2021-07-23T19:44:40.4070000Z,0.3499,0.35,0.3487,0.3489,220304.0,138
2021-07-23T19:45:00.0000000Z,2021-07-23T20:00:00.0000000Z,2021-07-23T19:45:20.5970000Z,2021-07-23T19:59:56.0930000Z,0.3489,0.3496,0.3489,0.3493,125699.0,54
2021-07-23T20:00:00.0000000Z,2021-07-23T20:15:00.0000000Z,2021-07-23T20:00:59.9360000Z,2021-07-23T20:14:53.7300000Z,0.3493,0.3496,0.349,0.3494,362056.0,210
2021-07-23T20:15:00.0000000Z,2021-07-23T20:30:00.0000000Z,2021-07-23T20:15:17.3910000Z,2021-07-23T20:29:23.2750000Z,0.3494,0.3499,0.3492,0.3492,179974.0,94
2021-07-23T20:30:00.0000000Z,2021-07-23T20:45:00.0000000Z,2021-07-23T20:30:15.7790000Z,2021-07-23T20:44:35.8960000Z,0.3492,0.3497,0.3492,0.3494,268873.0,111
2021-07-23T20:45:00.0000000Z,2021-07-23T21:00:00.0000000Z,2021-07-23T20:45:08.4980000Z,2021-07-23T20:59:44.3090000Z,0.3494,0.3501,0.3493,0.35,252724.0,125
2021-07-23T21:00:00.0000000Z,2021-07-23T21:15:00.0000000Z,2021-07-23T21:00:42.0700000Z,2021-07-23T21:14:58.1160000Z,0.3501,0.3513,0.3496,0.3513,331175.0,114
2021-07-23T21:15:00.0000000Z,2021-07-23T21:30:00.0000000Z,2021-07-23T21:15:00.4150000Z,2021-07-23T21:29:57.7930000Z,0.3513,0.3519,0.351,0.3516,121471.0,114
2021-07-23T21:30:00.0000000Z,2021-07-23T21:45:00.0000000Z,2021-07-23T21:30:15.3820000Z,2021-07-23T21:44:51.7460000Z,0.3518,0.353,0.3514,0.353,342322.0,202
2021-07-23T21:45:00.0000000Z,2021-07-23T22:00:00.0000000Z,2021-07-23T21:45:22.3880000Z,2021-07-23T21:59:52.3620000Z,0.353,0.3552,0.3525,0.3552,637579.0,227
2021-07-23T22:00:00.0000000Z,2021-07-23T22:15:00.0000000Z,2021-07-23T22:00:40.1370000Z,2021-07-23T22:14:46.2790000Z,0.3554,0.3577,0.3552,0.3577,174290.0,130
2021-07-23T22:15:00.0000000Z,2021-07-23T22:30:00.0000000Z,2021-07-23T22:15:18.4290000Z,2021-07-23T22:29:58.6680000Z,0.3576,0.3583,0.3569,0.3582,227126.0,165
2021-07-23T22:30:00.0000000Z,2021-07-23T22:45:00.0000000Z,2021-07-23T22:30:14.2000000Z,2021-07-23T22:44:58.9710000Z,0.3583,0.3675,0.3581,0.3675,798315.0,465
2021-07-23T22:45:00.0000000Z,2021-07-23T23:00:00.0000000Z,2021-07-23T22:45:01.1900000Z,2021-07-23T22:59:55.1840000Z,0.3675,0.3683,0.3662,0.3662,1168519.0,559
2021-07-23T23:00:00.0000000Z,2021-07-23T23:15:00.0000000Z,2021-07-23T23:00:02.0660000Z,2021-07-23T23:14:55.5160000Z,0.3662,0.3683,0.3654,0.3683,853184.0,310
2021-07-23T23:15:00.0000000Z,2021-07-23T23:30:00.0000000Z,2021-07-23T23:15:03.0220000Z,2021-07-23T23:29:52.2810000Z,0.3681,0.378,0.3679,0.3751,589053.0,458
2021-07-23T23:30:00.0000000Z,2021-07-23T23:45:00.0000000Z,2021-07-23T23:30:01.7010000Z,2021-07-23T23:44:59.7730000Z,0.3751,0.3755,0.3742,0.3742,539190.0,218
2021-07-23T23:45:00.0000000Z,2021-07-24T00:00:00.0000000Z,2021-07-23T23:45:04.8620000Z,2021-07-23T23:59:56.8390000Z,0.3746,0.3749,0.3731,0.3731,548418.0,196
2021-07-24T00:00:00.0000000Z,2021-07-24T00:15:00.0000000Z,2021-07-24T00:00:00.7270000Z,2021-07-24T00:14:54.2660000Z,0.3731,0.3732,0.3688,0.3688,653931.0,310
2021-07-24T00:15:00.0000000Z,2021-07-24T00:30:00.0000000Z,2021-07-24T00:15:10.4750000Z,2021-07-24T00:29:56.6220000Z,0.3688,0.3688,0.3668,0.3668,294667.0,141
2021-07-24T00:30:00.0000000Z,2021-07-24T00:45:00.0000000Z,2021-07-24T00:31:00.7950000Z,2021-07-24T00:44:57.6580000Z,0.3668,0.3671,0.3666,0.3667,349218.0,144
2021-07-24T00:45:00.0000000Z,2021-07-24T01:00:00.0000000Z,2021-07-24T00:45:01.8880000Z,2021-07-24T00:58:50.4830000Z,0.3667,0.367,0.3655,0.3658,184105.0,124
2021-07-24T01:00:00.0000000Z,2021-07-24T01:15:00.0000000Z,2021-07-24T01:00:01.4390000Z,2021-07-24T01:14:55.9250000Z,0.3664,0.3673,0.3661,0.3669,464496.0,140
2021-07-24T01:15:00.0000000Z,2021-07-24T01:30:00.0000000Z,2021-07-24T01:15:02.8050000Z,2021-07-24T01:29:55.9840000Z,0.3668,0.367,0.3662,0.3663,249861.0,114
2021-07-24T01:30:00.0000000Z,2021-07-24T01:45:00.0000000Z,2021-07-24T01:30:03.0790000Z,2021-07-24T01:43:20.1150000Z,0.3663,0.3669,0.366,0.3664,318275.0,99
2021-07-24T01:45:00.0000000Z,2021-07-24T02:00:00.0000000Z,2021-07-24T01:45:04.7860000Z,2021-07-24T01:59:33.8750000Z,0.3665,0.3683,0.3665,0.3674,250771.0,100
2021-07-24T02:00:00.0000000Z,2021-07-24T02:15:00.0000000Z,2021-07-24T02:00:39.2560000Z,2021-07-24T02:14:52.5320000Z,0.3674,0.3736,0.3674,0.3734,476062.0,214
2021-07-24T02:15:00.0000000Z,2021-07-24T02:30:00.0000000Z,2021-07-24T02:15:00.7720000Z,2021-07-24T02:29:59.3280000Z,0.3734,0.3738,0.3725,0.3735,380614.0,228
2021-07-24T02:30:00.0000000Z,2021-07-24T02:45:00.0000000Z,2021-07-24T02:30:10.2380000Z,2021-07-24T02:44:57.5470000Z,0.3735,0.3735,0.3726,0.3726,264926.0,128
2021-07-24T02:45:00.0000000Z,2021-07-24T03:00:00.0000000Z,2021-07-24T02:45:00.7860000Z,2021-07-24T02:59:44.4550000Z,0.3728,0.3736,0.3727,0.3733,235521.0,198
2021-07-24T03:00:00.0000000Z,2021-07-24T03:15:00.0000000Z,2021-07-24T03:00:00.1650000Z,2021-07-24T03:14:28.1540000Z,0.3733,0.3734,0.3726,0.3726,80117.0,139
2021-07-24T03:15:00.0000000Z,2021-07-24T03:30:00.0000000Z,2021-07-24T03:16:05.0010000Z,2021-07-24T03:29:47.9080000Z,0.3729,0.3729,0.3713,0.3721,173192.0,70
2021-07-24T03:30:00.0000000Z,2021-07-24T03:45:00.0000000Z,2021-07-24T03:30:20.3210000Z,2021-07-24T03:44:49.0740000Z,0.3718,0.373,0.3718,0.3726,149435.0,96
2021-07-24T03:45:00.0000000Z,2021-07-24T04:00:00.0000000Z,2021-07-24T03:46:13.4440000Z,2021-07-24T03:59:58.3790000Z,0.3727,0.3739,0.3726,0.3739,210974.0,105
2021-07-24T04:00:00.0000000Z,2021-07-24T04:15:00.0000000Z,2021-07-24T04:00:14.2700000Z,2021-07-24T04:14:51.1500000Z,0.3739,0.3745,0.3738,0.374,163306.0,86
2021-07-24T04:15:00.0000000Z,2021-07-24T04:30:00.0000000Z,2021-07-24T04:15:10.7850000Z,2021-07-24T04:29:56.6970000Z,0.374,0.3743,0.3736,0.3738,214672.0,89
2021-07-24T04:30:00.0000000Z,2021-07-24T04:45:00.0000000Z,2021-07-24T04:30:38.6210000Z,2021-07-24T04:44:59.7320000Z,0.3736,0.374,0.3735,0.3736,214134.0,78
2021-07-24T04:45:00.0000000Z,2021-07-24T05:00:00.0000000Z,2021-07-24T04:46:06.5660000Z,2021-07-24T04:59:46.3710000Z,0.3736,0.3739,0.3726,0.3726,218250.0,107
2021-07-24T05:00:00.0000000Z,2021-07-24T05:15:00.0000000Z,2021-07-24T05:00:03.7390000Z,2021-07-24T05:14:42.0680000Z,0.3724,0.3728,0.3718,0.3725,293073.0,110
2021-07-24T05:15:00.0000000Z,2021-07-24T05:30:00.0000000Z,2021-07-24T05:15:10.1040000Z,2021-07-24T05:29:59.7960000Z,0.3726,0.3922,0.3726,0.3814,869652.0,325
2021-07-24T05:30:00.0000000Z,2021-07-24T05:45:00.0000000Z,2021-07-24T05:30:02.5970000Z,2021-07-24T05:44:56.1730000Z,0.3815,0.3817,0.3808,0.381,255864.0,180
2021-07-24T05:45:00.0000000Z,2021-07-24T06:00:00.0000000Z,2021-07-24T05:45:07.4600000Z,2021-07-24T05:59:47.7060000Z,0.381,0.381,0.3794,0.3798,318572.0,213
2021-07-24T06:00:00.0000000Z,2021-07-24T06:15:00.0000000Z,2021-07-24T06:00:25.5910000Z,2021-07-24T06:14:39.1110000Z,0.3799,0.3799,0.3789,0.3791,310157.0,179
2021-07-24T06:15:00.0000000Z,2021-07-24T06:30:00.0000000Z,2021-07-24T06:15:01.9430000Z,2021-07-24T06:29:38.6980000Z,0.379,0.3797,0.3786,0.3796,121795.0,113
2021-07-24T06:30:00.0000000Z,2021-07-24T06:45:00.0000000Z,2021-07-24T06:30:00.6510000Z,2021-07-24T06:44:52.4580000Z,0.3797,0.3808,0.3792,0.3807,222750.0,138
2021-07-24T06:45:00.0000000Z,2021-07-24T07:00:00.0000000Z,2021-07-24T06:45:20.4280000Z,2021-07-24T06:59:57.6390000Z,0.3811,0.3847,0.3808,0.3844,399407.0,155
2021-07-24T07:00:00.0000000Z,2021-07-24T07:15:00.0000000Z,2021-07-24T07:00:07.6090000Z,2021-07-24T07:14:41.7230000Z,0.3846,0.386,0.3846,0.3853,165464.0,157
2021-07-24T07:15:00.0000000Z,2021-07-24T07:30:00.0000000Z,2021-07-24T07:15:05.1610000Z,2021-07-24T07:29:58.6090000Z,0.3852,0.3857,0.3844,0.3857,548254.0,239
2021-07-24T07:30:00.0000000Z,2021-07-24T07:45:00.0000000Z,2021-07-24T07:30:03.3380000Z,2021-07-24T07:44:54.7970000Z,0.3857,0.3877,0.3848,0.3877,359235.0,189
2021-07-24T07:45:00.0000000Z,2021-07-24T08:00:00.0000000Z,2021-07-24T07:45:04.2820000Z,2021-07-24T07:59:50.5340000Z,0.3877,0.396,0.3877,0.3943,527983.0,248
2021-07-24T08:00:00.0000000Z,2021-07-24T08:15:00.0000000Z,2021-07-24T08:00:01.3330000Z,2021-07-24T08:14:59.9100000Z,0.3944,0.3973,0.3934,0.3966,686126.0,913
2021-07-24T08:15:00.0000000Z,2021-07-24T08:30:00.0000000Z,2021-07-24T08:15:07.9390000Z,2021-07-24T08:29:50.9660000Z,0.3966,0.398,0.3966,0.3978,331579.0,381
2021-07-24T08:30:00.0000000Z,2021-07-24T08:45:00.0000000Z,2021-07-24T08:30:02.0960000Z,2021-07-24T08:44:56.1150000Z,0.398,0.4,0.398,0.3995,347348.0,219
2021-07-24T08:45:00.0000000Z,2021-07-24T09:00:00.0000000Z,2021-07-24T08:45:15.8620000Z,2021-07-24T08:59:52.8000000Z,0.3997,0.4439,0.3996,0.441,1348974.0,967
2021-07-24T09:00:00.0000000Z,2021-07-24T09:15:00.0000000Z,2021-07-24T09:00:02.1220000Z,2021-07-24T09:14:55.6260000Z,0.4412,0.4444,0.4412,0.4432,717461.0,815
2021-07-24T09:15:00.0000000Z,2021-07-24T09:30:00.0000000Z,2021-07-24T09:15:02.9680000Z,2021-07-24T09:29:59.3760000Z,0.4432,0.4856,0.4431,0.4601,2438821.0,1381
2021-07-24T09:30:00.0000000Z,2021-07-24T09:45:00.0000000Z,2021-07-24T09:30:02.4880000Z,2021-07-24T09:44:45.9330000Z,0.46,0.4601,0.4504,0.4506,559981.0,331
2021-07-24T09:45:00.0000000Z,2021-07-24T10:00:00.0000000Z,2021-07-24T09:45:16.4880000Z,2021-07-24T09:59:59.0390000Z,0.4504,0.4504,0.4348,0.4355,528530.0,344
2021-07-24T10:00:00.0000000Z,2021-07-24T10:15:00.0000000Z,2021-07-24T10:00:12.4150000Z,2021-07-24T10:14:53.3760000Z,0.4355,0.4361,0.4264,0.4264,299594.0,242
2021-07-24T10:15:00.0000000Z,2021-07-24T10:30:00.0000000Z,2021-07-24T10:15:04.6490000Z,2021-07-24T10:29:52.3420000Z,0.4264,0.4266,0.421,0.4233,265116.0,182
2021-07-24T10:30:00.0000000Z,2021-07-24T10:45:00.0000000Z,2021-07-24T10:30:03.6170000Z,2021-07-24T10:44:36.2600000Z,0.4232,0.4232,0.4182,0.4188,350126.0,191
2021-07-24T10:45:00.0000000Z,2021-07-24T11:00:00.0000000Z,2021-07-24T10:45:45.0100000Z,2021-07-24T10:59:49.3910000Z,0.4189,0.419,0.417,0.4175,188682.0,117
2021-07-24T11:00:00.0000000Z,2021-07-24T11:15:00.0000000Z,2021-07-24T11:00:40.7040000Z,2021-07-24T11:14:53.4300000Z,0.4174,0.4185,0.417,0.4183,281586.0,158
2021-07-24T11:15:00.0000000Z,2021-07-24T11:30:00.0000000Z,2021-07-24T11:15:59.9660000Z,2021-07-24T11:29:41.5830000Z,0.4188,0.4188,0.4135,0.4135,361508.0,188
2021-07-24T11:30:00.0000000Z,2021-07-24T11:45:00.0000000Z,2021-07-24T11:30:09.9210000Z,2021-07-24T11:44:59.9400000Z,0.4135,0.4147,0.4111,0.4133,243540.0,142
2021-07-24T11:45:00.0000000Z,2021-07-24T12:00:00.0000000Z,2021-07-24T11:45:03.1740000Z,2021-07-24T11:59:14.7290000Z,0.413,0.4134,0.4122,0.4123,159380.0,94
2021-07-24T12:00:00.0000000Z,2021-07-24T12:15:00.0000000Z,2021-07-24T12:00:21.0200000Z,2021-07-24T12:14:55.7010000Z,0.4123,0.4126,0.4103,0.4105,279115.0,157
