time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-05T07:00:00.0000000Z,2021-10-05T07:15:00.0000000Z,2021-10-05T07:11:23.9100000Z,2021-10-05T07:14:59.3490000Z,3.654,3.715,3.653,3.695,180603.5,1229
2021-10-05T07:15:00.0000000Z,2021-10-05T07:30:00.0000000Z,2021-10-05T07:15:00.2340000Z,2021-10-05T07:29:59.7460000Z,3.7,4.13,3.666,3.939,2104576.0,13066
2021-10-05T07:30:00.0000000Z,2021-10-05T07:45:00.0000000Z,2021-10-05T07:30:00.0760000Z,2021-10-05T07:44:59.7590000Z,3.939,3.985,3.777,3.826,995733.9,8388
2021-10-05T07:45:00.0000000Z,2021-10-05T08:00:00.0000000Z,2021-10-05T07:45:00.2630000Z,2021-10-05T07:59:58.7550000Z,3.826,3.835,3.713,3.786,465043.4,3676
2021-10-05T08:00:00.0000000Z,2021-10-05T08:15:00.0000000Z,2021-10-05T08:00:00.7250000Z,2021-10-05T08:14:58.8530000Z,3.789,3.79,3.701,3.724,282998.3,3470
2021-10-05T08:15:00.0000000Z,2021-10-05T08:30:00.0000000Z,2021-10-05T08:15:01.2360000Z,2021-10-05T08:29:59.2210000Z,3.723,3.884,3.706,3.78,381413.1,3284
2021-10-05T08:30:00.0000000Z,2021-10-05T08:45:00.0000000Z,2021-10-05T08:30:02.3600000Z,2021-10-05T08:44:59.9130000Z,3.781,3.915,3.77,3.856,328122.1,2949
2021-10-05T08:45:00.0000000Z,2021-10-05T09:00:00.0000000Z,2021-10-05T08:45:00.4490000Z,2021-10-05T08:59:58.1670000Z,3.856,3.929,3.779,3.784,331643.0,3060
2021-10-05T09:00:00.0000000Z,2021-10-05T09:15:00.0000000Z,2021-10-05T09:00:00.1510000Z,2021-10-05T09:14:58.7950000Z,3.787,4.0,3.785,3.82,462904.9,4031
2021-10-05T09:15:00.0000000Z,2021-10-05T09:30:00.0000000Z,2021-10-05T09:15:03.1850000Z,2021-10-05T09:29:59.2530000Z,3.82,3.87,3.796,3.851,193380.7,1809
2021-10-05T09:30:00.0000000Z,2021-10-05T09:45:00.0000000Z,2021-10-05T09:30:00.1610000Z,2021-10-05T09:44:58.7090000Z,3.85,3.859,3.745,3.755,254831.3,1793
2021-10-05T09:45:00.0000000Z,2021-10-05T10:00:00.0000000Z,2021-10-05T09:45:01.8320000Z,2021-10-05T09:59:59.2080000Z,3.762,3.822,3.7,3.739,250292.4,2071
2021-10-05T10:00:00.0000000Z,2021-10-05T10:15:00.0000000Z,2021-10-05T10:00:00.2180000Z,2021-10-05T10:14:59.9870000Z,3.739,3.759,3.706,3.709,198081.2,1303
2021-10-05T10:15:00.0000000Z,2021-10-05T10:30:00.0000000Z,2021-10-05T10:15:01.1790000Z,2021-10-05T10:29:59.5410000Z,3.712,3.754,3.686,3.743,183499.2,1584
2021-10-05T10:30:00.0000000Z,2021-10-05T10:45:00.0000000Z,2021-10-05T10:30:00.8350000Z,2021-10-05T10:44:59.6800000Z,3.746,3.75,3.634,3.644,162817.8,1365
2021-10-05T10:45:00.0000000Z,2021-10-05T11:00:00.0000000Z,2021-10-05T10:45:00.7820000Z,2021-10-05T10:59:58.3890000Z,3.644,3.661,3.577,3.653,236920.1,1817
2021-10-05T11:00:00.0000000Z,2021-10-05T11:15:00.0000000Z,2021-10-05T11:00:01.6560000Z,2021-10-05T11:14:58.5280000Z,3.652,3.735,3.621,3.65,151328.2,1252
2021-10-05T11:15:00.0000000Z,2021-10-05T11:30:00.0000000Z,2021-10-05T11:15:05.2580000Z,2021-10-05T11:29:54.8800000Z,3.643,3.66,3.602,3.66,116738.9,981
2021-10-05T11:30:00.0000000Z,2021-10-05T11:45:00.0000000Z,2021-10-05T11:30:00.1960000Z,2021-10-05T11:44:56.5450000Z,3.66,3.738,3.652,3.7,155329.9,1198
2021-10-05T11:45:00.0000000Z,2021-10-05T12:00:00.0000000Z,2021-10-05T11:45:01.7170000Z,2021-10-05T11:59:58.6580000Z,3.707,3.75,3.62,3.651,169909.2,1257
2021-10-05T12:00:00.0000000Z,2021-10-05T12:15:00.0000000Z,2021-10-05T12:00:05.1780000Z,2021-10-05T12:14:59.9500000Z,3.653,3.658,3.576,3.58,129966.6,1193
2021-10-05T12:15:00.0000000Z,2021-10-05T12:30:00.0000000Z,2021-10-05T12:15:01.4440000Z,2021-10-05T12:29:55.0890000Z,3.582,3.585,3.505,3.523,277901.2,1950
2021-10-05T12:30:00.0000000Z,2021-10-05T12:45:00.0000000Z,2021-10-05T12:30:00.0880000Z,2021-10-05T12:44:58.8880000Z,3.523,3.57,3.471,3.567,353905.5,1979
2021-10-05T12:45:00.0000000Z,2021-10-05T13:00:00.0000000Z,2021-10-05T12:45:01.4250000Z,2021-10-05T12:59:59.9500000Z,3.569,3.569,3.45,3.495,197229.8,1504
2021-10-05T13:00:00.0000000Z,2021-10-05T13:15:00.0000000Z,2021-10-05T13:00:00.8010000Z,2021-10-05T13:14:58.7000000Z,3.496,3.545,3.48,3.499,204826.9,1215
2021-10-05T13:15:00.0000000Z,2021-10-05T13:30:00.0000000Z,2021-10-05T13:15:01.8320000Z,2021-10-05T13:29:59.9870000Z,3.495,3.576,3.476,3.569,178164.8,1351
2021-10-05T13:30:00.0000000Z,2021-10-05T13:45:00.0000000Z,2021-10-05T13:30:00.2700000Z,2021-10-05T13:44:53.1640000Z,3.566,3.709,3.565,3.635,422251.2,2911
2021-10-05T13:45:00.0000000Z,2021-10-05T14:00:00.0000000Z,2021-10-05T13:45:00.4930000Z,2021-10-05T13:59:59.1370000Z,3.633,3.65,3.572,3.577,152573.3,1155
2021-10-05T14:00:00.0000000Z,2021-10-05T14:15:00.0000000Z,2021-10-05T14:00:03.6250000Z,2021-10-05T14:14:59.8390000Z,3.576,3.89,3.57,3.864,654224.1,3829
2021-10-05T14:15:00.0000000Z,2021-10-05T14:30:00.0000000Z,2021-10-05T14:15:00.0420000Z,2021-10-05T14:29:56.5380000Z,3.865,3.867,3.65,3.672,579983.4,4256
2021-10-05T14:30:00.0000000Z,2021-10-05T14:45:00.0000000Z,2021-10-05T14:30:01.3570000Z,2021-10-05T14:44:59.5330000Z,3.671,3.754,3.6,3.651,397193.6,2589
2021-10-05T14:45:00.0000000Z,2021-10-05T15:00:00.0000000Z,2021-10-05T14:45:06.8560000Z,2021-10-05T14:59:59.8050000Z,3.656,3.88,3.646,3.776,447609.7,3487
2021-10-05T15:00:00.0000000Z,2021-10-05T15:15:00.0000000Z,2021-10-05T15:00:00.0420000Z,2021-10-05T15:14:59.7320000Z,3.776,3.974,3.681,3.84,659146.0,4619
2021-10-05T15:15:00.0000000Z,2021-10-05T15:30:00.0000000Z,2021-10-05T15:15:01.2320000Z,2021-10-05T15:29:59.9040000Z,3.84,3.867,3.71,3.722,288608.1,2361
2021-10-05T15:30:00.0000000Z,2021-10-05T15:45:00.0000000Z,2021-10-05T15:30:00.0160000Z,2021-10-05T15:44:59.4270000Z,3.722,3.82,3.646,3.683,273841.5,1518
2021-10-05T15:45:00.0000000Z,2021-10-05T16:00:00.0000000Z,2021-10-05T15:45:00.2930000Z,2021-10-05T15:59:54.3130000Z,3.681,3.694,3.585,3.604,304202.4,1983
2021-10-05T16:00:00.0000000Z,2021-10-05T16:15:00.0000000Z,2021-10-05T16:00:03.1170000Z,2021-10-05T16:14:59.3570000Z,3.603,3.9,3.603,3.85,484407.0,3834
2021-10-05T16:15:00.0000000Z,2021-10-05T16:30:00.0000000Z,2021-10-05T16:15:00.2580000Z,2021-10-05T16:29:59.9880000Z,3.847,4.469,3.776,4.343,1380673.9,10245
2021-10-05T16:30:00.0000000Z,2021-10-05T16:45:00.0000000Z,2021-10-05T16:30:00.1520000Z,2021-10-05T16:44:59.8580000Z,4.334,5.437,4.321,4.427,5532476.5,44920
2021-10-05T16:45:00.0000000Z,2021-10-05T17:00:00.0000000Z,2021-10-05T16:45:00.2980000Z,2021-10-05T16:59:59.9190000Z,4.425,4.579,4.327,4.421,1786982.1,13548
2021-10-05T17:00:00.0000000Z,2021-10-05T17:15:00.0000000Z,2021-10-05T17:00:00.2380000Z,2021-10-05T17:14:59.1540000Z,4.42,4.428,4.233,4.24,815159.2,6315
2021-10-05T17:15:00.0000000Z,2021-10-05T17:30:00.0000000Z,2021-10-05T17:15:03.4180000Z,2021-10-05T17:29:59.9660000Z,4.238,4.529,4.235,4.525,826688.3,7589
2021-10-05T17:30:00.0000000Z,2021-10-05T17:45:00.0000000Z,2021-10-05T17:30:00.0060000Z,2021-10-05T17:44:59.9220000Z,4.525,4.98,4.47,4.979,2288729.6,19747
2021-10-05T17:45:00.0000000Z,2021-10-05T18:00:00.0000000Z,2021-10-05T17:45:00.1360000Z,2021-10-05T17:59:59.6320000Z,4.979,4.98,4.635,4.804,1759362.0,17019
2021-10-05T18:00:00.0000000Z,2021-10-05T18:15:00.0000000Z,2021-10-05T18:00:00.5150000Z,2021-10-05T18:14:59.8920000Z,4.802,4.881,4.561,4.587,831806.3,9094
2021-10-05T18:15:00.0000000Z,2021-10-05T18:30:00.0000000Z,2021-10-05T18:15:00.8170000Z,2021-10-05T18:29:59.6470000Z,4.581,4.677,4.475,4.534,585516.3,6403
2021-10-05T18:30:00.0000000Z,2021-10-05T18:45:00.0000000Z,2021-10-05T18:30:00.3820000Z,2021-10-05T18:44:58.8690000Z,4.536,4.7,4.514,4.54,385751.5,4320
2021-10-05T18:45:00.0000000Z,2021-10-05T19:00:00.0000000Z,2021-10-05T18:45:00.6880000Z,2021-10-05T18:59:58.5310000Z,4.543,4.559,4.441,4.45,232487.9,2816
2021-10-05T19:00:00.0000000Z,2021-10-05T19:15:00.0000000Z,2021-10-05T19:00:04.5560000Z,2021-10-05T19:14:59.9090000Z,4.45,4.79,4.421,4.681,651418.9,6747
2021-10-05T19:15:00.0000000Z,2021-10-05T19:30:00.0000000Z,2021-10-05T19:15:00.2530000Z,2021-10-05T19:29:58.3640000Z,4.687,4.702,4.515,4.526,416891.4,3855
2021-10-05T19:30:00.0000000Z,2021-10-05T19:45:00.0000000Z,2021-10-05T19:30:00.2200000Z,2021-10-05T19:44:59.5720000Z,4.526,4.639,4.45,4.452,257445.6,2639
2021-10-05T19:45:00.0000000Z,2021-10-05T20:00:00.0000000Z,2021-10-05T19:45:00.0310000Z,2021-10-05T19:59:59.1040000Z,4.452,4.65,4.452,4.592,401446.4,4106
2021-10-05T20:00:00.0000000Z,2021-10-05T20:15:00.0000000Z,2021-10-05T20:00:00.3720000Z,2021-10-05T20:14:59.7860000Z,4.597,4.847,4.593,4.74,876773.8,8520
2021-10-05T20:15:00.0000000Z,2021-10-05T20:30:00.0000000Z,2021-10-05T20:15:00.8130000Z,2021-10-05T20:29:57.2390000Z,4.739,4.749,4.568,4.619,348090.6,3872
2021-10-05T20:30:00.0000000Z,2021-10-05T20:45:00.0000000Z,2021-10-05T20:30:01.0270000Z,2021-10-05T20:44:59.7220000Z,4.608,4.639,4.52,4.536,268161.3,2621
2021-10-05T20:45:00.0000000Z,2021-10-05T21:00:00.0000000Z,2021-10-05T20:45:00.0950000Z,2021-10-05T20:59:56.5720000Z,4.536,4.536,4.457,4.505,168931.3,1957
2021-10-05T21:00:00.0000000Z,2021-10-05T21:15:00.0000000Z,2021-10-05T21:00:01.9940000Z,2021-10-05T21:14:58.1370000Z,4.504,4.648,4.496,4.504,255089.2,2682
2021-10-05T21:15:00.0000000Z,2021-10-05T21:30:00.0000000Z,2021-10-05T21:15:00.9730000Z,2021-10-05T21:29:59.5170000Z,4.504,4.555,4.457,4.534,107761.9,1616
2021-10-05T21:30:00.0000000Z,2021-10-05T21:45:00.0000000Z,2021-10-05T21:30:01.1090000Z,2021-10-05T21:44:59.5560000Z,4.535,4.79,4.497,4.727,273410.1,2949
2021-10-05T21:45:00.0000000Z,2021-10-05T22:00:00.0000000Z,2021-10-05T21:45:00.0220000Z,2021-10-05T21:59:59.4900000Z,4.724,4.747,4.499,4.583,296524.1,3125
2021-10-05T22:00:00.0000000Z,2021-10-05T22:15:00.0000000Z,2021-10-05T22:00:00.8710000Z,2021-10-05T22:14:59.7390000Z,4.582,4.659,4.541,4.647,234778.7,2772
2021-10-05T22:15:00.0000000Z,2021-10-05T22:30:00.0000000Z,2021-10-05T22:15:00.0530000Z,2021-10-05T22:29:59.9380000Z,4.649,5.278,4.645,4.909,2013363.0,20584
2021-10-05T22:30:00.0000000Z,2021-10-05T22:45:00.0000000Z,2021-10-05T22:30:00.0060000Z,2021-10-05T22:44:59.2580000Z,4.909,5.13,4.839,4.973,908125.1,12230
2021-10-05T22:45:00.0000000Z,2021-10-05T23:00:00.0000000Z,2021-10-05T22:45:00.0270000Z,2021-10-05T22:59:59.3500000Z,4.97,5.075,4.816,4.861,532942.3,6957
2021-10-05T23:00:00.0000000Z,2021-10-05T23:15:00.0000000Z,2021-10-05T23:00:01.2520000Z,2021-10-05T23:14:59.6580000Z,4.861,4.958,4.62,4.652,591838.2,7158
2021-10-05T23:15:00.0000000Z,2021-10-05T23:30:00.0000000Z,2021-10-05T23:15:01.2460000Z,2021-10-05T23:29:56.8880000Z,4.648,4.85,4.647,4.718,281851.7,3976
2021-10-05T23:30:00.0000000Z,2021-10-05T23:45:00.0000000Z,2021-10-05T23:30:05.4930000Z,2021-10-05T23:44:58.0670000Z,4.721,4.849,4.711,4.741,146517.2,2230
2021-10-05T23:45:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T23:45:03.3400000Z,2021-10-05T23:59:56.3190000Z,4.745,4.747,4.655,4.73,133825.1,1949
2021-10-06T00:00:00.0000000Z,2021-10-06T00:15:00.0000000Z,2021-10-06T00:00:00.0550000Z,2021-10-06T00:14:58.4040000Z,4.732,4.737,4.523,4.569,318236.1,3171
2021-10-06T00:15:00.0000000Z,2021-10-06T00:30:00.0000000Z,2021-10-06T00:15:00.2110000Z,2021-10-06T00:29:59.9000000Z,4.567,4.638,4.46,4.46,244127.6,2462
2021-10-06T00:30:00.0000000Z,2021-10-06T00:45:00.0000000Z,2021-10-06T00:30:01.0220000Z,2021-10-06T00:44:59.9880000Z,4.464,4.632,4.461,4.533,178002.0,1774
2021-10-06T00:45:00.0000000Z,2021-10-06T01:00:00.0000000Z,2021-10-06T00:45:00.1890000Z,2021-10-06T00:59:59.6700000Z,4.54,4.552,4.367,4.431,345861.4,2899
2021-10-06T01:00:00.0000000Z,2021-10-06T01:15:00.0000000Z,2021-10-06T01:00:01.4050000Z,2021-10-06T01:14:57.6980000Z,4.44,4.46,4.35,4.4,141460.6,1466
2021-10-06T01:15:00.0000000Z,2021-10-06T01:30:00.0000000Z,2021-10-06T01:15:00.7130000Z,2021-10-06T01:29:58.5430000Z,4.399,4.626,4.397,4.478,360746.5,2922
2021-10-06T01:30:00.0000000Z,2021-10-06T01:45:00.0000000Z,2021-10-06T01:30:05.2360000Z,2021-10-06T01:44:59.2700000Z,4.478,4.619,4.478,4.602,247199.0,1691
2021-10-06T01:45:00.0000000Z,2021-10-06T02:00:00.0000000Z,2021-10-06T01:45:00.6190000Z,2021-10-06T01:59:55.1280000Z,4.603,4.633,4.501,4.542,239542.8,1794
2021-10-06T02:00:00.0000000Z,2021-10-06T02:15:00.0000000Z,2021-10-06T02:00:02.6010000Z,2021-10-06T02:14:59.7290000Z,4.542,4.602,4.517,4.566,142487.2,1140
2021-10-06T02:15:00.0000000Z,2021-10-06T02:30:00.0000000Z,2021-10-06T02:15:02.6770000Z,2021-10-06T02:29:59.8570000Z,4.564,4.566,4.491,4.501,122470.5,1098
