time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-23T12:00:00.0000000Z,2021-02-23T12:15:00.0000000Z,2021-02-23T12:00:01.7810000Z,2021-02-23T12:14:23.0090000Z,13.199,13.2,12.131,12.44,907.849,42
2021-02-23T12:15:00.0000000Z,2021-02-23T12:30:00.0000000Z,2021-02-23T12:15:14.1980000Z,2021-02-23T12:29:57.8890000Z,12.553,13.0,12.445,12.471,215.912,29
2021-02-23T12:30:00.0000000Z,2021-02-23T12:45:00.0000000Z,2021-02-23T12:31:00.3860000Z,2021-02-23T12:44:55.6600000Z,12.343,14.249,11.738,12.658,1053.471,43
2021-02-23T12:45:00.0000000Z,2021-02-23T13:00:00.0000000Z,2021-02-23T12:45:43.2770000Z,2021-02-23T12:59:31.3590000Z,13.401,18.5,12.985,13.432,1270.001,84
2021-02-23T13:00:00.0000000Z,2021-02-23T13:15:00.0000000Z,2021-02-23T13:00:30.6610000Z,2021-02-23T13:12:00.2410000Z,13.321,14.094,13.321,13.415,168.443,21
2021-02-23T13:15:00.0000000Z,2021-02-23T13:30:00.0000000Z,2021-02-23T13:17:39.3200000Z,2021-02-23T13:26:52.4510000Z,13.976,13.98,13.402,13.402,310.657,26
2021-02-23T13:30:00.0000000Z,2021-02-23T13:45:00.0000000Z,2021-02-23T13:30:49.3270000Z,2021-02-23T13:44:08.2130000Z,13.402,13.62,13.342,13.345,158.855,10
2021-02-23T13:45:00.0000000Z,2021-02-23T14:00:00.0000000Z,2021-02-23T13:50:32.5110000Z,2021-02-23T13:56:37.3980000Z,13.344,13.98,13.344,13.6,168.66,22
2021-02-23T14:00:00.0000000Z,2021-02-23T14:15:00.0000000Z,2021-02-23T14:00:51.5950000Z,2021-02-23T14:13:01.9900000Z,13.941,14.146,13.567,13.87,792.443,34
2021-02-23T14:15:00.0000000Z,2021-02-23T14:30:00.0000000Z,2021-02-23T14:15:45.1630000Z,2021-02-23T14:27:44.6330000Z,14.841,14.841,13.726,13.726,574.352,26
2021-02-23T14:30:00.0000000Z,2021-02-23T14:45:00.0000000Z,2021-02-23T14:30:25.1330000Z,2021-02-23T14:44:34.9860000Z,13.726,13.726,12.7,12.7,730.226,49
2021-02-23T14:45:00.0000000Z,2021-02-23T15:00:00.0000000Z,2021-02-23T14:46:42.6330000Z,2021-02-23T14:56:54.8680000Z,12.77,12.985,12.495,12.985,243.406,22
2021-02-23T15:00:00.0000000Z,2021-02-23T15:15:00.0000000Z,2021-02-23T15:04:40.7620000Z,2021-02-23T15:13:08.1730000Z,13.199,13.514,13.199,13.206,89.886,17
2021-02-23T15:15:00.0000000Z,2021-02-23T15:30:00.0000000Z,2021-02-23T15:15:17.5960000Z,2021-02-23T15:22:56.8550000Z,13.209,13.29,13.2,13.29,23.017,6
2021-02-23T15:30:00.0000000Z,2021-02-23T15:45:00.0000000Z,2021-02-23T15:35:03.5690000Z,2021-02-23T15:44:07.3210000Z,13.11,14.85,13.11,13.464,444.286,25
2021-02-23T15:45:00.0000000Z,2021-02-23T16:00:00.0000000Z,2021-02-23T15:46:40.0940000Z,2021-02-23T15:56:50.2780000Z,13.464,13.579,13.133,13.133,943.618,37
2021-02-23T16:00:00.0000000Z,2021-02-23T16:15:00.0000000Z,2021-02-23T16:00:58.7230000Z,2021-02-23T16:13:47.8120000Z,13.174,13.8,13.133,13.388,3030.416,60
2021-02-23T16:15:00.0000000Z,2021-02-23T16:30:00.0000000Z,2021-02-23T16:15:12.3870000Z,2021-02-23T16:29:35.1320000Z,13.362,13.363,12.908,13.085,782.245,34
2021-02-23T16:30:00.0000000Z,2021-02-23T16:45:00.0000000Z,2021-02-23T16:30:26.9870000Z,2021-02-23T16:44:56.5970000Z,13.085,13.27,12.83,13.189,1812.187,52
2021-02-23T16:45:00.0000000Z,2021-02-23T17:00:00.0000000Z,2021-02-23T16:45:32.6940000Z,2021-02-23T16:59:27.2280000Z,12.943,13.5,12.433,12.802,3380.149,122
2021-02-23T17:00:00.0000000Z,2021-02-23T17:15:00.0000000Z,2021-02-23T17:01:35.3110000Z,2021-02-23T17:12:54.5250000Z,12.812,12.978,12.608,12.717,1844.252,76
2021-02-23T17:15:00.0000000Z,2021-02-23T17:30:00.0000000Z,2021-02-23T17:16:20.9010000Z,2021-02-23T17:27:15.5950000Z,12.699,12.946,12.699,12.946,1299.71,36
2021-02-23T17:30:00.0000000Z,2021-02-23T17:45:00.0000000Z,2021-02-23T17:31:45.1080000Z,2021-02-23T17:43:34.1820000Z,12.946,12.979,12.776,12.776,402.776,15
2021-02-23T17:45:00.0000000Z,2021-02-23T18:00:00.0000000Z,2021-02-23T17:45:33.9190000Z,2021-02-23T17:59:48.0550000Z,12.662,17.89,10.321,12.42,12024.394,422
2021-02-23T18:00:00.0000000Z,2021-02-23T18:15:00.0000000Z,2021-02-23T18:00:04.8950000Z,2021-02-23T18:14:23.9690000Z,12.514,16.352,12.35,12.35,873.456,50
2021-02-23T18:15:00.0000000Z,2021-02-23T18:30:00.0000000Z,2021-02-23T18:16:57.6990000Z,2021-02-23T18:29:57.3560000Z,12.318,12.451,12.0,12.451,4745.572,125
2021-02-23T18:30:00.0000000Z,2021-02-23T18:45:00.0000000Z,2021-02-23T18:34:38.6510000Z,2021-02-23T18:43:11.8550000Z,12.569,12.933,12.425,12.432,272.273,28
2021-02-23T18:45:00.0000000Z,2021-02-23T19:00:00.0000000Z,2021-02-23T18:46:05.4710000Z,2021-02-23T18:59:50.5720000Z,12.43,12.43,12.043,12.065,3125.649,46
2021-02-23T19:00:00.0000000Z,2021-02-23T19:15:00.0000000Z,2021-02-23T19:01:02.8790000Z,2021-02-23T19:14:04.6360000Z,12.065,12.7,12.024,12.293,3448.943,73
2021-02-23T19:15:00.0000000Z,2021-02-23T19:30:00.0000000Z,2021-02-23T19:15:48.9960000Z,2021-02-23T19:29:31.9120000Z,12.159,12.2,11.91,12.049,2275.247,41
2021-02-23T19:30:00.0000000Z,2021-02-23T19:45:00.0000000Z,2021-02-23T19:30:33.6080000Z,2021-02-23T19:44:42.5810000Z,12.026,12.026,11.0,11.614,6643.955,311
2021-02-23T19:45:00.0000000Z,2021-02-23T20:00:00.0000000Z,2021-02-23T19:46:00.0760000Z,2021-02-23T19:59:53.3210000Z,11.611,11.778,11.501,11.514,395.57,24
2021-02-23T20:00:00.0000000Z,2021-02-23T20:15:00.0000000Z,2021-02-23T20:01:43.3460000Z,2021-02-23T20:14:12.7200000Z,11.616,12.2,11.333,11.955,1538.523,123
2021-02-23T20:15:00.0000000Z,2021-02-23T20:30:00.0000000Z,2021-02-23T20:15:33.3960000Z,2021-02-23T20:29:20.6360000Z,11.818,12.033,11.395,12.029,386.053,11
2021-02-23T20:30:00.0000000Z,2021-02-23T20:45:00.0000000Z,2021-02-23T20:30:56.6340000Z,2021-02-23T20:41:19.1300000Z,12.029,12.3,12.029,12.3,385.948,11
2021-02-23T20:45:00.0000000Z,2021-02-23T21:00:00.0000000Z,2021-02-23T20:46:20.9170000Z,2021-02-23T20:56:02.6930000Z,12.297,12.349,12.151,12.151,1499.804,42
2021-02-23T21:00:00.0000000Z,2021-02-23T21:15:00.0000000Z,2021-02-23T21:01:30.2860000Z,2021-02-23T21:14:39.1230000Z,12.375,12.492,12.244,12.328,4691.261,72
2021-02-23T21:15:00.0000000Z,2021-02-23T21:30:00.0000000Z,2021-02-23T21:15:57.4970000Z,2021-02-23T21:26:57.5380000Z,12.357,12.509,12.252,12.429,953.398,15
2021-02-23T21:30:00.0000000Z,2021-02-23T21:45:00.0000000Z,2021-02-23T21:30:52.3020000Z,2021-02-23T21:41:51.4890000Z,12.454,17.89,12.454,12.638,3288.419,49
2021-02-23T21:45:00.0000000Z,2021-02-23T22:00:00.0000000Z,2021-02-23T21:45:15.7700000Z,2021-02-23T21:59:33.0980000Z,12.636,12.649,12.538,12.649,58.898,11
