time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-10T08:00:00.0000000Z,2021-11-10T08:15:00.0000000Z,2021-11-10T08:12:13.1710000Z,2021-11-10T08:14:59.9820000Z,19.95,20.5,18.67,18.82,106179.4,4350
2021-11-10T08:15:00.0000000Z,2021-11-10T08:30:00.0000000Z,2021-11-10T08:15:00.0870000Z,2021-11-10T08:29:59.9050000Z,18.77,19.65,18.06,18.32,299892.69,12044
2021-11-10T08:30:00.0000000Z,2021-11-10T08:45:00.0000000Z,2021-11-10T08:30:00.6980000Z,2021-11-10T08:44:59.8610000Z,18.32,18.63,17.61,17.9,154741.23,7029
2021-11-10T08:45:00.0000000Z,2021-11-10T09:00:00.0000000Z,2021-11-10T08:45:00.3620000Z,2021-11-10T08:59:59.2670000Z,17.9,18.6,17.57,18.11,109885.88,5254
2021-11-10T09:00:00.0000000Z,2021-11-10T09:15:00.0000000Z,2021-11-10T09:00:00.8420000Z,2021-11-10T09:14:58.1750000Z,18.12,18.38,17.7,18.37,62080.0,2767
2021-11-10T09:15:00.0000000Z,2021-11-10T09:30:00.0000000Z,2021-11-10T09:15:01.6890000Z,2021-11-10T09:29:59.9250000Z,18.39,18.41,17.75,18.3,55017.64,2577
2021-11-10T09:30:00.0000000Z,2021-11-10T09:45:00.0000000Z,2021-11-10T09:30:00.0150000Z,2021-11-10T09:44:57.8610000Z,18.3,18.4,17.5,17.63,66959.78,2978
2021-11-10T09:45:00.0000000Z,2021-11-10T10:00:00.0000000Z,2021-11-10T09:45:00.4450000Z,2021-11-10T09:59:58.7060000Z,17.63,18.17,17.6,17.99,39491.04,2092
2021-11-10T10:00:00.0000000Z,2021-11-10T10:15:00.0000000Z,2021-11-10T10:00:00.9410000Z,2021-11-10T10:14:58.3770000Z,17.99,18.18,17.53,17.62,36457.8,1900
2021-11-10T10:15:00.0000000Z,2021-11-10T10:30:00.0000000Z,2021-11-10T10:15:03.1260000Z,2021-11-10T10:29:59.4550000Z,17.65,17.7,17.04,17.22,42716.26,2046
2021-11-10T10:30:00.0000000Z,2021-11-10T10:45:00.0000000Z,2021-11-10T10:30:00.6140000Z,2021-11-10T10:44:59.3220000Z,17.23,17.4,16.79,17.04,38282.28,1853
2021-11-10T10:45:00.0000000Z,2021-11-10T11:00:00.0000000Z,2021-11-10T10:45:01.0430000Z,2021-11-10T10:59:55.2450000Z,17.04,17.56,16.95,17.35,35978.17,1631
2021-11-10T11:00:00.0000000Z,2021-11-10T11:15:00.0000000Z,2021-11-10T11:00:01.8200000Z,2021-11-10T11:14:57.3420000Z,17.35,17.5,17.0,17.12,32992.94,1489
2021-11-10T11:15:00.0000000Z,2021-11-10T11:30:00.0000000Z,2021-11-10T11:15:04.9120000Z,2021-11-10T11:29:57.3310000Z,17.08,17.2,16.79,16.85,54619.4,1437
2021-11-10T11:30:00.0000000Z,2021-11-10T11:45:00.0000000Z,2021-11-10T11:30:00.7770000Z,2021-11-10T11:44:58.0930000Z,16.81,17.29,16.79,16.83,46240.51,1428
2021-11-10T11:45:00.0000000Z,2021-11-10T12:00:00.0000000Z,2021-11-10T11:45:01.4130000Z,2021-11-10T11:59:58.9090000Z,16.87,16.88,16.45,16.46,34097.66,1468
2021-11-10T12:00:00.0000000Z,2021-11-10T12:15:00.0000000Z,2021-11-10T12:00:02.0190000Z,2021-11-10T12:14:59.2250000Z,16.46,16.76,16.43,16.45,29737.29,988
2021-11-10T12:15:00.0000000Z,2021-11-10T12:30:00.0000000Z,2021-11-10T12:15:00.0290000Z,2021-11-10T12:29:59.6020000Z,16.46,16.54,15.67,15.98,98295.57,2774
2021-11-10T12:30:00.0000000Z,2021-11-10T12:45:00.0000000Z,2021-11-10T12:30:00.1380000Z,2021-11-10T12:44:59.4680000Z,15.98,16.55,15.92,16.5,54111.3,1446
2021-11-10T12:45:00.0000000Z,2021-11-10T13:00:00.0000000Z,2021-11-10T12:45:00.1750000Z,2021-11-10T12:59:57.5520000Z,16.5,16.52,15.96,16.21,31468.21,1277
2021-11-10T13:00:00.0000000Z,2021-11-10T13:15:00.0000000Z,2021-11-10T13:00:01.8430000Z,2021-11-10T13:14:59.4940000Z,16.21,16.55,16.07,16.16,34366.33,1153
2021-11-10T13:15:00.0000000Z,2021-11-10T13:30:00.0000000Z,2021-11-10T13:15:00.2290000Z,2021-11-10T13:29:58.9590000Z,16.16,16.41,16.14,16.31,18160.37,783
2021-11-10T13:30:00.0000000Z,2021-11-10T13:45:00.0000000Z,2021-11-10T13:30:05.7650000Z,2021-11-10T13:44:57.4560000Z,16.32,16.64,16.28,16.41,24833.1,964
2021-11-10T13:45:00.0000000Z,2021-11-10T14:00:00.0000000Z,2021-11-10T13:45:00.6860000Z,2021-11-10T13:59:59.2000000Z,16.4,16.47,16.03,16.16,28431.1,1171
2021-11-10T14:00:00.0000000Z,2021-11-10T14:15:00.0000000Z,2021-11-10T14:00:08.6990000Z,2021-11-10T14:14:57.8100000Z,16.15,16.32,16.03,16.16,21932.8,897
2021-11-10T14:15:00.0000000Z,2021-11-10T14:30:00.0000000Z,2021-11-10T14:15:00.3220000Z,2021-11-10T14:29:59.7570000Z,16.16,16.4,16.13,16.33,17962.94,807
2021-11-10T14:30:00.0000000Z,2021-11-10T14:45:00.0000000Z,2021-11-10T14:30:00.0730000Z,2021-11-10T14:44:58.7580000Z,16.34,16.34,16.0,16.16,17780.67,820
2021-11-10T14:45:00.0000000Z,2021-11-10T15:00:00.0000000Z,2021-11-10T14:45:04.3840000Z,2021-11-10T14:59:59.9600000Z,16.16,16.16,15.95,15.99,17651.74,704
2021-11-10T15:00:00.0000000Z,2021-11-10T15:15:00.0000000Z,2021-11-10T15:00:00.0430000Z,2021-11-10T15:14:59.0620000Z,16.0,16.1,15.87,15.95,22345.59,774
2021-11-10T15:15:00.0000000Z,2021-11-10T15:30:00.0000000Z,2021-11-10T15:15:01.1000000Z,2021-11-10T15:29:58.7380000Z,15.91,16.32,15.53,16.18,41990.87,1578
2021-11-10T15:30:00.0000000Z,2021-11-10T15:45:00.0000000Z,2021-11-10T15:30:00.8070000Z,2021-11-10T15:44:58.4720000Z,16.18,17.04,16.0,17.0,54810.63,1774
2021-11-10T15:45:00.0000000Z,2021-11-10T16:00:00.0000000Z,2021-11-10T15:45:00.7530000Z,2021-11-10T15:59:59.4660000Z,16.97,17.5,16.35,17.49,115613.74,3287
2021-11-10T16:00:00.0000000Z,2021-11-10T16:15:00.0000000Z,2021-11-10T16:00:01.2410000Z,2021-11-10T16:14:58.6790000Z,17.49,18.0,16.9,16.96,164723.85,5260
2021-11-10T16:15:00.0000000Z,2021-11-10T16:30:00.0000000Z,2021-11-10T16:15:00.1470000Z,2021-11-10T16:29:58.5100000Z,16.95,17.27,16.6,16.84,60876.99,2290
2021-11-10T16:30:00.0000000Z,2021-11-10T16:45:00.0000000Z,2021-11-10T16:30:01.5400000Z,2021-11-10T16:44:59.0140000Z,16.84,17.1,16.6,16.88,30343.6,1349
2021-11-10T16:45:00.0000000Z,2021-11-10T17:00:00.0000000Z,2021-11-10T16:45:03.6520000Z,2021-11-10T16:59:58.5010000Z,16.9,16.93,16.6,16.79,20698.62,1114
2021-11-10T17:00:00.0000000Z,2021-11-10T17:15:00.0000000Z,2021-11-10T17:00:00.0040000Z,2021-11-10T17:14:58.3020000Z,16.82,17.55,16.8,17.05,67073.55,2122
2021-11-10T17:15:00.0000000Z,2021-11-10T17:30:00.0000000Z,2021-11-10T17:15:02.1290000Z,2021-11-10T17:29:59.4850000Z,17.07,17.07,16.51,16.57,39266.27,1394
2021-11-10T17:30:00.0000000Z,2021-11-10T17:45:00.0000000Z,2021-11-10T17:30:03.5910000Z,2021-11-10T17:44:55.3800000Z,16.55,16.55,16.11,16.21,19243.41,1090
2021-11-10T17:45:00.0000000Z,2021-11-10T18:00:00.0000000Z,2021-11-10T17:45:03.2060000Z,2021-11-10T17:59:58.0640000Z,16.23,16.31,16.19,16.22,11486.56,597
2021-11-10T18:00:00.0000000Z,2021-11-10T18:15:00.0000000Z,2021-11-10T18:00:00.1750000Z,2021-11-10T18:14:58.8200000Z,16.21,16.84,16.16,16.66,15677.06,881
2021-11-10T18:15:00.0000000Z,2021-11-10T18:30:00.0000000Z,2021-11-10T18:15:00.3950000Z,2021-11-10T18:29:55.3040000Z,16.67,16.7,16.23,16.34,16143.84,921
